GO:1905515	non-motile cilium assembly
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0003407	neural retina development
GO:0009581	detection of external stimulus
GO:0009582	detection of abiotic stimulus
GO:0018200	peptidyl-glutamic acid modification
GO:0007600	sensory perception
GO:0006750	glutathione biosynthetic process
GO:1902600	proton transmembrane transport
GO:0007617	mating behavior
GO:0007618	mating
GO:0007286	spermatid development
GO:0007602	phototransduction
GO:0099111	microtubule-based transport
GO:0007283	spermatogenesis
GO:0060179	male mating behavior
GO:0048515	spermatid differentiation
GO:0051260	protein homooligomerization
GO:0046835	carbohydrate phosphorylation
GO:0043052	thermotaxis
GO:0009168	purine ribonucleoside monophosphate biosynthetic process
GO:0009127	purine nucleoside monophosphate biosynthetic process
GO:0009583	detection of light stimulus
GO:0007018	microtubule-based movement
GO:0007291	sperm individualization
GO:0015800	acidic amino acid transport
GO:0048255	mRNA stabilization
GO:0035045	sperm plasma membrane disassembly
GO:0003351	epithelial cilium movement involved in extracellular fluid movement
GO:1902373	negative regulation of mRNA catabolic process
GO:0018095	protein polyglutamylation
GO:0034606	response to hermaphrodite contact
GO:0034608	vulval location
GO:0046341	CDP-diacylglycerol metabolic process
GO:0009064	OBSOLETE
GO:0009156	ribonucleoside monophosphate biosynthetic process
GO:0019646	aerobic electron transport chain
GO:0035041	sperm DNA decondensation
GO:0009124	nucleoside monophosphate biosynthetic process
GO:0035039	male pronucleus assembly
GO:0042866	pyruvate biosynthetic process
GO:0008089	anterograde axonal transport
GO:0046460	neutral lipid biosynthetic process
GO:0046463	acylglycerol biosynthetic process
GO:0042773	ATP synthesis coupled electron transport
GO:0042775	mitochondrial ATP synthesis coupled electron transport
GO:0009620	response to fungus
GO:0016545	male courtship behavior, veined wing vibration
GO:0050907	detection of chemical stimulus involved in sensory perception
GO:0045433	male courtship behavior, veined wing generated song production
GO:0006536	glutamate metabolic process
GO:0048065	male courtship behavior, veined wing extension
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0045333	cellular respiration
GO:0006757	OBSOLETE
GO:0050982	detection of mechanical stimulus
GO:0042073	intraciliary transport
GO:0006096	glycolytic process
GO:0048232	male gamete generation
GO:0000820	OBSOLETE
GO:0008377	OBSOLETE
GO:0032240	negative regulation of nucleobase-containing compound transport
GO:0051037	OBSOLETE
GO:0045873	negative regulation of sevenless signaling pathway
GO:1902369	negative regulation of RNA catabolic process
GO:0060042	retina morphogenesis in camera-type eye
GO:0006858	extracellular transport
GO:0110118	negative regulation of compound eye photoreceptor cell differentiation
GO:0030397	membrane disassembly
GO:0042670	retinal cone cell differentiation
GO:0048593	camera-type eye morphogenesis
GO:0060219	camera-type eye photoreceptor cell differentiation
GO:0006521	regulation of amino acid metabolic process
GO:0043489	RNA stabilization
GO:0045501	regulation of sevenless signaling pathway
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste
GO:2000211	OBSOLETE
GO:0006533	L-aspartate catabolic process
GO:0034214	protein hexamerization
GO:0045677	negative regulation of R7 cell differentiation
GO:0006651	diacylglycerol biosynthetic process
GO:2000766	negative regulation of cytoplasmic translation
GO:0022900	electron transport chain
GO:0006091	generation of precursor metabolites and energy
