GO:0006855	xenobiotic transmembrane transport
GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
GO:0001678	intracellular glucose homeostasis
GO:0071423	malate transmembrane transport
GO:0071322	cellular response to carbohydrate stimulus
GO:0010257	NADH dehydrogenase complex assembly
GO:0051438	regulation of ubiquitin-protein transferase activity
GO:0097720	calcineurin-mediated signaling
GO:0060041	retina development in camera-type eye
GO:0033173	calcineurin-NFAT signaling cascade
GO:0017196	N-terminal peptidyl-methionine acetylation
GO:0018206	peptidyl-methionine modification
GO:0003407	neural retina development
GO:0071326	cellular response to monosaccharide stimulus
GO:0071331	cellular response to hexose stimulus
GO:0045454	cell redox homeostasis
GO:0050912	detection of chemical stimulus involved in sensory perception of taste
GO:0050913	sensory perception of bitter taste
GO:0015800	acidic amino acid transport
GO:0031365	N-terminal protein amino acid modification
GO:0034728	nucleosome organization
GO:1990542	mitochondrial transmembrane transport
GO:0032781	positive regulation of ATP-dependent activity
GO:0009086	OBSOLETE
GO:0000097	sulfur amino acid biosynthetic process
GO:0043471	OBSOLETE
GO:0006817	phosphate ion transport
GO:0034284	response to monosaccharide
GO:0009746	response to hexose
GO:0035435	phosphate ion transmembrane transport
GO:0043010	camera-type eye development
GO:1902883	negative regulation of response to oxidative stress
GO:1900408	negative regulation of cellular response to oxidative stress
GO:0007608	sensory perception of smell
GO:0016056	G protein-coupled opsin signaling pathway
GO:0046693	sperm storage
GO:0016567	protein ubiquitination
GO:0043486	OBSOLETE
GO:0006006	glucose metabolic process
GO:0007606	sensory perception of chemical stimulus
GO:0060078	regulation of postsynaptic membrane potential
GO:0043462	regulation of ATP-dependent activity
GO:0007289	spermatid nucleus differentiation
GO:0048016	OBSOLETE
GO:0050907	detection of chemical stimulus involved in sensory perception
GO:0097480	establishment of synaptic vesicle localization
