GO:0018094	protein polyglycylation
GO:0036158	outer dynein arm assembly
GO:0036159	inner dynein arm assembly
GO:0045454	cell redox homeostasis
GO:0050982	detection of mechanical stimulus
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0042866	pyruvate biosynthetic process
GO:0015807	L-amino acid transport
GO:1902475	L-alpha-amino acid transmembrane transport
GO:0006730	one-carbon metabolic process
GO:0006839	mitochondrial transport
GO:0071331	cellular response to hexose stimulus
GO:0001678	intracellular glucose homeostasis
GO:0098655	monoatomic cation transmembrane transport
GO:0046692	sperm competition
GO:0015800	acidic amino acid transport
GO:0032781	positive regulation of ATP-dependent activity
GO:0043687	post-translational protein modification
GO:0033108	mitochondrial respiratory chain complex assembly
GO:1902600	proton transmembrane transport
GO:0071322	cellular response to carbohydrate stimulus
GO:0060078	regulation of postsynaptic membrane potential
GO:0006835	dicarboxylic acid transport
GO:0006855	xenobiotic transmembrane transport
GO:0042908	xenobiotic transport
GO:0006750	glutathione biosynthetic process
GO:0043090	amino acid import
GO:0007589	body fluid secretion
GO:0042773	ATP synthesis coupled electron transport
GO:0042775	mitochondrial ATP synthesis coupled electron transport
GO:0071260	cellular response to mechanical stimulus
GO:0050878	regulation of body fluid levels
GO:0034404	nucleobase-containing small molecule biosynthetic process
