GO:0035082	axoneme assembly
GO:0030317	flagellated sperm motility
GO:0046034	ATP metabolic process
GO:0009167	purine ribonucleoside monophosphate metabolic process
GO:0050982	detection of mechanical stimulus
GO:0060271	cilium assembly
GO:0006165	OBSOLETE
GO:0071266	'de novo' L-methionine biosynthetic process
GO:0019343	OBSOLETE
GO:0019346	transsulfuration
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0035092	sperm DNA condensation
GO:1905515	non-motile cilium assembly
GO:0019646	aerobic electron transport chain
GO:0060285	cilium-dependent cell motility
GO:0006750	glutathione biosynthetic process
GO:0042773	ATP synthesis coupled electron transport
GO:0042775	mitochondrial ATP synthesis coupled electron transport
GO:1902600	proton transmembrane transport
GO:0071260	cellular response to mechanical stimulus
GO:0006730	one-carbon metabolic process
GO:0032981	mitochondrial respiratory chain complex I assembly
GO:0098655	monoatomic cation transmembrane transport
GO:0009142	nucleoside triphosphate biosynthetic process
GO:0060294	cilium movement involved in cell motility
GO:0007638	mechanosensory behavior
GO:0015800	acidic amino acid transport
GO:0007605	sensory perception of sound
GO:0050832	defense response to fungus
GO:0018094	protein polyglycylation
GO:0003341	cilium movement
