GO:0036159	inner dynein arm assembly
GO:0036158	outer dynein arm assembly
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0070534	protein K63-linked ubiquitination
GO:0009631	cold acclimation
GO:0051438	regulation of ubiquitin-protein transferase activity
GO:0010996	response to auditory stimulus
GO:0043687	post-translational protein modification
GO:0007289	spermatid nucleus differentiation
GO:1902475	L-alpha-amino acid transmembrane transport
GO:0015807	L-amino acid transport
GO:0006839	mitochondrial transport
GO:0016082	synaptic vesicle priming
GO:0051443	positive regulation of ubiquitin-protein transferase activity
GO:0007286	spermatid development
GO:0019184	nonribosomal peptide biosynthetic process
GO:0015813	L-glutamate transmembrane transport
GO:0045026	OBSOLETE
GO:0051938	L-glutamate import
GO:0042364	water-soluble vitamin biosynthetic process
GO:0070286	axonemal dynein complex assembly
