GO:0046835	carbohydrate phosphorylation
GO:0061077	OBSOLETE
GO:0009631	cold acclimation
GO:0042026	protein refolding
GO:0072521	purine-containing compound metabolic process
GO:0051204	protein insertion into mitochondrial membrane
GO:0015695	OBSOLETE
GO:0050982	detection of mechanical stimulus
GO:0009117	nucleotide metabolic process
GO:0043471	OBSOLETE
GO:0009746	response to hexose
GO:0001678	intracellular glucose homeostasis
GO:0006856	eye pigment precursor transport
GO:0015697	quaternary ammonium group transport
GO:0140053	mitochondrial gene expression
GO:0031167	rRNA methylation
GO:0005977	glycogen metabolic process
GO:0046463	acylglycerol biosynthetic process
GO:0006163	purine nucleotide metabolic process
GO:0001666	response to hypoxia
GO:0018200	peptidyl-glutamic acid modification
GO:0046471	phosphatidylglycerol metabolic process
GO:0006655	phosphatidylglycerol biosynthetic process
GO:0070482	response to oxygen levels
GO:0015807	L-amino acid transport
GO:1902475	L-alpha-amino acid transmembrane transport
GO:0006458	'de novo' protein folding
GO:0000154	rRNA modification
GO:0007605	sensory perception of sound
GO:0044106	amine metabolic process
GO:0009308	amine metabolic process
GO:0036293	response to decreased oxygen levels
GO:0050954	sensory perception of mechanical stimulus
GO:0050832	defense response to fungus
GO:0019693	ribose phosphate metabolic process
GO:0046339	diacylglycerol metabolic process
GO:1901475	pyruvate transmembrane transport
GO:0015866	ADP transport
GO:0006848	pyruvate transport
GO:0072337	modified amino acid transport
GO:0072522	purine-containing compound biosynthetic process
GO:0009142	nucleoside triphosphate biosynthetic process
GO:0007007	inner mitochondrial membrane organization
GO:0036158	outer dynein arm assembly
GO:0015865	purine nucleotide transport
GO:0015868	purine ribonucleotide transport
GO:0140718	facultative heterochromatin formation
GO:0009141	nucleoside triphosphate metabolic process
GO:0044550	secondary metabolite biosynthetic process
GO:0044706	multi-multicellular organism process
GO:0007320	insemination
GO:0046692	sperm competition
GO:0009259	ribonucleotide metabolic process
GO:0007617	mating behavior
GO:0007618	mating
GO:0007568	OBSOLETE
GO:0009620	response to fungus
GO:0052547	regulation of peptidase activity
GO:0042595	behavioral response to starvation
GO:0052548	regulation of endopeptidase activity
GO:0009749	response to glucose
GO:0043456	regulation of pentose-phosphate shunt
GO:0001504	neurotransmitter uptake
GO:0010636	positive regulation of mitochondrial fusion
GO:0035349	coenzyme A transmembrane transport
GO:0007008	outer mitochondrial membrane organization
GO:0000001	mitochondrion inheritance
GO:0006424	glutamyl-tRNA aminoacylation
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0006433	prolyl-tRNA aminoacylation
GO:1902031	regulation of NADP metabolic process
GO:0019918	peptidyl-arginine methylation, to symmetrical-dimethyl arginine
GO:0015742	alpha-ketoglutarate transport
GO:0015851	nucleobase transport
GO:0015854	guanine transport
GO:0015880	coenzyme A transport
GO:0080121	AMP transport
GO:0071326	cellular response to monosaccharide stimulus
GO:0071331	cellular response to hexose stimulus
GO:0006863	purine nucleobase transport
GO:0032048	cardiolipin metabolic process
GO:0032049	cardiolipin biosynthetic process
GO:0006844	OBSOLETE
GO:0006597	spermine biosynthetic process
GO:0006569	L-tryptophan catabolic process
GO:1990809	endoplasmic reticulum tubular network membrane organization
GO:0008215	spermine metabolic process
GO:0071106	adenosine 3',5'-bisphosphate transmembrane transport
GO:0019441	OBSOLETE
GO:0007504	larval fat body development
GO:0061738	late endosomal microautophagy
GO:0031297	replication fork processing
GO:0032787	monocarboxylic acid metabolic process
GO:0072330	monocarboxylic acid biosynthetic process
GO:0042743	hydrogen peroxide metabolic process
GO:0000963	mitochondrial RNA processing
GO:0035336	long-chain fatty-acyl-CoA metabolic process
GO:0045454	cell redox homeostasis
GO:0019432	triglyceride biosynthetic process
GO:0002183	cytoplasmic translational initiation
GO:0007638	mechanosensory behavior
GO:0016053	OBSOLETE
GO:0006633	fatty acid biosynthetic process
GO:0009311	oligosaccharide metabolic process
GO:0033865	nucleoside bisphosphate metabolic process
GO:0033875	ribonucleoside bisphosphate metabolic process
GO:0034032	purine nucleoside bisphosphate metabolic process
GO:0006413	translational initiation
GO:0001731	formation of translation preinitiation complex
GO:0007060	male meiosis chromosome segregation
GO:0007141	male meiosis I
GO:0006730	one-carbon metabolic process
GO:0006739	NADP+ metabolic process
GO:1903312	negative regulation of mRNA metabolic process
GO:0006119	oxidative phosphorylation
GO:0008055	ocellus pigment biosynthetic process
GO:0046152	ommochrome metabolic process
GO:0046158	ocellus pigment metabolic process
GO:0006727	ommochrome biosynthetic process
GO:0033060	ocellus pigmentation
GO:0045039	protein insertion into mitochondrial inner membrane
GO:0090615	mitochondrial mRNA processing
GO:0006094	gluconeogenesis
GO:0006098	pentose-phosphate shunt
GO:0071688	striated muscle myosin thick filament assembly
GO:0072530	purine-containing compound transmembrane transport
GO:0044528	regulation of mitochondrial mRNA stability
GO:0006740	NADPH regeneration
GO:0018195	peptidyl-arginine modification
GO:0019319	hexose biosynthetic process
