GO:0006730	one-carbon metabolic process
GO:0032981	mitochondrial respiratory chain complex I assembly
GO:0015800	acidic amino acid transport
GO:0007638	mechanosensory behavior
GO:0043687	post-translational protein modification
GO:0035092	sperm DNA condensation
GO:0016319	mushroom body development
GO:0006835	dicarboxylic acid transport
GO:0016082	synaptic vesicle priming
GO:0052548	regulation of endopeptidase activity
GO:0007617	mating behavior
GO:0062125	regulation of mitochondrial gene expression
GO:0017062	respiratory chain complex III assembly
GO:0034551	mitochondrial respiratory chain complex III assembly
GO:0070129	regulation of mitochondrial translation
GO:0006750	glutathione biosynthetic process
GO:0034220	monoatomic ion transmembrane transport
GO:0009409	response to cold
GO:0051938	L-glutamate import
GO:0015813	L-glutamate transmembrane transport
GO:0071260	cellular response to mechanical stimulus
GO:0019184	nonribosomal peptide biosynthetic process
GO:0045026	OBSOLETE
GO:0019098	reproductive behavior
GO:0000209	protein polyubiquitination
GO:0007595	lactation
GO:0018095	protein polyglutamylation
GO:0060287	epithelial cilium movement involved in determination of left/right asymmetry
GO:0070935	3'-UTR-mediated mRNA stabilization
GO:0015862	uridine transmembrane transport
GO:0015864	pyrimidine nucleoside transport
GO:0015853	adenine transport
GO:0015855	pyrimidine nucleobase transport
GO:0003351	epithelial cilium movement involved in extracellular fluid movement
GO:1902373	negative regulation of mRNA catabolic process
GO:0060962	regulation of ribosomal protein gene transcription by RNA polymerase II
GO:0060963	positive regulation of ribosomal protein gene transcription by RNA polymerase II
GO:0048255	mRNA stabilization
GO:0030879	mammary gland development
GO:0031223	auditory behavior
GO:0050910	detection of mechanical stimulus involved in sensory perception of sound
GO:0035364	thymine transport
GO:0035344	hypoxanthine transport
GO:0071333	cellular response to glucose stimulus
GO:1903531	negative regulation of secretion by cell
GO:0099500	vesicle fusion to plasma membrane
GO:0031629	synaptic vesicle fusion to presynaptic active zone membrane
GO:0042398	modified amino acid biosynthetic process
GO:0098656	monoatomic anion transmembrane transport
GO:0055085	transmembrane transport
GO:0006390	mitochondrial transcription
GO:0051048	negative regulation of secretion
GO:0051674	localization of cell
GO:0060033	anatomical structure regression
GO:0099111	microtubule-based transport
GO:0009855	determination of bilateral symmetry
GO:0008089	anterograde axonal transport
GO:0009799	specification of symmetry
GO:0042074	cell migration involved in gastrulation
GO:0006812	monoatomic cation transport
