"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-241262"	-6.41396783577369	4.23662100752871	31.8288888596222	2.18656046698167e-05	0.0848297828750656	"gene-241262"
"gene-312890"	-2.02918639366034	4.65891460024802	28.4651595135842	2.22117951836486e-05	0.0848297828750656	"gene-312890"
"gene-130665"	1.72102501804461	8.17942505574637	25.6124806305214	4.32786304889518e-05	0.0848297828750656	"gene-130665"
"gene-63617"	-1.87570772068792	7.44695100708323	24.5868848556379	5.55767482277978e-05	0.0848297828750656	"gene-63617"
"gene-350792"	7.91432605364369	5.63783823708816	24.2984109014994	5.96896038470385e-05	0.0848297828750656	"gene-350792"
"gene-63245"	-5.52737651261371	4.99209903303355	23.8343723884963	6.70199101143202e-05	0.0848297828750656	"gene-63245"
"gene-116902"	-1.78012827813055	8.03393807965481	23.7703301038465	6.81065131265196e-05	0.0848297828750656	"gene-116902"
"gene-73253"	8.72474782102669	7.03127137995717	23.1430249912997	7.98282717998128e-05	0.0848297828750656	"gene-73253"
"gene-393138"	-1.72746150540136	6.00964002816964	22.8232447841978	8.66374025390534e-05	0.0848297828750656	"gene-393138"
"gene-279912"	-2.07976208510762	6.9083582510359	22.769099569052	8.78518878159337e-05	0.0848297828750656	"gene-279912"
"gene-336703"	-4.31805934895913	6.33655273259498	21.9847826188149	0.000107697344113862	0.091931283819457	"gene-336703"
"gene-119402"	-3.44480098101069	8.03137099774963	21.6581479559449	0.000117364639447144	0.091931283819457	"gene-119402"
"gene-410057"	-1.57903656344598	7.2414060698783	21.4575710518621	0.000123768298431332	0.091931283819457	"gene-410057"
"gene-306335"	7.72209118283882	8.26975077240052	20.887836483785	0.000144134897044383	0.0932634348958433	"gene-306335"
"gene-163028"	-1.61639401223374	3.21443464320658	20.8687185564985	0.000144878989585506	0.0932634348958433	"gene-163028"
"gene-106251"	2.80475497806287	5.04827283326566	19.8276208433533	0.000192496022259758	0.112303257462541	"gene-106251"
"gene-106467"	-0.920088434499306	5.31912895773366	19.7309836476553	0.000197717002574896	0.112303257462541	"gene-106467"
"gene-38816"	-4.00815144683574	0.225920961038128	18.8821646814389	0.000250835237697673	0.122750509705982	"gene-38816"
"gene-8365"	-1.76653303007139	8.32067724136181	18.8361972130258	0.000254127046662898	0.122750509705982	"gene-8365"
"gene-353013"	-1.81746035164786	6.46605021960246	18.308581840752	0.000295488294289597	0.122750509705982	"gene-353013"
"gene-218923"	5.17491018057603	0.113018279807678	18.9248767790219	0.000298401125934683	0.122750509705982	"gene-218923"
"gene-47848"	-6.48678411094354	1.19607160585544	18.26004377603	0.000299648050380872	0.122750509705982	"gene-47848"
"gene-146927"	-3.36321274552874	1.86562309739241	18.0376216927182	0.000319546345394957	0.122750509705982	"gene-146927"
"gene-353795"	-1.03851126953662	6.241237615694	17.800156397041	0.000342397700003001	0.122750509705982	"gene-353795"
"gene-211137"	-2.86385845114731	9.75341231417201	17.7750183228254	0.000344919442054785	0.122750509705982	"gene-211137"
"gene-297970"	4.33981045272386	-0.505578436605464	18.0934872146873	0.000374755753220256	0.122750509705982	"gene-297970"
"gene-152989"	-1.45521992038309	7.21839369586574	17.393563408177	0.000385785742988653	0.122750509705982	"gene-152989"
"gene-130615"	-5.07806085857793	7.80903259408475	17.3273953410427	0.000393399201885373	0.122750509705982	"gene-130615"
"gene-365808"	-2.00103189624676	10.1841856131341	17.1426690516528	0.000415537898807642	0.122750509705982	"gene-365808"
