"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-241262"	5.68999652788119	4.23662100752871	25.7473138273094	7.42420202652259e-05	0.37176880111434	"gene-241262"
"gene-166511"	-2.57385263858846	7.10972690956247	23.2845791640212	7.70026514321334e-05	0.37176880111434	"gene-166511"
"gene-224061"	8.95851143309734	5.77144765277839	20.8637420062577	0.000145073370485179	0.408572162799359	"gene-224061"
"gene-286545"	2.47577585773045	5.62833210088592	20.2957009435286	0.000169251103065186	0.408572162799359	"gene-286545"
"gene-106596"	7.85290326752752	1.88625781909706	18.6353679196184	0.00026907306564183	0.438625749308048	"gene-106596"
"gene-180295"	-1.95751527387272	6.36539674652147	18.5712610934468	0.00027404425366144	0.438625749308048	"gene-180295"
"gene-407280"	8.29238836363377	2.75711456877174	18.6910771052744	0.00031797641312721	0.438625749308048	"gene-407280"
"gene-120329"	-4.50824281425316	7.09459023388653	16.711082229396	0.000472762384849601	0.512366112043628	"gene-120329"
"gene-38816"	4.60099161160962	0.225920961038128	16.6775441934898	0.000477557478085403	0.512366112043628	"gene-38816"
"gene-241238"	9.33590666637922	4.52442756208468	18.3886094830348	0.000536832297095418	0.518365266075336	"gene-241238"
"gene-179544"	2.18742593763048	5.92577046147465	15.7913786289797	0.000625695400449446	0.522926895743142	"gene-179544"
"gene-197114"	3.06624961596102	4.58368872507138	15.6688481555256	0.000649867724618652	0.522926895743142	"gene-197114"
"gene-186211"	2.7697099128007	3.76326629369808	14.8922365365735	0.000829007729407767	0.615761433473953	"gene-186211"
"gene-346500"	7.7854377616305	0.460502689995683	14.8316976578945	0.000968063109931022	0.637121028869742	"gene-346500"
"gene-266509"	12.2135367048423	3.63306652055218	14.7593686744404	0.000989728193148937	0.637121028869742	"gene-266509"
"gene-207342"	1.39904802710779	7.35625710170368	13.9847909622963	0.00110990241968678	0.669391296553871	"gene-207342"
"gene-93257"	1.53504733550567	5.02334291240378	13.8013875256524	0.00117850580379203	0.669391296553871	"gene-93257"
"gene-223419"	4.24343897866177	8.70664299263134	13.5882358982104	0.00126413270390887	0.678136966052447	"gene-223419"
"gene-163028"	1.69704079752968	3.21443464320658	13.0152309679926	0.00153007027520539	0.742772163787436	"gene-163028"
