"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-367071"	5.54159679683226	5.1905283814886	28.0369078443929	2.44886214420655e-05	0.18361746925806	"gene-367071"
"gene-39692"	-9.61160960292677	7.80829149946468	26.151699736755	3.80317873359693e-05	0.18361746925806	"gene-39692"
"gene-115312"	-8.64431435648866	3.8079426070258	23.5784658883925	7.14786477666144e-05	0.230065940944809	"gene-115312"
"gene-39488"	-10.9522191983953	4.4018573638271	21.267227684602	0.000130199548474444	0.285122997782709	"gene-39488"
"gene-253157"	-6.36348319575429	1.92259862822745	20.3084094937977	0.000168664357017739	0.285122997782709	"gene-253157"
"gene-39545"	-8.84563546399577	3.78557443637127	20.0734959870396	0.000179878989230277	0.285122997782709	"gene-39545"
"gene-430780"	-9.06772653189021	4.20855297372308	19.148260070991	0.00023267231691338	0.285122997782709	"gene-430780"
"gene-227137"	-8.89177589962085	5.19427145877965	19.0944714978265	0.000236224521775235	0.285122997782709	"gene-227137"
"gene-341754"	-3.98371481139899	2.75022888371154	17.6284910473442	0.00036002862954777	0.359266582352107	"gene-341754"
"gene-122220"	-10.7513086465781	4.32549625149716	17.2496674563957	0.000402553322650964	0.359266582352107	"gene-122220"
"gene-277340"	-9.05799618521471	5.64318186167613	17.1938374139078	0.000409272204419343	0.359266582352107	"gene-277340"
"gene-166391"	-9.14326694515694	6.22251856646288	16.4637124868431	0.00050940971126826	0.390540204389371	"gene-166391"
"gene-238407"	-8.91391293127661	2.60767542004237	16.3593756054468	0.000525789421816676	0.390540204389371	"gene-238407"
"gene-414353"	-7.47270387920903	4.69993050632264	15.8644348417996	0.000611752563426178	0.42193448231737	"gene-414353"
"gene-100036"	-4.9707240399081	3.02250280343108	15.286324521756	0.000732149759931761	0.465462702881526	"gene-100036"
"gene-414838"	-4.15049808942384	3.63948403158245	15.1206436103431	0.00077127208431073	0.465462702881526	"gene-414838"
"gene-74686"	-4.61793770382019	3.10951451859686	14.5891756630217	0.00091304262772116	0.518608212545619	"gene-74686"
"gene-75744"	-7.32788350725641	6.05333625661515	14.2862447393479	0.00100645453014725	0.539906941283435	"gene-75744"
"gene-39770"	-7.94222041578409	5.29817648750314	14.0025949253346	0.00110347937751855	0.552011383196393	"gene-39770"
"gene-401453"	-1.8808122221696	5.06186095970975	13.8938553813375	0.0011433541491226	0.552011383196393	"gene-401453"
"gene-17762"	-9.06103890387367	-0.0727084144978636	14.3792760463492	0.00129319363077817	0.594622747561621	"gene-17762"
"gene-284854"	-6.19509032138832	1.87590652507911	13.2710787024822	0.00140442873999273	0.61641654151681	"gene-284854"
"gene-284591"	19.9382694407781	7.72574240023246	12.9948699018418	0.00154058628995097	0.646778313728982	"gene-284591"
"gene-284576"	22.6496257342405	8.59618878203822	12.8102470197476	0.00163964059066124	0.659682064309371	"gene-284576"
"gene-132199"	-10.2614721293076	1.32183658838113	13.2787987356075	0.00180367101383297	0.696649892382846	"gene-132199"
"gene-2286"	-6.9581629257478	3.42797546737501	12.3592689676466	0.00191226799641596	0.71018691436125	"gene-2286"
"gene-351044"	5.85656946801577	-0.963314879807238	12.0103502588629	0.00238983203817478	0.85467474668947	"gene-351044"
"gene-430807"	-7.07690815556467	-0.0149342537480254	12.3173998207342	0.00261249751460397	0.900938428607711	"gene-430807"
"gene-189246"	-2.66308747247926	4.3691573099972	11.2271407436805	0.00284308242209438	0.946648409232527	"gene-189246"
"gene-351277"	-7.13582716080452	2.43420488759714	10.992797836203	0.00309239706826647	0.995339536372702	"gene-351277"
"gene-430813"	-7.66457503505197	0.327545388462146	11.4843065558742	0.00340199607969124	0.999897811597875	"gene-430813"
"gene-39680"	-5.0676561910693	5.82846559620994	10.7042909739505	0.00343288737638529	0.999897811597875	"gene-39680"
"gene-94287"	-8.01674988575044	2.50290096729982	10.401968601955	0.00383448187642764	0.999897811597875	"gene-94287"
"g7191"	-1.19902474348929	5.01630168844787	10.3975920393289	0.00384066251848367	0.999897811597875	"g7191"
"gene-211258"	7.17563224894543	6.04395250862699	10.2854291420641	0.00400286007164306	0.999897811597875	"gene-211258"
"gene-48535"	-5.43497023708337	2.77371462152852	10.1950453019674	0.00413905078701435	0.999897811597875	"gene-48535"
"gene-299007"	-1.9997623653078	6.07140462107844	10.1865033183856	0.00415218321466886	0.999897811597875	"gene-299007"
"gene-299548"	-8.07488653404627	7.98351977381081	10.1008482168163	0.00428643399826167	0.999897811597875	"gene-299548"
"gene-380707"	13.5268987879252	7.15512987527876	10.293088499769	0.00433550782312253	0.999897811597875	"gene-380707"
"gene-399155"	-9.30961009843809	4.45499549789092	9.72151724241276	0.00494122595847829	0.999897811597875	"gene-399155"
"gene-334263"	-6.77378113635244	3.60837573716851	9.71328793647195	0.00495660083571356	0.999897811597875	"gene-334263"
