"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-185427"	0.87488168662907	6.32186021428817	73.1257779673991	1.6986962388988e-11	1.08352746085871e-07	"gene-185427"
"gene-88517"	0.982038659613463	6.83253240329917	69.2675820773977	3.88074206556762e-11	1.08352746085871e-07	"gene-88517"
"gene-6092"	1.07329938302396	6.23023347134875	69.1848762360946	3.95123797916796e-11	1.08352746085871e-07	"gene-6092"
"gene-243520"	1.57478387552659	5.9340167240145	69.0433829758927	4.07494344061193e-11	1.08352746085871e-07	"gene-243520"
"gene-266947"	0.861175935270064	7.08985252083449	67.2599127309416	6.02924027987712e-11	1.28253999233546e-07	"gene-266947"
"gene-89463"	2.20404762006736	7.6613902556659	66.1292965188934	7.75309556700266e-11	1.37436540751067e-07	"gene-89463"
"gene-54363"	1.67602952651179	7.35156238716106	63.6931153551358	1.34425482193099e-10	1.97791470757236e-07	"gene-54363"
"gene-169360"	0.936108753050461	5.38694143664673	62.8422936876711	1.63369032612601e-10	1.97791470757236e-07	"gene-169360"
"gene-76789"	0.824261342941013	5.66874247758016	62.7372329107523	1.67367735691531e-10	1.97791470757236e-07	"gene-76789"
"gene-294618"	0.953302997172354	8.31019573602504	62.1348130583963	1.9234520228078e-10	2.04578357145838e-07	"gene-294618"
"gene-270896"	1.50250508643731	7.26428279059727	60.7627959795501	2.64785606983308e-10	2.56023610534043e-07	"gene-270896"
"gene-14156"	1.05518451460354	6.82461036934806	57.699183745156	5.48551356170414e-10	4.86199352019044e-07	"gene-14156"
"gene-85723"	1.87291486842044	6.77239106299941	56.9377944434791	6.59539819808655e-10	5.20883742815871e-07	"gene-85723"
"gene-42302"	1.6865782171182	6.83191008873074	56.6351889274239	7.09913528521547e-10	5.20883742815871e-07	"gene-42302"
"gene-84721"	2.15660784059771	8.4786297516577	56.4949154401376	7.34604751996809e-10	5.20883742815871e-07	"gene-84721"
"gene-16817"	1.69600511968708	8.93855332139615	54.8800686683427	1.09251356915783e-09	7.26248395097665e-07	"gene-16817"
"gene-150499"	1.12049838630254	3.92939131785128	52.7165053013595	1.87770290913581e-09	1.13652127909988e-06	"gene-150499"
"gene-331776"	1.77509953680479	4.54525597706807	52.6214792682521	1.9234094606805e-09	1.13652127909988e-06	"gene-331776"
"gene-377584"	0.604596662722831	6.31343289317223	51.0536704605958	2.86964114467444e-09	1.60639490603986e-06	"gene-377584"
"gene-27378"	1.57115933524745	6.86830472592152	49.2412236803657	4.59340693585405e-09	2.28544893367857e-06	"gene-27378"
