"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-372264"	-10.6417592194528	2.93846151014881	269.538538756258	1.10742685835103e-15	1.21739434538529e-11	"gene-372264"
"gene-372068"	-10.4020323027457	2.43826683630667	81.6198132183237	1.76526097394097e-10	9.70275694326656e-07	"gene-372068"
"gene-333573"	3.63466808348439	3.79212117199302	71.0838947767079	5.59960725945774e-10	2.05188275344063e-06	"gene-333573"
"gene-41508"	-14.6531060813699	6.57636323570121	69.4835169874242	1.15932293153448e-09	3.18610924658964e-06	"gene-41508"
"gene-122433"	-7.17091405051371	4.2737897107239	64.5242337694449	1.74944132772066e-09	3.84632170312664e-06	"gene-122433"
"gene-198922"	-12.6496178435725	4.47337648889412	73.9185160818673	2.95886932158938e-09	5.42114174203867e-06	"gene-198922"
"gene-33981"	-11.7798611468651	6.81901060466145	62.0218079767513	4.14104776253677e-09	6.03049320944229e-06	"gene-33981"
"gene-163088"	-13.075112745456	5.14265335204795	61.6949922420632	4.38860599249871e-09	6.03049320944229e-06	"gene-163088"
"gene-157744"	-11.7761309294067	3.77104909823546	63.3694265747712	5.08822149216115e-09	6.21497987370306e-06	"gene-157744"
"gene-227053"	-13.3206384833959	5.05849661168157	69.0651381112513	5.83901488706985e-09	6.41882906535589e-06	"gene-227053"
"gene-156891"	-8.83834523082623	5.32745216470942	56.9917982024113	7.14020218274861e-09	7.13565841772323e-06	"gene-156891"
"gene-39831"	-13.2227036137506	5.10271483717411	67.0091995309735	7.87017419706317e-09	7.20973541235962e-06	"gene-39831"
"gene-118220"	-13.4510203145588	5.24416989563297	59.485865916072	9.90080050747649e-09	8.37226922912993e-06	"gene-118220"
"gene-87838"	-12.6635991469675	4.60543354144124	55.5087534912611	2.01905675580791e-08	1.5575755241421e-05	"gene-87838"
"gene-92145"	-9.78028538151628	4.90135864545023	57.2976567558728	2.23984405953211e-08	1.5575755241421e-05	"gene-92145"
"gene-122791"	-11.6352102966461	3.50113154927567	60.0758176604238	2.26700703959553e-08	1.5575755241421e-05	"gene-122791"
"gene-136337"	-11.8571006446437	3.94233228915026	58.7217053440548	2.81527237532862e-08	1.82048760129338e-05	"gene-136337"
"gene-242872"	-11.7545071177045	3.90719316121808	53.1861767593027	3.10933920477256e-08	1.89894254878138e-05	"gene-242872"
"gene-38083"	-14.8011916820534	6.99141078921743	52.8892469664741	3.28868141298298e-08	1.90276183015378e-05	"gene-38083"
"gene-253843"	-12.6378075910895	4.45122143747313	57.0159320447747	3.7170081300679e-08	2.04305351869182e-05	"gene-253843"
"gene-350745"	-13.5156188984521	5.68617023842967	51.8778338176471	3.98696714905155e-08	2.08708237473922e-05	"gene-350745"
"gene-181301"	-10.5234603954377	2.28639452776959	51.02688861548	4.6968747267798e-08	2.33727641410413e-05	"gene-181301"
"gene-200848"	-10.9692905509323	2.95902869553336	50.8188608943377	4.89014441229829e-08	2.33727641410413e-05	"gene-200848"
"gene-44107"	-6.7354882510371	5.49826456047701	47.1735633756986	5.38922085071768e-08	2.46848770049748e-05	"gene-44107"
"gene-362876"	-11.4703374995746	3.23844262088721	48.2404027945367	5.83154810205861e-08	2.56424833143721e-05	"gene-362876"
"gene-177267"	-12.4756674708609	4.23207131553978	47.8558998653825	6.31869508780712e-08	2.59367710589416e-05	"gene-177267"
"gene-178966"	-9.25320106877356	4.18599713498932	47.7047850375428	6.52180724895561e-08	2.59367710589416e-05	"gene-178966"
"gene-6405"	-12.4299762531613	4.18287410590915	49.2840224258354	6.60629118211921e-08	2.59367710589416e-05	"gene-6405"
"gene-237342"	-6.20438459202991	4.4842504043968	45.2518879201817	8.23942507548225e-08	3.12331033981988e-05	"gene-237342"
