"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-58400"	4.13880124755003	2.14469789481256	42.1706164579074	1.03711804625874e-07	0.00109799687557412	"gene-58400"
"gene-181562"	8.09783571749343	2.06611054511408	36.4599623467516	4.46875326467043e-07	0.00236553454065329	"gene-181562"
"gene-163028"	-3.29768840429909	4.49271627560508	34.7563719732546	7.06571845185933e-07	0.00249349204166116	"gene-163028"
"gene-211152"	-6.67984897717267	4.44807563512391	29.8048463219391	2.85825106605461e-06	0.00756507600908003	"gene-211152"
"gene-106209"	-6.69895388928615	-0.797732991341001	28.5866160845101	4.71914609571023e-06	0.00991864413888583	"gene-106209"
"gene-136450"	-2.75141274793887	5.55980099186959	27.5360492435314	5.6212208211311e-06	0.00991864413888583	"gene-136450"
"gene-92640"	5.43841541649957	1.85188791495419	25.8731780306717	9.37538297553664e-06	0.013864203899208	"gene-92640"
"gene-185530"	-8.6718966453753	4.43376645570462	25.5181509678061	1.04763985258963e-05	0.013864203899208	"gene-185530"
"gene-172388"	-4.27990295077804	4.19000297345393	24.4013980926599	1.492057446486e-05	0.0149362329731147	"gene-172388"
"gene-433"	-4.6163334789047	4.77773913683156	24.3742587998381	1.50506054081659e-05	0.0149362329731147	"gene-433"
"gene-180400"	7.71799955297326	2.65440754410955	24.2785263896952	1.55188970156099e-05	0.0149362329731147	"gene-180400"
"gene-57466"	-10.2709197216296	3.68412638231019	23.8113763226174	2.01325415656876e-05	0.0158004211835084	"gene-57466"
"gene-6405"	-6.93907720505485	3.86216569257835	24.8806396488834	2.01631012506251e-05	0.0158004211835084	"gene-6405"
"gene-237494"	-3.29149717822393	3.75873460729204	23.3574068093476	2.08941056549653e-05	0.0158004211835084	"gene-237494"
"gene-398804"	-9.3913401217422	4.35636728993032	23.105012149631	3.41874422550493e-05	0.0223441006613233	"gene-398804"
"gene-342049"	-5.11033711365935	2.79145958319733	21.8297707113527	3.45847763179285e-05	0.0223441006613233	"gene-342049"
"gene-10049"	-6.47847285473325	3.22747458077987	21.7200258818521	3.58788808201091e-05	0.0223441006613233	"gene-10049"
"gene-87275"	-3.4905374045408	4.0409177804763	21.3545660720542	4.05691734659602e-05	0.0238614355268956	"gene-87275"
"gene-326728"	-5.78138834188875	2.93825464097043	20.840449198045	4.82906223651556e-05	0.0269080431042054	"gene-326728"
"gene-172624"	-8.32782525792846	0.800200475432636	20.7546036475759	5.44417128373658e-05	0.0288187206904596	"gene-172624"
"gene-141548"	-8.13487465733272	3.83607734106953	20.192831044079	6.02846629468841e-05	0.0303920822199363	"gene-141548"
"gene-335655"	-5.54353763731432	4.02236080876463	19.2582400822769	8.34308814223031e-05	0.0384576773802698	"gene-335655"
"gene-218723"	4.11620577728512	4.06167402428467	19.2542286465895	8.35483687301602e-05	0.0384576773802698	"gene-218723"
"gene-367071"	-4.89058517700733	5.13564571723814	19.0981713925122	8.82571584757452e-05	0.0389324390326131	"gene-367071"
"gene-152204"	-1.71590584939222	2.68750950265041	18.7810512825621	9.87095520021464e-05	0.041801521081869	"gene-152204"
"gene-10198"	-4.24195245007509	7.20923030845133	18.4484204347263	0.000111088464730938	0.0434810444974572	"gene-10198"
"gene-152706"	-2.56298249129933	3.7771695659137	18.3854437127666	0.000113611173716203	0.0434810444974572	"gene-152706"
"gene-273137"	-6.15096725766212	4.14505792600998	18.2565134254202	0.00011896627656642	0.0434810444974572	"gene-273137"
"gene-379542"	-5.37649796986993	0.439062940558774	18.2418654497672	0.000119591313417297	0.0434810444974572	"gene-379542"
"gene-104695"	-3.23496480745541	4.26488586874309	18.1586017496103	0.000123210667320649	0.0434810444974572	"gene-104695"
"gene-45480"	-6.29419389241088	3.1807752541948	17.8374020223722	0.000138292911907713	0.0459434325821587	"gene-45480"
"gene-27654"	-6.17133500488592	5.89793889166249	17.8259081057954	0.000138867464119116	0.0459434325821587	"gene-27654"
"gene-275720"	-9.3004949540198	3.81283017683095	17.7906056461137	0.000151224945503908	0.0474929917870996	"gene-275720"
"gene-77414"	3.97837922582544	4.08707342231186	17.5665817222079	0.000152523067985396	0.0474929917870996	"gene-77414"
"gene-49788"	-5.13194650088453	2.85088873508064	17.1658884226447	0.000176480140629344	0.0533827213955104	"gene-49788"
"gene-209323"	-9.01113112309941	2.24784663677098	17.8256039106664	0.000184575613114566	0.0542806115567754	"gene-209323"
"gene-79630"	-5.93189163422469	3.30865133026855	16.8330776830187	0.000199395568759966	0.0562226275297997	"gene-79630"
"gene-368606"	-6.33390920263783	3.71255957097677	16.7348962755486	0.000206740609991835	0.0562226275297997	"gene-368606"
"gene-179634"	-8.53379917921084	2.6233418627345	16.6719172353825	0.00021160209890978	0.0562226275297997	"gene-179634"
"gene-26944"	-3.33298941628713	7.35033911063301	16.5973236046051	0.00021751674146373	0.0562226275297997	"gene-26944"
"gene-132117"	-6.03678938534742	5.2476591111224	16.5946504887983	0.000217731909768753	0.0562226275297997	"gene-132117"
"gene-3833"	-1.50871140638387	4.43306270862467	16.4139802732564	0.000232808596406118	0.0586843954797994	"gene-3833"
"gene-70225"	-5.63317128031318	3.83915521732299	16.1981897247381	0.000252273484801616	0.0591336901401575	"gene-70225"
"gene-407334"	-5.03678152764885	3.82331764953334	16.1565288321511	0.000256225462403436	0.0591336901401575	"gene-407334"
"gene-294758"	-4.46077348245971	4.40356826796918	16.1377482769029	0.000258028328964705	0.0591336901401575	"gene-294758"
"gene-2814"	-4.57634209621691	3.87085827831237	16.0506968829164	0.00026656166631098	0.0591336901401575	"gene-2814"
"gene-288876"	-2.2976991183726	3.43695502221656	16.0425441668944	0.000267375973105247	0.0591336901401575	"gene-288876"
"gene-218923"	3.62625904065076	3.05699183351255	16.0352773710343	0.000268104007436248	0.0591336901401575	"gene-218923"
"gene-62605"	-6.06650734551956	2.46351389768214	15.6292911321098	0.000312297732035252	0.0674754303889227	"gene-62605"
"gene-24447"	-7.11980580232108	-0.929769774409388	15.4940150275093	0.000348686840475913	0.0738309516023698	"gene-24447"
"gene-185248"	3.32824401364426	2.42056399923841	15.0923056449597	0.000382914980647369	0.0794487070717721	"gene-185248"
"gene-243308"	-2.58451730178904	3.50501552008854	15.0427932867613	0.000390226954541622	0.0794487070717721	"gene-243308"
"gene-56617"	-4.23014663422584	3.42746531582746	14.8031597725959	0.000427761513422431	0.0854473800491184	"gene-56617"
