"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-237494"	-5.81393002064157	3.73447763363854	31.1422567239759	7.74265189687127e-06	0.0819404850245886	"gene-237494"
"gene-248072"	-9.37033408454315	3.26502323791872	25.2813486976701	4.06746986117415e-05	0.19771961523761	"gene-248072"
"gene-48523"	-8.16105550974901	3.06231932168347	22.566328654499	8.17733403246204e-05	0.19771961523761	"gene-48523"
"gene-237342"	5.52055379771377	4.26441814257248	23.711810854171	8.61775489220144e-05	0.19771961523761	"gene-237342"
"gene-426041"	-6.67730570951625	0.164662327078124	21.5968902298644	0.000106060282406402	0.19771961523761	"gene-426041"
"gene-24185"	-10.0257105062951	3.98540392912706	20.7648631213644	0.000112096540813159	0.19771961523761	"gene-24185"
"gene-24278"	-15.1510398363016	2.46650307231081	21.6770319205889	0.000208646977386964	0.314153964083912	"gene-24278"
"gene-24203"	-9.68030513798888	2.53830066924079	19.2724635297297	0.000295793049514128	0.314153964083912	"gene-24203"
"gene-23840"	-9.33747662912083	3.06205159702122	17.4655466223676	0.000300780982011618	0.314153964083912	"gene-23840"
"gene-430780"	9.00264861748705	3.87428232979066	17.0332405009807	0.000344415917568715	0.314153964083912	"gene-430780"
"gene-24132"	-11.5876559697477	4.71691296196968	18.31081615326	0.00038221017499471	0.314153964083912	"gene-24132"
"gene-23538"	-9.80298834875739	2.82675956690765	18.0632484852754	0.000408747395945832	0.314153964083912	"gene-23538"
"gene-126138"	-8.63912072566749	2.62697223024576	16.9039599274	0.000409417742951909	0.314153964083912	"gene-126138"
"gene-24290"	-7.38590963335659	2.62777565501582	16.4417599700096	0.000415586837113746	0.314153964083912	"gene-24290"
"gene-199491"	5.02497788059978	2.56996294180868	16.9945329438323	0.000502717675663307	0.340391455512018	"gene-199491"
"gene-221329"	-6.85961346717144	1.12300528695201	16.0769837316478	0.000528750834303427	0.340391455512018	"gene-221329"
"gene-23597"	-10.0947591964509	7.15835196117192	15.5765784836131	0.000549959228850755	0.340391455512018	"gene-23597"
"gene-73742"	-6.42891096519817	3.1863404891374	15.7051114258673	0.000594355479096257	0.340391455512018	"gene-73742"
"gene-40003"	-6.69527256556784	4.4134357119021	15.2561464480047	0.000611115719052097	0.340391455512018	"gene-40003"
"gene-24221"	-7.51328981263613	0.426123239974958	16.3078423724146	0.000667355465120956	0.353131144368754	"gene-24221"
"gene-24167"	-8.4370173785897	1.43043718234322	15.7980709772466	0.000773266930151781	0.386207327086243	"gene-24167"
"gene-24120"	-8.44828740356134	4.28213552672058	14.4399046868225	0.000802849966540427	0.386207327086243	"gene-24120"
"gene-220249"	5.42519095062977	2.7124900344487	14.6992805182462	0.000995023904797401	0.451374831960074	"gene-220249"
"gene-225030"	2.42182690076691	5.53677262747537	13.6835685557713	0.00103976215773518	0.451374831960074	"gene-225030"
"gene-244235"	5.31412218620525	0.261329054604586	13.6108053648519	0.00106627334394802	0.451374831960074	"gene-244235"
"gene-24052"	-7.24927869926314	-0.757374906912587	14.2902012138273	0.00121255519502632	0.476834891054126	"gene-24052"
"gene-24088"	-7.04072963491995	2.90710246746413	13.2323417310083	0.00121653047892482	0.476834891054126	"gene-24088"
"gene-23365"	-10.5348208890713	3.63846211751528	13.4168089514945	0.00158987693473153	0.600916700009422	"gene-23365"
"gene-260566"	-6.73366924727378	4.80045360553858	11.5983845135245	0.00218783571614808	0.780831816846538	"gene-260566"
"gene-400501"	6.15072552514493	0.7035770212944	12.1954275822047	0.00222336333888967	0.780831816846538	"gene-400501"
"gene-224357"	4.89540024354747	4.99181024911864	12.1109996769565	0.002287232951171	0.780831816846538	"gene-224357"
"gene-15763"	-8.43443728714637	4.6655179686434	11.2787617457315	0.00246277777754169	0.814486788116366	"gene-15763"
"gene-58433"	-7.29594514853515	-0.117552704599141	11.2855633482629	0.00264948394547786	0.849681472575521	"gene-58433"
"gene-24079"	-6.20961501585767	-0.678896652031388	11.6783473050397	0.00279547029290144	0.870131238522822	"gene-24079"
"gene-34357"	3.9094881285761	2.49771809320796	12.3490341298805	0.00294123104611833	0.889344233173437	"gene-34357"
"gene-58180"	0.7595295197708	5.67479744712803	10.4691024639398	0.00334270478923743	0.982662355124993	"gene-58180"
"gene-401453"	1.19592177147219	5.10920283078779	10.1711125421135	0.00374838876574629	0.999974328158886	"gene-401453"
"gene-42529"	-2.53432367996084	1.65760364016016	10.0865739008403	0.00387302736981317	0.999974328158886	"gene-42529"
"gene-23514"	-6.60110394561941	2.7481545068177	10.0097178125079	0.0039902645576931	0.999974328158886	"gene-23514"
"gene-58265"	-4.56413631816678	4.42509853110368	10.0003966918826	0.0040047440037057	0.999974328158886	"gene-58265"
"gene-27466"	-1.48867558332498	2.48739437808737	9.99628163324386	0.00401115455106058	0.999974328158886	"gene-27466"
"gene-23689"	-6.62338391158642	1.51621580111141	9.85866101894408	0.00423211849010825	0.999974328158886	"gene-23689"
"gene-140193"	4.92577006898906	0.026399457167091	10.1235773312567	0.00457151996571949	0.999974328158886	"gene-140193"
"gene-23413"	-4.84212077392313	-1.0454314550306	10.1754269789232	0.0046926126762631	0.999974328158886	"gene-23413"
"gene-126153"	-5.47976020286805	2.84916718783043	9.70886140479683	0.00476959847456813	0.999974328158886	"gene-126153"
"gene-185593"	-6.1749497288063	-0.422955247929727	9.6229087497285	0.00492972249956889	0.999974328158886	"gene-185593"
"gene-193446"	4.76793959222547	4.9884861310462	9.84565840183011	0.00505771153278041	0.999974328158886	"gene-193446"
"gene-20302"	-4.33617455299442	2.00135055533795	9.39912769678718	0.00537496717363476	0.999974328158886	"gene-20302"
"gene-297013"	-5.38920962391121	3.36724475776204	9.18263182236749	0.00552869874682574	0.999974328158886	"gene-297013"
"gene-49788"	-4.28938972915144	2.66823803454094	9.04480562867173	0.00584300276385861	0.999974328158886	"gene-49788"
"gene-242473"	-6.38277708256004	-1.14652810214158	9.09164378022677	0.00606034297921328	0.999974328158886	"gene-242473"
"gene-324122"	4.80701544669897	2.87861890057031	9.25231332797721	0.00629958853171992	0.999974328158886	"gene-324122"
"gene-286539"	-5.17423368525957	2.48860734894857	8.88756441123241	0.00656798593610693	0.999974328158886	"gene-286539"
"gene-430813"	6.99837499677342	0.234435579820925	9.07829029383679	0.006725438047125	0.999974328158886	"gene-430813"
"gene-31823"	-2.50095832599047	1.28788178489681	8.65694842588472	0.00683713431470378	0.999974328158886	"gene-31823"
"gene-137597"	-2.88111842744221	1.15980348934411	8.62404959761221	0.00692959806006345	0.999974328158886	"gene-137597"
"gene-187157"	-6.28322869417808	4.32971624216153	8.74828170128418	0.00694120927655981	0.999974328158886	"gene-187157"
"gene-351334"	1.14398926721093	3.57027030766718	8.59756750150689	0.0070050202019516	0.999974328158886	"gene-351334"
"gene-428852"	4.68670152892375	8.45141055063629	8.52147777571067	0.00722676492386599	0.999974328158886	"gene-428852"
"g7961"	-3.98811536364387	-0.217119845244693	8.39759189870685	0.00760439518641974	0.999974328158886	"g7961"
"gene-122692"	-6.49220576306392	-0.361657377959678	8.38352282086316	0.0080338863109165	0.999974328158886	"gene-122692"
"gene-164684"	3.41025161360092	4.98546665436741	8.14547732603979	0.00844131349479497	0.999974328158886	"gene-164684"
"gene-228543"	-4.48404567197454	3.92197517898845	8.20467800339991	0.0086376897370682	0.999974328158886	"gene-228543"
"gene-407253"	-4.32277230385039	-1.15160261859061	8.51318018286728	0.00864182466371846	0.999974328158886	"gene-407253"
"gene-132117"	-6.77340073045539	5.11255716149695	8.12743208684111	0.00891378183650816	0.999974328158886	"gene-132117"
"gene-195479"	-3.08437273438504	0.0329464080938781	7.96593928627736	0.00909862650407096	0.999974328158886	"gene-195479"
"gene-430807"	6.5327508897356	0.277740822521729	8.23195262842804	0.00930886349645582	0.999974328158886	"gene-430807"
"gene-24347"	-2.77827170584901	1.03821937830536	7.65400988157241	0.0103779956730252	0.999974328158886	"gene-24347"
"gene-198928"	-4.36026813728015	2.64126646345008	7.61522414773422	0.0110100152922124	0.999974328158886	"gene-198928"
"gene-193685"	-3.06664958433097	0.11393199863426	7.41985343411834	0.0114679000915447	0.999974328158886	"gene-193685"
"gene-104966"	-5.24166497073876	2.58503284646024	7.50407842271934	0.0115333597376802	0.999974328158886	"gene-104966"
"gene-321850"	3.26849296906687	0.492554876900163	7.339765783304	0.0118690071647753	0.999974328158886	"gene-321850"
"gene-341875"	-3.63499913486813	4.01504588776209	7.33814363763445	0.0118772888773209	0.999974328158886	"gene-341875"
"gene-341043"	4.34511391837078	0.939982320518773	7.60696568337543	0.011927916651007	0.999974328158886	"gene-341043"
"gene-41508"	-4.13149636227333	6.40098754431432	7.41162182195709	0.0119896460890385	0.999974328158886	"gene-41508"
"gene-326091"	-4.11230875306432	0.23974573566434	7.29889958518882	0.0120795907211176	0.999974328158886	"gene-326091"
"gene-271599"	0.670393349895732	5.59020100131569	7.28717541656995	0.0121407597667056	0.999974328158886	"gene-271599"
"gene-380689"	-10.1953983969364	6.23965307957531	7.20704517372302	0.0125680419643611	0.999974328158886	"gene-380689"
"gene-53281"	3.43517470744539	3.47154426157412	7.46842854763909	0.0126138883629111	0.999974328158886	"gene-53281"
