"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-372264"	-10.1117656319062	2.98687000889392	174.736755849157	6.82836854793802e-11	6.33112493382021e-07	"gene-372264"
"gene-41508"	-14.1270748948432	6.40098754431432	113.13553156163	1.78509803149266e-10	6.33112493382021e-07	"gene-41508"
"gene-33981"	-11.7253885725521	6.97062574825177	134.187607943686	1.7947061137164e-10	6.33112493382021e-07	"gene-33981"
"gene-198922"	-12.1213962293391	4.53253569690329	133.0786037402	6.58892925615687e-10	1.65247901531093e-06	"gene-198922"
"gene-372068"	-9.88924863060347	2.24437564853872	130.351163928316	7.80723337102395e-10	1.65247901531093e-06	"gene-372068"
"gene-227053"	-12.7899781839991	4.99352362769847	124.487447428184	1.13663733882492e-09	2.00483882613069e-06	"gene-227053"
"gene-340320"	-10.0983924573177	2.57875600212174	115.448347973672	2.09305851432484e-09	3.16440546529997e-06	"gene-340320"
"gene-156891"	-8.80626164207033	5.21160909027999	79.0234189095372	2.67990672975378e-09	3.54518161512303e-06	"gene-156891"
"gene-122791"	-11.102138780659	3.45141438922041	105.059769156274	4.45429849724533e-09	4.60795847189732e-06	"gene-122791"
"gene-39831"	-12.7056852801747	4.81625436325977	104.898592636172	4.50904498601439e-09	4.60795847189732e-06	"gene-39831"
"gene-177267"	-11.9420910549915	4.26660158983956	104.105490124691	4.78952501094874e-09	4.60795847189732e-06	"gene-177267"
"gene-218523"	-11.7105590889105	4.08763983836802	101.221256526603	5.98501788008194e-09	5.27828701874226e-06	"gene-218523"
"gene-290343"	-12.33077418	4.52151013894143	99.6992613521811	6.74660243058519e-09	5.49225334791408e-06	"gene-290343"
"gene-213719"	-10.3912467681197	5.15845656464311	87.2224564866804	7.63686214644901e-09	5.77292229256213e-06	"gene-213719"
"gene-362876"	-10.946428186158	3.46582976964209	96.1519651835429	8.97429635569521e-09	6.16803284578741e-06	"gene-362876"
"gene-118220"	-12.91080319376	5.11515571917268	74.4785657780143	9.32519375721426e-09	6.16803284578741e-06	"gene-118220"
"gene-178966"	-9.17292569323464	4.1063873319164	68.3192973219542	1.0839361325658e-08	6.74782122996696e-06	"gene-178966"
"gene-92145"	-9.71166211013978	4.76047382016219	82.9904685923183	1.15798342918175e-08	6.80829923946138e-06	"gene-92145"
"gene-44107"	-6.72650572052362	5.63783686298652	66.2379255484073	1.44929071956962e-08	7.7424656188311e-06	"gene-44107"
"gene-20646"	-9.4886139088532	1.92319021951173	90.3225697191005	1.46318919376946e-08	7.7424656188311e-06	"gene-20646"
"gene-157744"	-11.2631732624312	3.39034024512712	89.7211380502552	1.54118514809322e-08	7.76683924870024e-06	"gene-157744"
"gene-333573"	3.6327567045915	3.55365146020085	64.6243618312871	1.82378599865937e-08	8.77323964718733e-06	"gene-333573"
"gene-122800"	-10.4467526628516	2.63672672733561	86.0536506318421	2.12908812941021e-08	9.79658246676011e-06	"gene-122800"
"gene-7352"	-8.13469747743456	3.87785794697906	61.7474043528295	2.77682584680388e-08	1.21469256644604e-05	"gene-7352"
"gene-26944"	-6.9439284788057	7.27873333430631	61.5268479916519	2.86944289531807e-08	1.21469256644604e-05	"gene-26944"
"gene-6405"	-11.9153616489064	4.09283349580827	81.536509238288	3.22146290459149e-08	1.31125930458814e-05	"gene-6405"
"gene-50706"	-10.4032069339619	2.69762680845914	79.5868509754143	3.8746929427419e-08	1.5187361264088e-05	"gene-50706"
"gene-133409"	-12.1337156999642	4.3041474380962	63.0828869311629	4.07706329276224e-08	1.54098431526081e-05	"gene-133409"
"gene-142374"	-9.62633993302015	1.97716399490623	78.228785577224	4.41621538436505e-08	1.61161404871501e-05	"gene-142374"
"gene-181301"	-10.007030458216	2.66840145677294	62.0730507278715	4.69036746279721e-08	1.65460529529276e-05	"gene-181301"
"gene-228543"	-11.6722961816964	3.92197517898845	59.568504147277	6.68900910361651e-08	2.28354139817979e-05	"gene-228543"
"gene-242461"	-10.1277466211059	2.64195780376202	73.3832722409699	7.15410935264085e-08	2.3047262265046e-05	"gene-242461"
"gene-38873"	-10.1150183902326	2.56640421817385	73.3389208855218	7.18661678868484e-08	2.3047262265046e-05	"gene-38873"
"gene-253843"	-12.123853413103	4.23983555753774	58.534530480226	7.76943121159227e-08	2.32396428007753e-05	"gene-253843"
"gene-236062"	-5.38155877690066	4.57482004665469	55.0161205693658	7.86850266398556e-08	2.32396428007753e-05	"gene-236062"
"gene-383831"	-10.7034358955893	2.90269233967862	72.4113924041023	7.90538732710869e-08	2.32396428007753e-05	"gene-383831"
"gene-116614"	-8.21355026885515	4.26427978964256	54.0073453470035	9.26816080659512e-08	2.65094448151881e-05	"gene-116614"
"gene-237494"	-7.49213307550257	3.73447763363854	53.6600233976848	9.81041757628392e-08	2.73220129499507e-05	"gene-237494"
"gene-198745"	-10.9980483320471	3.33255736583301	56.1911969879609	1.09878282192253e-07	2.98164579600158e-05	"gene-198745"
"gene-163088"	-12.564226653435	4.68940938717577	67.8819564381019	1.27774607420129e-07	3.37283815167052e-05	"gene-163088"
"gene-181289"	-10.9169965153028	3.46614721615489	67.6763703142665	1.30668396691384e-07	3.37283815167052e-05	"gene-181289"
"gene-136337"	-11.3399702412976	3.52361744687746	66.815440281587	1.43601023980022e-07	3.54791915488671e-05	"gene-136337"
"gene-170101"	-10.8948103196684	3.15481498116464	54.3497004253426	1.45346434878834e-07	3.54791915488671e-05	"gene-170101"
"gene-348880"	-10.926463765141	3.11720330367211	66.5721204843253	1.47508686398011e-07	3.54791915488671e-05	"gene-348880"
"gene-79518"	-9.28567108211841	5.40222311037598	50.7277790421991	1.60211564690691e-07	3.76781997582574e-05	"gene-79518"
"gene-105556"	-8.92750558463762	1.48059098873393	53.1401846934847	1.75311422535803e-07	4.03330605368783e-05	"gene-105556"
"gene-273241"	-10.0694338176433	2.53149067909621	52.7143923410877	1.87404856743404e-07	4.21979914662861e-05	"gene-273241"
"gene-29112"	-9.46793043721065	1.87119683511194	64.0789104145942	1.95112111314605e-07	4.30181557092179e-05	"gene-29112"
"gene-249966"	-11.090565861384	3.34536445892598	63.6167539090391	2.0568798572963e-07	4.44244072036057e-05	"gene-249966"
"gene-61479"	-12.4867164021442	4.63456369630767	51.7305236912804	2.18957932216178e-07	4.63446359328762e-05	"gene-61479"
"gene-181319"	-11.5174364123442	3.79594537823682	62.836935534397	2.25003774575089e-07	4.66904891436896e-05	"gene-181319"
"gene-291112"	-6.20775645602142	2.34580449852603	48.5525081635032	2.33456944162181e-07	4.75129776936224e-05	"gene-291112"
"gene-26135"	-7.80005706013518	3.92363804321037	48.4050077082454	2.39591811273316e-07	4.7531504938567e-05	"gene-26135"
"gene-323535"	-10.9697886655402	2.96871740687575	62.1910102893459	2.42530593091054e-07	4.7531504938567e-05	"gene-323535"
"gene-252984"	-9.24960152415557	4.82266671295029	56.5322825341594	2.50445731862615e-07	4.81903123691283e-05	"gene-252984"
"gene-99832"	-10.8854576745307	3.09196060646531	61.6846809676372	2.57329028839494e-07	4.82694263606306e-05	"gene-99832"
"gene-355067"	-4.11441816066592	3.70792198424961	47.9425964763534	2.59978957059052e-07	4.82694263606306e-05	"gene-355067"
"gene-281940"	-9.79192877465479	2.04346426707581	60.9775743082563	2.79697511283308e-07	5.10351510674354e-05	"gene-281940"
"gene-145478"	-7.48815050140791	3.10441079445515	47.2436527139281	2.94430982108758e-07	5.20722276195254e-05	"gene-145478"
"gene-363459"	-10.8729716654208	3.18008702620259	60.5227103070895	2.95221927352502e-07	5.20722276195254e-05	"gene-363459"
"gene-179836"	-12.030107305511	4.15863329540784	59.6686710114368	3.27016721235907e-07	5.67347206695017e-05	"gene-179836"
"gene-41369"	-11.570629102643	3.8368925757991	58.4828587035165	3.77636443155867e-07	6.25342471396819e-05	"gene-41369"
"gene-20302"	-9.59836242517508	2.00135055533795	48.330488733767	3.81128264549215e-07	6.25342471396819e-05	"gene-20302"
"gene-211152"	-6.32171753110914	4.27720779296124	45.8143641435699	3.81225827529346e-07	6.25342471396819e-05	"gene-211152"
"gene-73742"	-11.0314669943112	3.1863404891374	48.284278793005	3.84080701509905e-07	6.25342471396819e-05	"gene-73742"
"gene-170744"	-10.2383140704711	2.42667893483006	58.1174345983082	3.94941734565714e-07	6.33283087410447e-05	"gene-170744"
"gene-385611"	-8.98518155854427	4.79654560025419	45.3030162525387	4.18682878967739e-07	6.61331478823221e-05	"gene-385611"
"gene-7154"	-14.2225313990359	6.22417677259582	47.5780302592485	4.32433672913296e-07	6.71295047780447e-05	"gene-7154"
"gene-104957"	-11.2890374075739	3.49842461011326	57.2861541480285	4.37677013104515e-07	6.71295047780447e-05	"gene-104957"
"gene-51064"	-6.26203591336117	4.2052912659555	44.9368596019039	4.47937204245924e-07	6.7721706179066e-05	"gene-51064"
"gene-364225"	-8.97680429361965	1.34097867541653	56.9289829939599	4.57592568458273e-07	6.82070725632944e-05	"gene-364225"
"gene-122433"	-7.1471739593022	4.27270993871249	44.6519143894942	4.72228440283139e-07	6.86028259445265e-05	"gene-122433"
"gene-237342"	-6.17806239892945	4.26441814257248	51.8951199281065	4.78974967997703e-07	6.86028259445265e-05	"gene-237342"
"gene-53281"	-7.65817908119822	3.47154426157412	51.7644227467413	4.88105931263423e-07	6.86028259445265e-05	"gene-53281"
"gene-198928"	-10.4305209981171	2.64126646345008	46.8458482512266	4.89626105117298e-07	6.86028259445265e-05	"gene-198928"
"gene-262696"	-11.3584314322327	3.35495753801981	56.3400806500962	4.92659432276671e-07	6.86028259445265e-05	"gene-262696"
"gene-340805"	-11.4111103803238	3.63073857332626	55.8835331348489	5.218970926079e-07	7.17303497541481e-05	"gene-340805"
"gene-259401"	-10.6881360878041	2.7296898139844	46.0660355647066	5.59701215554395e-07	7.35286380323508e-05	"gene-259401"
"gene-114203"	-8.67222915736747	1.07945527926781	55.3309627559933	5.59885728970276e-07	7.35286380323508e-05	"gene-114203"
"gene-275101"	-13.0269526161091	5.07939460745781	46.0395534119787	5.62264598852592e-07	7.35286380323508e-05	"gene-275101"
"gene-285657"	-11.4124066573233	3.49710301978708	55.2906850238435	5.62772340604782e-07	7.35286380323508e-05	"gene-285657"
"gene-280686"	-12.3474762184285	4.37956629144931	45.3706937401976	6.31425354450633e-07	8.14923722701347e-05	"gene-280686"
"gene-87838"	-12.1541962873295	4.19224997037466	53.8948818491884	6.73761023818927e-07	8.59085893382615e-05	"gene-87838"
"gene-242872"	-11.2415370969812	3.33945959206161	53.6046588454723	6.99766286991861e-07	8.81622216099388e-05	"gene-242872"
"gene-38083"	-14.2727715717229	6.36476025909885	53.0763031714449	7.50014084124943e-07	9.33811653211091e-05	"gene-38083"
"gene-136450"	-3.55542469497218	5.66070806608819	41.8008177560327	8.11077014057202e-07	9.9809628369388e-05	"gene-136450"
