"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-279406"	6.60720830812901	6.62498221321767	62.5095131873645	2.92789355931585e-08	0.000262847296608421	"gene-279406"
"gene-426041"	-6.52982029182615	0.625611550554444	68.6772699367055	4.69202600157838e-08	0.000262847296608421	"gene-426041"
"gene-237342"	6.84946762259824	5.09979691565318	49.3401300574461	3.72294200361112e-07	0.00139039474028197	"gene-237342"
"gene-276797"	7.16508727816144	4.14362222941984	37.317891228399	2.20223184373348e-06	0.00616845139429748	"gene-276797"
"gene-73742"	-5.68206161334999	4.22367381334972	35.2129756574109	3.418767142549e-06	0.0076607734130238	"gene-73742"
"gene-48523"	-5.99817190903503	4.80057008259098	34.3298616086276	4.13126767778535e-06	0.00771445384365117	"gene-48523"
"gene-212511"	5.38215739679332	6.7261233896143	31.710217510557	7.37367424503026e-06	0.0112629188549586	"gene-212511"
"gene-367071"	4.35221787488546	4.64914644325908	31.3283903403756	8.04206987144492e-06	0.0112629188549586	"gene-367071"
"gene-237494"	-3.94052657100555	4.58029833912573	28.6861293750258	1.49183613938289e-05	0.0185717023396065	"gene-237494"
"gene-2355"	-7.22621440798123	4.91892283825784	28.5227018659239	2.70209203621923e-05	0.0302742391738003	"gene-2355"
"gene-218529"	-3.16211724610593	5.79501468927472	24.7901897666524	3.94405515419436e-05	0.0401719944978124	"gene-218529"
"gene-223419"	-7.42082244442151	8.11450030834685	23.2176509298132	5.97602006252811e-05	0.0549906741310748	"gene-223419"
"gene-56617"	2.8394438294858	4.55729475488539	22.9746567050381	6.38056733045316e-05	0.0549906741310748	"gene-56617"
"gene-361761"	1.60316776702576	5.41778324177465	20.108808873774	0.000142088884952772	0.11371170478649	"gene-361761"
"gene-241262"	-12.7995544959915	4.51382242145919	19.476093152593	0.000242424105501462	0.18024659290447	"gene-241262"
"gene-239553"	-2.07051737960602	2.4925943664846	18.1021169290921	0.000257403203005312	0.18024659290447	"gene-239553"
"gene-429233"	0.899011177764202	7.55725971710868	16.8510490117892	0.000378677683122868	0.227408736961873	"gene-429233"
"gene-53571"	-7.86717361034025	1.73276416422198	16.8193571737991	0.00038246222278528	0.227408736961873	"gene-53571"
"gene-223491"	-4.41532473419548	1.43949356583024	16.6170790527683	0.000407605656574375	0.227408736961873	"gene-223491"
"gene-38432"	-1.20110774465663	4.64785532168791	16.5499367959324	0.000416343420049036	0.227408736961873	"gene-38432"
"gene-224061"	-9.66949106650652	5.72579755363662	16.4757182957822	0.000426239153534392	0.227408736961873	"gene-224061"
"gene-301479"	8.55943637100987	3.83977767215943	15.8125051101164	0.00052690192414547	0.233148922531804	"gene-301479"
"gene-89234"	2.10465547604713	2.92061845998091	15.7882650426315	0.000531039456011216	0.233148922531804	"gene-89234"
"gene-211912"	1.56705184982754	2.48008559366583	15.7300132163498	0.000541127341247012	0.233148922531804	"gene-211912"
"gene-218556"	-1.77584082772992	5.01368145603879	15.5855651623344	0.000567051083264805	0.233148922531804	"gene-218556"
"gene-324122"	8.44359384574477	4.71283434421879	15.945308925966	0.000572975900117103	0.233148922531804	"gene-324122"
"gene-222081"	-6.36046686664079	3.22446909130133	16.3948686282019	0.000578789458090667	0.233148922531804	"gene-222081"
"gene-220249"	8.53318118247401	3.10362535413612	15.5019855248221	0.000582664211968092	0.233148922531804	"gene-220249"
"gene-68612"	-3.38119979712449	5.23787486429103	15.3098566689029	0.000620353139677076	0.239459093227587	"gene-68612"
"gene-40060"	-5.57601595618253	5.57395960409456	15.2090516833788	0.000641179292826457	0.239459093227587	"gene-40060"
"gene-385611"	4.89749685591884	5.63637447080489	15.1008002955182	0.000747344975993731	0.262525479854731	"gene-385611"
"gene-407280"	-7.8307037601456	2.97399109752286	14.7072844300863	0.000756781485340723	0.262525479854731	"gene-407280"
"gene-122433"	-2.21239749421139	4.96229365642726	14.6179565869477	0.000779641353112116	0.262525479854731	"gene-122433"
"gene-229506"	-8.72908003979301	0.558071722814756	15.3290940613377	0.000796667825335671	0.262525479854731	"gene-229506"
