"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-396259"	8.3537112187858	0.965495581954737	42.7360956970463	1.14281651295335e-06	0.00953200432539426	"gene-396259"
"gene-395158"	7.53503098596267	0.586524502092988	38.5877877131401	1.70153593812822e-06	0.00953200432539426	"gene-395158"
"gene-224875"	11.1412816965594	10.0390901639743	32.4816994961861	6.19936482757972e-06	0.0215012497447031	"gene-224875"
"gene-395143"	12.4555841966863	3.48528743668166	55.6992768729051	7.67627623873726e-06	0.0215012497447031	"gene-395143"
"gene-90157"	7.90989749655121	1.99487169651692	29.7290618653445	1.53386800775786e-05	0.034370914317838	"gene-90157"
"gene-224860"	8.28085066682388	11.0577614148455	27.2456155297721	2.11807589509972e-05	0.0395515372144954	"gene-224860"
"gene-428738"	8.3505384434078	6.8495475607127	27.6198052764924	2.4876421531477e-05	0.0398164895483811	"gene-428738"
"gene-395080"	7.04792307567869	4.01419891238191	27.0324035464032	2.85701345345346e-05	0.0400124734156157	"gene-395080"
"gene-428071"	-9.22946251253206	3.83264528162149	25.5638451006621	3.23127117765702e-05	0.0402257358605214	"gene-428071"
"gene-224697"	9.40469476072934	8.42940697798116	24.789881001912	3.94437152026055e-05	0.0438458415256482	"gene-224697"
"gene-301479"	4.62637161087121	3.83977767215943	24.3340340280816	4.44282373440009e-05	0.0438458415256482	"gene-301479"
"gene-233410"	-6.37386492361332	-1.49362871915799	31.8495761358286	4.69609155933397e-05	0.0438458415256482	"gene-233410"
"gene-428104"	-10.2032794931	3.80338608701925	23.4469287771543	5.6196725702118e-05	0.0482981015212476	"gene-428104"
"gene-242595"	4.21802199715509	0.756247950882175	23.1810677210601	6.03510729469356e-05	0.0482981015212476	"gene-242595"
"gene-81494"	5.59566994305808	-0.523773439213115	23.5216325081055	6.78576921938379e-05	0.0506851722226506	"gene-81494"
"gene-250269"	1.1314788462774	5.36319159973891	22.232290070449	7.81151046460301e-05	0.0547001020283826	"gene-250269"
"gene-421271"	1.351616342624	4.61131616313763	21.0364550999184	0.000109009093136521	0.0718434046765638	"gene-421271"
"gene-225355"	2.12988397179999	0.78504468653906	20.0915285456878	0.000142800080127799	0.0888851165417698	"gene-225355"
"gene-5642"	0.561692856237614	6.5007744125681	19.3658933869718	0.000176444056490394	0.0962808028610024	"gene-5642"
