"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-220249"	9.21197051340644	2.93250539235953	94.3445521140295	3.42066825823431e-15	3.34267258547478e-11	"gene-220249"
"gene-224875"	13.1898456348111	10.7777115012257	91.7269894295197	6.30931027835935e-15	3.34267258547478e-11	"gene-224875"
"gene-237342"	6.50120948984781	4.22384578352142	97.4208124470126	1.22988269345539e-14	3.97921873206409e-11	"gene-237342"
"gene-395143"	11.1026386591258	3.17928149844557	96.4448804394351	1.50215882675126e-14	3.97921873206409e-11	"gene-395143"
"gene-120952"	2.57752071131392	4.82737339467558	83.2878249274703	4.85464239800108e-14	1.02879581698439e-10	"gene-120952"
"gene-430263"	9.72875854899349	2.84836164053951	81.8153540887183	7.0073260036274e-14	1.2374937722406e-10	"gene-430263"
"gene-224697"	10.7329917993229	9.63139447971058	77.8690297820438	1.90615850565864e-13	2.88537936085128e-10	"gene-224697"
"gene-225720"	9.28728688795244	2.37979621010046	76.7031553694817	2.57444360367577e-13	3.40985055306855e-10	"gene-225720"
"gene-240623"	10.1932419302209	3.59238007164448	75.5661723868068	3.45886617869806e-13	4.07223844772052e-10	"gene-240623"
"gene-428738"	11.163735237557	6.23252446132037	73.5626047317507	5.85176941741003e-13	6.20053487468767e-10	"gene-428738"
"gene-406796"	1.50601187325025	4.84311059164319	68.9546930623487	2.01498436245015e-12	1.94097948222925e-09	"gene-406796"
"gene-240833"	12.6000321665126	5.36997882830311	65.9180512589578	4.65111131786371e-12	4.10693129367366e-09	"gene-240833"
"gene-395080"	8.44833671039351	3.45382944733175	65.157137175806	5.75183687374858e-12	4.68818950109538e-09	"gene-395080"
"gene-220028"	2.48949346035545	3.22847154338871	63.5601143957771	9.01680834936455e-12	6.82443580499048e-09	"gene-220028"
"gene-241055"	8.97208164435477	3.47349922998878	62.83182021179	1.10875581674724e-11	7.83225108950249e-09	"gene-241055"
"gene-225030"	8.24435780222265	6.16539922257724	60.8885716310988	1.93520929683543e-11	1.28159235682926e-08	"gene-225030"
"gene-224896"	11.3790185022111	4.39300045456912	59.9540016142438	2.53682973642395e-11	1.5308865018973e-08	"gene-224896"
"gene-225236"	7.41190282617981	2.5400271104298	59.8686096722083	2.60059994659791e-11	1.5308865018973e-08	"gene-225236"
"gene-224860"	8.63864413526864	11.5474234323785	59.1904875176953	3.16913536373941e-11	1.70664086840462e-08	"gene-224860"
"gene-225140"	10.8407477586969	3.7885835721233	59.1063650365776	3.24805187707036e-11	1.70664086840462e-08	"gene-225140"
"gene-224593"	10.0145284025209	1.92651326713647	62.9764506970972	3.38235732696272e-11	1.70664086840462e-08	"gene-224593"
