"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-395143"	11.0348825358261	3.1794624861309	197.256701884934	2.99020372523705e-21	3.16841986726118e-17	"gene-395143"
"gene-224875"	12.025859610688	10.7777072380101	159.880141629107	1.34938061232863e-20	7.1490184841171e-17	"gene-224875"
"gene-90157"	9.25106693839785	5.22378163128576	149.041637893424	8.44155504516559e-20	2.98155724195249e-16	"gene-90157"
"gene-224697"	10.2648970633142	9.6313825939911	142.348016144623	2.73890707173675e-19	7.25536483303065e-16	"gene-224697"
"gene-395080"	8.20095281478311	3.45406176041022	134.69568380016	1.10028105966391e-18	2.33171562163977e-15	"gene-395080"
"gene-428738"	8.98629890791214	6.23242897270233	123.691516649581	8.90398986407096e-18	1.57244460999493e-14	"gene-428738"
"gene-224860"	8.17107304960971	11.547420585322	115.58808772583	4.47630920104378e-17	6.77585318489428e-14	"gene-224860"
"gene-120952"	2.05932458965569	4.8274196550054	106.317374872659	3.09524274403002e-16	4.09964901446776e-13	"gene-120952"
"gene-225720"	6.44486214821794	2.38000996458238	105.298354085095	3.85124622393963e-16	4.43209848029229e-13	"gene-225720"
"gene-223491"	-3.71264419726136	1.47007562944644	104.541718211846	4.53333113468522e-16	4.43209848029229e-13	"gene-223491"
"gene-225236"	6.59283501603525	2.54038345636404	104.473038603284	4.60108373756277e-16	4.43209848029229e-13	"gene-225236"
"gene-430263"	6.9938226411573	2.8479873461563	100.252643656909	1.1576102631185e-15	1.02216986233363e-12	"gene-430263"
"gene-225325"	5.29302455985314	3.12737085306256	97.986014619689	1.91760770763147e-15	1.56299779000485e-12	"gene-225325"
"gene-224845"	5.96277830371834	-0.045772036448702	106.316292475636	2.98966705789854e-15	2.26275086753521e-12	"gene-224845"
"gene-237881"	1.79558048047028	2.73263043004196	93.9960377750004	4.73889609936289e-15	3.34755620458994e-12	"gene-237881"
"gene-240623"	6.98180791151809	3.59219545790969	90.967292590215	9.55375719005724e-15	6.32697569911541e-12	"gene-240623"
"gene-227308"	1.99196803809254	4.32402636471254	90.4592679315604	1.07595019016429e-14	6.70633424410638e-12	"gene-227308"
"gene-240833"	7.59259532448885	5.37006646724947	81.0823809900559	1.03301697962332e-13	6.08102662004929e-11	"gene-240833"
"gene-241055"	6.73750202959314	3.47348608621695	80.1259415195354	1.31100572561674e-13	7.31127193086053e-11	"gene-241055"
"gene-238849"	1.70634741513297	4.56664438303689	79.3256092129661	1.60214474583419e-13	8.43353631294957e-11	"gene-238849"
"gene-225629"	6.42038381602861	2.77513484583833	79.1571969177661	1.67142565658683e-13	8.43353631294957e-11	"gene-225629"
"gene-326810"	10.3428220775424	3.603740447907	85.0578866050108	2.24332901648449e-13	1.08046882993953e-10	"gene-326810"
"gene-326909"	7.73671383884752	2.52891888431445	80.4153137130586	6.2595615492374e-13	2.76993346310638e-10	"gene-326909"
"gene-395158"	6.01087646239973	1.39111152625727	73.9869447863873	6.27391497872339e-13	2.76993346310638e-10	"gene-395158"
"gene-240691"	6.8821630159766	4.32916885296902	71.5869466711619	1.17768392953539e-12	4.99149556694278e-10	"gene-240691"
