"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-372264"	-10.6395793964842	3.2538365151059	450.811556326147	8.95274619577305e-32	9.48632986904112e-28	"gene-372264"
"gene-39831"	-13.2710854193985	4.85749491419388	329.327425452889	8.16788869984209e-28	3.02478682155873e-24	"gene-39831"
"gene-33981"	-11.723910906502	6.69518219273523	284.817962332423	8.5639490984109e-28	3.02478682155873e-24	"gene-33981"
"gene-350745"	-12.5865838526939	5.48679077275824	232.541263397821	3.83340426081508e-25	1.01546878868991e-21	"gene-350745"
"gene-198922"	-12.3827712613903	4.41465648347934	255.306879328515	9.42939482834104e-25	1.99827735202203e-21	"gene-198922"
"gene-92145"	-11.2253133459548	4.67504457448414	265.880038582272	1.62927668200521e-24	2.49450904487252e-21	"gene-92145"
"gene-157744"	-9.85739074980373	3.49771126060014	265.763399409651	1.64793915761681e-24	2.49450904487252e-21	"gene-157744"
"gene-156891"	-8.70919710449241	5.23621718359605	217.748993313171	2.60338599207387e-24	3.3798984681518e-21	"gene-156891"
"gene-372068"	-7.67343979323398	2.25467199621057	217.013235255174	2.87080843840753e-24	3.3798984681518e-21	"gene-372068"
"gene-41508"	-10.8446864809824	6.41658204340336	206.514288041628	1.19082759010988e-23	1.26180091448043e-20	"gene-41508"
"gene-178966"	-8.50199177361149	4.02283693892634	196.040411767897	5.19396003785096e-23	5.00320005100625e-20	"gene-178966"
"gene-118220"	-10.0648943752614	4.93651805309471	195.290400316662	5.7841808597172e-23	5.10743169913029e-20	"gene-118220"
"gene-38083"	-13.8278250832716	6.79066166094453	189.989317962787	1.24838878500169e-22	1.01753288968291e-19	"gene-38083"
"gene-253843"	-12.5150643051391	4.19588252336174	210.49827892647	1.55660790525451e-22	1.17812981171977e-19	"gene-253843"
"gene-333573"	3.37442400806899	3.61498241416992	184.407881914542	2.85359611093185e-22	2.01578029276226e-19	"gene-333573"
"gene-44107"	-6.69479774025717	5.45241364019061	183.449943679901	3.29447875868434e-22	2.1817685579387e-19	"gene-44107"
"gene-136337"	-12.1162030505637	3.76811496504944	242.214524232463	1.18480168811911e-21	7.38479922782943e-19	"gene-136337"
"gene-227053"	-13.1466020259481	4.85296006235109	241.397704251214	1.2772103903928e-21	7.51851183144564e-19	"gene-227053"
"gene-170101"	-9.14283223722897	3.0542547798803	173.789850945868	1.44599431220588e-21	8.0640819642808e-19	"gene-170101"
"gene-290343"	-9.90084114862838	4.64729947051353	170.501472661046	2.42389613824647e-21	1.28418017404298e-18	"gene-290343"
