"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-237342"	6.17691088801212	4.22395548072599	92.6946138085619	4.44297474269182e-14	4.70777603735625e-10	"gene-237342"
"gene-40003"	-6.64771725904119	4.49005148028278	34.9701587255965	8.3318047126993e-08	0.000441419013678809	"gene-40003"
"gene-2355"	-5.55667839110865	3.79452802489532	30.4364293819927	4.31284909361593e-07	0.00152329829986515	"gene-2355"
"gene-220249"	4.88755578119395	2.93282601786855	24.1546356141929	4.79109778200222e-06	0.0126916180245239	"gene-220249"
"gene-324122"	4.96044815910505	3.26936852548669	22.7529282907911	8.38848271749038e-06	0.0177768725749056	"gene-324122"
"gene-48523"	-4.4761552048292	3.47798023745731	22.1655341469182	1.06360865285277e-05	0.01878332880938	"gene-48523"
"gene-140193"	3.52113409494646	-0.244949245138842	20.3104766468747	2.27551220515392e-05	0.0344447533225871	"gene-140193"
"gene-204669"	5.86226172044385	1.38420998031641	19.9849964727673	2.60489982526836e-05	0.0345018981856795	"gene-204669"
"gene-222081"	-3.97984483018037	1.79822288995366	17.7580331508257	6.66672272138408e-05	0.0691491432502989	"gene-222081"
"gene-237494"	-3.27874726486555	3.67918808467457	17.6410508526539	7.00923879024571e-05	0.0691491432502989	"gene-237494"
"gene-82952"	-3.65169707468862	4.61350324531873	17.5853775906747	7.1785633800801e-05	0.0691491432502989	"gene-82952"
"gene-73742"	-3.8581020129701	3.16759031343297	17.2594174818427	8.25817358085991e-05	0.072919672718993	"gene-73742"
"gene-244235"	3.52655037882327	0.077356003232556	16.662346779281	0.00010690935929181	0.0850312277074542	"gene-244235"
"gene-426041"	-3.28252956483528	-0.0497060458584171	16.5481449526627	0.00011234779047795	0.0850312277074542	"gene-426041"
"gene-218556"	-1.18850509890022	4.23723812004233	16.2556293557888	0.000127617471602457	0.090148981939976	"gene-218556"
"gene-8100"	2.27059375662741	4.31880356859647	15.7296221501723	0.000160689208359947	0.101570593009544	"gene-8100"
"gene-199491"	2.74230803789758	2.42341488117235	15.6977436923868	0.000162957727554007	0.101570593009544	"gene-199491"
"gene-233537"	5.08970529867657	1.73623016228703	15.4621836196782	0.000208952778480402	0.119075774643651	"gene-233537"
"gene-20302"	-4.02155963933964	1.75563709105992	15.3037755051501	0.000213518282203602	0.119075774643651	"gene-20302"
"gene-416699"	-2.84976074443	0.415118421259503	14.9292601255087	0.000228907565792993	0.121275228357128	"gene-416699"
"gene-243159"	1.39427746435917	4.58647247708442	14.6462297659821	0.000259667883888447	0.131020995127714	"gene-243159"
"gene-185593"	-4.52858324555376	-0.273247646005457	14.3386512915299	0.000297973306809712	0.137146708222496	"gene-185593"
"gene-193446"	4.00980780124185	5.05008524113408	14.5758478383427	0.000305586601514929	0.137146708222496	"gene-193446"
"gene-354992"	-4.21303105000955	2.62166027983743	14.2458759390407	0.000310638070719131	0.137146708222496	"gene-354992"
"gene-430032"	6.77250776403288	4.60243132442892	13.9951534318376	0.000347720485338553	0.147377850505892	"gene-430032"
"gene-221519"	3.35022615683979	2.53778739595454	13.748857987489	0.000388612442323567	0.15837451687925	"gene-221519"
"gene-326377"	-4.43934673264127	3.28192296118359	13.477429656254	0.00043947580968265	0.167729481830916	"gene-326377"
"gene-58286"	-5.9540500257431	5.07448965436061	13.6342931086478	0.000443226263803856	0.167729481830916	"gene-58286"
"gene-32541"	-3.30736738650784	-0.106663113044764	13.3353105500296	0.000468803957093165	0.168429332603552	"gene-32541"
"gene-2814"	-2.53124089208258	3.94689688549745	13.2978473485527	0.000476866740100658	0.168429332603552	"gene-2814"
"gene-65056"	-2.21890770210364	0.539234295473838	12.9752881926262	0.000552503856940052	0.185332548345368	"gene-65056"
"gene-401546"	-6.31129586015937	1.47850745280575	13.0030728348555	0.00058718757160175	0.185332548345368	"gene-401546"
"gene-213851"	-1.01918238044751	4.32345046858984	12.8214049342397	0.000592856582419738	0.185332548345368	"gene-213851"
"gene-220105"	-2.83360530340537	3.41395808191586	12.7585401616191	0.000610207031083917	0.185332548345368	"gene-220105"
"gene-291029"	-4.89126564126436	2.16698533297219	12.7142482219215	0.000622745989862473	0.185332548345368	"gene-291029"
"gene-430068"	5.1236546415443	4.39087417153816	12.6901874371111	0.000629668907175657	0.185332548345368	"gene-430068"
"gene-58265"	-3.39540772557291	4.76689182615269	12.3050116509389	0.00075200399094133	0.211410172455253	"gene-58265"
"gene-253843"	-3.62411229191012	4.19588252336174	12.4352191042546	0.000758171626396718	0.211410172455253	"gene-253843"
"gene-126138"	-3.59080317094729	2.9154213271832	11.860968429145	0.000924057958743938	0.251059439252584	"gene-126138"
"gene-222486"	7.59555820008869	5.19314743806192	11.8507147536724	0.00101914500406087	0.269971511575724	"gene-222486"
"gene-326849"	7.29574925618021	4.3930927304843	11.6824658615612	0.00109991612425238	0.284261250062885	"gene-326849"
"gene-170266"	-1.17426377606301	3.76833746667258	11.2418084375881	0.00123466874244099	0.309937623103917	"gene-170266"
"gene-428765"	6.53811486534001	3.39844931590064	11.3878947644717	0.00125776876118049	0.309937623103917	"gene-428765"
"gene-205685"	0.52128799485599	4.83092293897125	11.103464070265	0.00131779615698596	0.312053623344111	"gene-205685"
"gene-419351"	-3.68851435800555	-0.0515010934548652	11.0914939200939	0.00132525604477963	0.312053623344111	"gene-419351"
"gene-329863"	5.00598647373719	3.51611215930733	11.215534670478	0.0013609051426644	0.313481541123304	"gene-329863"
"gene-122433"	-1.85590335036207	4.18818773321152	10.9571315614547	0.00141205704829692	0.316369766366789	"gene-122433"
"gene-187157"	-2.81157254827508	4.54411210148191	10.9257607644918	0.00143315862453812	0.316369766366789	"gene-187157"
"gene-430314"	5.43227342745555	0.762764073136064	11.0053256729526	0.00149872547451289	0.31934397806177	"gene-430314"
"gene-181562"	2.87059659437591	2.14748818823557	10.8197623612938	0.00150690816374939	0.31934397806177	"gene-181562"
"gene-348472"	-4.78762358964631	3.597075046168	10.7143638435938	0.00158414710566567	0.325737707646609	"gene-348472"
"gene-222555"	5.22757063753259	0.88788421483766	10.8652646588816	0.00159856179668022	0.325737707646609	"gene-222555"
"gene-197725"	2.05727070925229	1.50180282060589	10.6342704270941	0.00164557907843754	0.32899162104008	"gene-197725"
"gene-336348"	3.65590960140023	4.50240116850059	10.505743498312	0.001749372082592	0.340002240448393	"gene-336348"
"gene-428747"	5.82348518148347	1.45860850861371	10.6434157569958	0.00177111491714597	0.340002240448393	"gene-428747"
"gene-69615"	-3.83280865894378	4.36981749247169	10.4340834567814	0.00181016716546107	0.340002240448393	"gene-69615"
"gene-58433"	-3.12208474858611	-0.503066568124922	10.3879795295532	0.00185043560748	0.340002240448393	"gene-58433"
"gene-163088"	-3.23368280646264	4.95157878524091	10.37595301628	0.00186109191638418	0.340002240448393	"gene-163088"
"gene-224201"	5.50441071260654	3.18850846241877	10.4912647188431	0.00190059532228603	0.341334034490555	"gene-224201"
"gene-122042"	3.558056481815	-0.140088238992329	10.2365305456015	0.00198938028835537	0.347351840420666	"gene-122042"
"gene-240871"	5.67107165972396	4.84172123889808	10.2257587677264	0.00199966612548704	0.347351840420666	"gene-240871"
"gene-281940"	-3.68563053911685	2.12208064529483	10.1801380785837	0.00214617625137599	0.36475279948694	"gene-281940"
"gene-241001"	5.76960426828725	2.69335476861301	10.2079381519365	0.0021686887851715	0.36475279948694	"gene-241001"
"gene-3175"	-3.08675120675322	0.547762672899816	9.9972111405897	0.00223141337692858	0.367653647566715	"gene-3175"
"gene-58400"	1.5678684002412	2.25298613501668	9.9624462646387	0.00226903568963918	0.367653647566715	"gene-58400"
"gene-33009"	-0.498720383769044	5.31835521747911	9.93107976139006	0.0023035453628826	0.367653647566715	"gene-33009"
"gene-76840"	-4.83553391581151	3.21601823754763	9.98387316024957	0.00235451258781769	0.367653647566715	"gene-76840"
