"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-306335"	0.762375952435355	7.62609366132925	8.03881643980865	99.6487169739823	3.09249406220705e-22	1.87131457015745e-18	"gene-306335"
"gene-350792"	-0.108108793797952	7.3288001705452	6.16937342318572	97.8390648640865	5.16758441808436e-22	1.87131457015745e-18	"gene-350792"
"gene-312890"	-1.73778372542377	-3.02854474770153	4.54359259856416	97.7517054724464	5.29817262218985e-22	1.87131457015745e-18	"gene-312890"
"gene-279912"	-1.2177055460831	-3.09306622615103	6.87185486728363	89.9198255189772	5.30937275300507e-21	1.3814768964328e-17	"gene-279912"
"gene-76789"	-0.63783238108264	-0.967697318006351	5.65224642722945	89.2445410524087	6.51886040219326e-21	1.3814768964328e-17	"gene-76789"
"gene-59252"	-0.633927513991229	-0.88897988520265	7.18057761026724	86.6804298954867	1.43523941125322e-20	2.53463280027318e-17	"gene-59252"
"gene-73253"	-1.48451728872597	7.82843098031042	8.22369201506749	85.0993810850763	2.35379044676273e-20	3.56296622484255e-17	"gene-73253"
"gene-288834"	0.477492861748055	7.74671295478548	4.87175501397073	83.2823171832675	4.18876630621366e-20	5.54802097257999e-17	"gene-288834"
"gene-54961"	-0.605608644206602	-0.813347647564	6.50338919945834	79.7985574666496	1.29591349345514e-19	1.52572215296119e-16	"gene-54961"
"gene-243520"	-1.20908576755648	-1.41360539657061	5.86756897871861	78.5779494840777	1.94015209889472e-19	2.05578516398884e-16	"gene-243520"
"gene-89463"	-1.49061910464093	-2.2435326840418	7.72946486805758	76.7196661895482	3.6155698725672e-19	3.48277985179291e-16	"gene-89463"
"gene-266947"	-0.676441262344922	-0.824424963393599	7.06345556186879	74.1503911126565	8.69328145610494e-19	7.67616752574066e-16	"gene-266947"
"gene-16817"	-1.1509929627921	-2.02306416783359	8.98385614348849	73.6003665895348	1.05165054705233e-18	8.46341021314061e-16	"gene-16817"
