"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-306335"	-7.4272654873813	8.03881921978002	36.5570121281395	4.93448827556e-08	0.000329267968278257	"gene-306335"
"gene-350792"	-7.7695232793515	6.1693828301852	35.8960995801597	6.2149484386232e-08	0.000329267968278257	"gene-350792"
"gene-34416"	3.64349165035407	7.28606488879412	33.3844644120741	1.51372701038868e-07	0.000534648380069283	"gene-34416"
"gene-73253"	-8.10200285247146	8.22369444673889	28.0495932503346	1.08136414232991e-06	0.00286453361303194	"gene-73253"
"gene-7080"	-3.63298903939405	4.53413333379845	26.2891435757375	2.11986161000362e-06	0.00449241072391968	"gene-7080"
"gene-288834"	-6.65841943291248	4.87177929431035	24.842737961208	3.72141676752452e-06	0.0065720220114483	"gene-288834"
"gene-305439"	-6.76055435270958	2.77133981176961	24.693370045908	4.66569858454905e-06	0.00706253460026883	"gene-305439"
"gene-336703"	4.85135038256007	6.37807237641068	21.1162549140693	1.65613225920051e-05	0.0201019741530527	"gene-336703"
"gene-105267"	-5.24720505768526	3.07429337783907	21.0418019955206	1.70741569816416e-05	0.0201019741530527	"gene-105267"
"gene-154029"	-3.63989573023028	2.28579647265563	20.5631855794253	2.07856278873619e-05	0.0205250724126705	"gene-154029"
"gene-68417"	-0.984169155141061	5.5276949080731	20.5030263400307	2.13076440675137e-05	0.0205250724126705	"gene-68417"
"gene-77202"	4.73125864051242	0.926371117572339	19.7503482121937	2.91060331482618e-05	0.0247323055422305	"gene-77202"
"gene-258523"	-2.45868632250122	4.52380549844646	19.4739704301258	3.26613629535667e-05	0.0247323055422305	"gene-258523"
"gene-413846"	-6.01325385413579	5.08605878425891	19.472777629874	3.26776403917731e-05	0.0247323055422305	"gene-413846"
"gene-331776"	1.41294402132018	4.50385466694955	19.2526267981678	3.58297102790092e-05	0.0248993141831543	"gene-331776"
"gene-635"	2.47667684654941	1.10993653798816	19.1376958579184	3.7598058411709e-05	0.0248993141831543	"gene-635"
"gene-273312"	-0.829106405916983	5.07230451080077	18.6500614364419	4.61606757625326e-05	0.0283157285961192	"gene-273312"
"gene-132340"	-2.38378127804274	7.28692208959288	18.4371026904325	5.05079539111137e-05	0.0283157285961192	"gene-132340"
"gene-323535"	-5.24105025762151	3.17021874647119	18.5795609017334	5.28737588880176e-05	0.0283157285961192	"gene-323535"
"gene-176575"	-2.30863989997488	3.45503818944432	18.3036111328466	5.34460713403533e-05	0.0283157285961192	"gene-176575"
"gene-381766"	2.78379835990927	1.12630615482852	17.4221411761145	7.78270016379226e-05	0.0373710476105043	"gene-381766"
"gene-433"	2.15391136589449	4.82820479147636	17.3443142576964	8.04694809366776e-05	0.0373710476105043	"gene-433"
"gene-343203"	-5.33339642992008	3.89363567096434	17.2713099812575	8.30322963171078e-05	0.0373710476105043	"gene-343203"
"gene-226944"	-3.76619414379328	2.32370720655496	17.2027789976887	8.55146526856973e-05	0.0373710476105043	"gene-226944"
"gene-146927"	2.57131513064729	1.84578471962071	17.1316390923642	8.81725358873734e-05	0.0373710476105043	"gene-146927"
"gene-402356"	-2.1642510739772	1.32488251619073	17.0292763319568	9.21472243299716e-05	0.0375535380384761	"gene-402356"
"gene-69538"	2.90883736207857	6.06664884960825	16.572210004962	0.000112280688174856	0.0428299252792461	"gene-69538"
"gene-419623"	3.55653159798606	-0.522192595812897	16.7319465267172	0.000113178360496309	0.0428299252792461	"gene-419623"
"gene-238178"	-0.881258029439529	5.29815821022365	16.095620459548	0.000138152498253744	0.0504780645343681	"gene-238178"
"gene-410057"	1.34792432299302	7.24110327247885	15.9515196688115	0.000147130479146377	0.0519664852345005	"gene-410057"
"gene-17262"	2.56708664965938	7.97753144455681	15.6228716834419	0.000169929537496116	0.0550389981132668	"gene-17262"
"gene-116902"	1.23199562973064	7.95122434841282	15.6221610255541	0.000169982602995418	0.0550389981132668	"gene-116902"
"gene-152552"	-6.15591153458921	2.33241649148322	15.5137033305119	0.000178285053141623	0.0550389981132668	"gene-152552"
"gene-6199"	1.76376102359348	9.90166502397762	15.4738630145367	0.000181438932895608	0.0550389981132668	"gene-6199"
"gene-227071"	2.65468231761067	5.11522908147917	15.4693332999508	0.000181801145145747	0.0550389981132668	"gene-227071"
"gene-232643"	-1.12358863073334	4.90743088413662	15.2826247076816	0.000197399123455157	0.0561327105199343	"gene-232643"
"gene-343684"	0.797802202274279	6.23542039467122	15.0675415478387	0.000217091711445825	0.0561327105199343	"gene-343684"
"gene-63245"	3.59408383509726	4.83641158955514	15.0658643296244	0.000217252997993447	0.0561327105199343	"gene-63245"
"gene-330274"	1.73712806105784	6.80317932530933	15.0532329150895	0.000218471653939656	0.0561327105199343	"gene-330274"
"gene-143631"	2.0672882817204	8.04183517044276	15.0480796493876	0.000218970855848789	0.0561327105199343	"gene-143631"
"gene-301715"	-2.11084232516434	4.74536002716918	15.0267536065772	0.000221049279653601	0.0561327105199343	"gene-301715"
"gene-273045"	-0.734573486959814	4.53776946374268	15.0120251152441	0.000222496587564859	0.0561327105199343	"gene-273045"
"gene-358125"	-3.59786588917729	3.94794074092701	14.9243880300513	0.000231312934825624	0.0561854726886823	"gene-358125"
"gene-215727"	1.80676195185211	6.43144202561606	14.7792561709382	0.000246714617565639	0.0561854726886823	"gene-215727"
"gene-202489"	-1.92986544140696	2.27130789739865	14.7781841156407	0.000246832243338133	0.0561854726886823	"gene-202489"
"gene-215534"	0.740613143117595	8.95321509846583	14.7527000544532	0.000249645460958949	0.0561854726886823	"gene-215534"
"gene-263961"	-0.63343841294884	7.48960414006479	14.5476382202381	0.000273522686130927	0.0561854726886823	"gene-263961"
"gene-30604"	5.49737239258579	4.95658642932633	14.5451222897549	0.000273829853524937	0.0561854726886823	"gene-30604"
"gene-305344"	-0.783834298947747	5.84219326147928	14.4717771775681	0.000282942784583654	0.0561854726886823	"gene-305344"
"gene-357269"	-5.88384446517262	1.30743601569462	14.8151523500272	0.000285712249103349	0.0561854726886823	"gene-357269"
"gene-14127"	1.07705779499136	6.60430660132691	14.4303770067487	0.000288224340755469	0.0561854726886823	"gene-14127"
"gene-93851"	-1.72912209063819	3.34104012679144	14.3825903462849	0.000294447406312807	0.0561854726886823	"gene-93851"
"gene-246231"	0.58130468090796	7.02130072065874	14.3551605236892	0.000298081995225152	0.0561854726886823	"gene-246231"
"gene-222278"	0.685432463530198	5.50748058952132	14.3507146170822	0.000298675448691683	0.0561854726886823	"gene-222278"
"gene-348395"	-0.809352330467294	4.94140109670521	14.3289498935392	0.000301598326559938	0.0561854726886823	"gene-348395"
"gene-106101"	0.795923607428727	6.9695398756147	14.3271358259896	0.000301843275120638	0.0561854726886823	"gene-106101"
"gene-64146"	-3.19317919789169	6.7441395870107	14.3241751915857	0.000302243482753387	0.0561854726886823	"gene-64146"
"gene-279912"	1.50020422796316	6.87185406978874	14.182419548131	0.000322061103520271	0.0585620827459965	"gene-279912"
"gene-146645"	-2.38150444225991	2.08063650942277	14.1112662211815	0.000332509576869061	0.0585620827459965	"gene-146645"
"gene-332490"	-0.543815301211899	5.19245321502138	14.0482875514065	0.000342049633378771	0.0585620827459965	"gene-332490"
"gene-115031"	-1.96751074143925	4.76082046181524	14.0389312664453	0.000343490864769765	0.0585620827459965	"gene-115031"
"gene-244780"	-0.878312657433557	6.0486381378192	14.0268760990577	0.000345357080906326	0.0585620827459965	"gene-244780"
"gene-191493"	-0.740717327726614	4.42237955379692	13.9970781495636	0.000350015062199158	0.0585620827459965	"gene-191493"
"gene-234650"	-2.79533380255583	1.56313093521409	13.9417749380086	0.000358832749880311	0.0585620827459965	"gene-234650"
"gene-47848"	5.48352111810943	1.22738217486533	13.9392382077315	0.000359242674451658	0.0585620827459965	"gene-47848"
"gene-64677"	-0.657271848506391	4.97675586777809	13.9014841470041	0.000365401062755129	0.0586634797114143	"gene-64677"
"gene-253053"	-2.43999803359512	1.59838952630857	13.8002221124247	0.000382463129167435	0.0587389609087569	"gene-253053"
"gene-137227"	3.42702871350183	0.581740428921628	13.7972527596972	0.000382975691319705	0.0587389609087569	"gene-137227"
