"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-172388"	-2.78555006736194	4.29316500734446	88.4240095823151	1.95453040502735e-14	2.07102041716698e-10	"gene-172388"
"gene-185427"	0.740614008125696	6.27988913362313	76.7297896387977	3.41150905326638e-13	1.80741749642053e-09	"gene-185427"
"gene-88517"	0.843707279104944	6.84679976293336	70.0740895841385	1.92151731460063e-12	6.78679915516943e-09	"gene-88517"
"gene-136450"	-1.68500607471144	5.69713239463444	67.7029370287236	3.62687074705787e-12	9.60758060895629e-09	"gene-136450"
"gene-74305"	-3.03703123097128	4.58607867350738	65.4563909786578	6.6871350273142e-12	1.41713765498843e-08	"gene-74305"
"gene-266947"	0.717309329461713	7.06345561471162	63.4272309863143	1.17211041337101e-11	2.05732155911029e-08	"gene-266947"
"gene-150499"	0.938820820515607	3.92379445869467	62.8969644519071	1.35912145279087e-11	2.05732155911029e-08	"gene-150499"
"gene-6092"	0.831644810716847	6.18556085207105	60.6428790388783	2.56671484374361e-11	2.82451679468194e-08	"gene-6092"
"gene-243520"	1.22290487812458	5.86757043268644	60.4620673950105	2.70226748346551e-11	2.82451679468194e-08	"gene-243520"
"gene-38083"	-3.57703564938964	6.79066534904294	62.5876279208661	2.84869577019086e-11	2.82451679468194e-08	"gene-38083"
"gene-294758"	-3.22432219770542	4.46237450927143	60.1756550013785	2.93220882800126e-11	2.82451679468194e-08	"gene-294758"
"gene-76789"	0.681854800002444	5.65224591809793	59.6992153281492	3.36017869830601e-11	2.9670377906042e-08	"gene-76789"
"gene-146582"	-1.66621418496222	4.12000125315996	59.0875138017306	4.00535224667685e-11	3.20020860131141e-08	"gene-146582"
"gene-76361"	-3.59352236499494	4.35903522903291	58.8994410001253	4.22828618519817e-11	3.20020860131141e-08	"gene-76361"
"gene-53233"	-4.177977250818	2.29394858622768	58.9883447859009	6.9545439949652e-11	4.56853837525886e-08	"gene-53233"
"gene-85723"	1.47024428834271	6.79020489713651	57.1198657048017	7.08647422850468e-11	4.56853837525886e-08	"gene-85723"
"gene-67362"	-3.70285301883724	6.20799071911168	56.8219360218556	7.73173064143685e-11	4.56853837525886e-08	"gene-67362"
"gene-253041"	-4.16352442192635	4.08833366756267	56.8091111980248	7.76082396703091e-11	4.56853837525886e-08	"gene-253041"
"gene-79536"	-3.97487910511354	4.35519905850932	55.5066201539534	1.13871114137526e-10	6.1839658925484e-08	"gene-79536"
"gene-238220"	-3.63909406228537	2.92461165761802	57.4044915953353	1.16722648028471e-10	6.1839658925484e-08	"gene-238220"
"gene-288912"	0.657167026051551	6.30812470334008	54.6767871582642	1.45674603604234e-10	6.52834215809626e-08	"gene-288912"
"gene-277647"	-2.22231394582864	4.28271977993887	54.6510436446636	1.46795759405524e-10	6.52834215809626e-08	"gene-277647"
"gene-89463"	1.68440318172682	7.72946481290343	54.5191033357479	1.52682505880476e-10	6.52834215809626e-08	"gene-89463"
"gene-166071"	-2.94560779440327	4.40716023651136	54.4966713579081	1.53707197240317e-10	6.52834215809626e-08	"gene-166071"
"gene-171811"	-3.7400535767085	3.56433961816664	54.3352952309713	1.61290009448714e-10	6.52834215809626e-08	"gene-171811"
"gene-402450"	-3.91201358646401	4.93586580196674	54.3067580300782	1.62670377017828e-10	6.52834215809626e-08	"gene-402450"
"gene-45480"	-3.46093920854094	3.40391550346828	54.2318699609026	1.66350734492826e-10	6.52834215809626e-08	"gene-45480"
"gene-101771"	-3.38057002627868	4.30626438957815	53.6638516930111	1.97201174433664e-10	7.08624218563444e-08	"gene-101771"
"gene-413602"	0.92863181654281	5.92698490065926	53.6343827905304	1.98953577845123e-10	7.08624218563444e-08	"gene-413602"
"gene-183933"	-2.66964761458076	5.94436833004616	53.6064443414049	2.00629733455109e-10	7.08624218563444e-08	"gene-183933"
"gene-273360"	-4.12235479555907	3.14563706276874	53.4436867548435	2.10686714024072e-10	7.20140781225505e-08	"gene-273360"
"gene-377584"	0.506981294624839	6.3088242331445	53.3114384502894	2.19238823759891e-10	7.25954555174939e-08	"gene-377584"
"gene-26733"	-2.54172579787155	3.82113793069618	52.1989617386254	3.06906431084582e-10	9.63498360090712e-08	"gene-26733"
"gene-169360"	0.708102647164423	5.38138048961085	52.1748410935474	3.0916330920238e-10	9.63498360090712e-08	"gene-169360"
"gene-54363"	1.22233345573843	7.36572977008671	52.005263995766	3.25518569929744e-10	9.85484219135876e-08	"gene-54363"
"gene-70225"	-3.71150349049185	3.97698026734282	51.7862785020432	3.47962089547284e-10	1.01061257010295e-07	"gene-70225"
"gene-280975"	-3.56629353678232	4.6208417747437	55.4340975443066	3.56310092415336e-10	1.01061257010295e-07	"gene-280975"
"gene-326728"	-3.08250658793983	2.98146532159469	51.6526523042898	3.62431839032768e-10	1.01061257010295e-07	"gene-326728"
"gene-97398"	-3.50582964772466	4.36094649463184	51.4504037409978	3.85517397967745e-10	1.0474211150939e-07	"gene-97398"
"gene-84721"	1.70309528239412	8.53062977855806	51.0782131538707	4.32026770011323e-10	1.14443891375999e-07	"gene-84721"
"gene-62605"	-3.80987652291467	2.49763702434411	50.6528972399874	4.92290895882961e-10	1.24231451720238e-07	"gene-62605"
"gene-70534"	-4.58994072998272	-0.346181161513456	57.181603542379	4.92423647815214e-10	1.24231451720238e-07	"gene-70534"
"gene-147246"	-1.98284659230252	7.82264978966029	50.5133309142915	5.13894962817786e-10	1.26373339334498e-07	"gene-147246"
"gene-57466"	-3.48695472274823	3.82156805238615	50.384399974095	5.34717582450062e-10	1.26373339334498e-07	"gene-57466"
"gene-115297"	-0.927214191504581	6.19663113338629	50.372436467067	5.36693117218988e-10	1.26373339334498e-07	"gene-115297"
"gene-2673"	-3.36438450520335	2.60565456824853	50.2541063396068	5.56641267047529e-10	1.28221105774687e-07	"gene-2673"
"gene-312890"	1.87331548139757	4.54358955569736	49.8807772330429	6.24713406430409e-10	1.3116094260335e-07	"gene-312890"
"gene-335655"	-3.26271489537335	3.99220598910171	49.8324089494726	6.34137899374627e-10	1.3116094260335e-07	"gene-335655"
"gene-286274"	-4.49735077678066	2.86917432217774	51.4512156616027	6.36114155643269e-10	1.3116094260335e-07	"gene-286274"
"gene-163988"	-3.54026579627409	3.6806553497293	49.8043007261911	6.39681682563768e-10	1.3116094260335e-07	"gene-163988"
"gene-248416"	-4.05471523245242	4.01643405803195	53.268678049863	6.41433332293921e-10	1.3116094260335e-07	"gene-248416"
"gene-244392"	-3.37808094280442	4.29317744022435	49.7842135650369	6.4367393501078e-10	1.3116094260335e-07	"gene-244392"
"gene-42302"	1.30518069037127	6.88487473887715	49.2376533898031	7.62707610492763e-10	1.51113382789891e-07	"gene-42302"
"gene-303012"	-3.65378834000268	3.62289825355592	49.1886982074487	7.74417060413176e-10	1.51113382789891e-07	"gene-303012"
"gene-341425"	-3.01219501238056	3.51314898092049	49.1476605675579	7.84374863480939e-10	1.51113382789891e-07	"gene-341425"
"gene-69615"	-4.01529405742375	4.36983544258328	48.9105654662038	8.44536834122236e-10	1.53190732100559e-07	"gene-69615"
"gene-432055"	-3.55605421502946	2.72061307377544	50.4568840406619	8.51525478058114e-10	1.53190732100559e-07	"gene-432055"
"gene-66244"	-3.33236330302821	3.88924936300951	48.8586040129367	8.5834309207303e-10	1.53190732100559e-07	"gene-66244"
"gene-270896"	1.14031194603566	7.2823698550293	48.847398709137	8.61350611040452e-10	1.53190732100559e-07	"gene-270896"
"gene-27654"	-3.50150235766145	5.83740517275848	48.8248162507742	8.67444689131139e-10	1.53190732100559e-07	"gene-27654"
"gene-233799"	-3.18071488666021	1.96419627733406	48.713994680623	8.97998861704937e-10	1.55986818665992e-07	"gene-233799"
"gene-259401"	-3.33862124887429	3.2993179882408	50.0618416491595	9.56807430537636e-10	1.62982125388109e-07	"gene-259401"
"gene-253843"	-2.58208297661103	4.19589750237187	48.4706344962253	9.69033021843232e-10	1.62982125388109e-07	"gene-253843"
"gene-218159"	-3.97820284516469	5.83241827313434	48.2115492053186	1.05102140412826e-09	1.74009731220985e-07	"gene-218159"
"gene-378680"	-3.38599873424618	4.38150444837926	48.1213534569212	1.08120766771556e-09	1.76253483801756e-07	"gene-378680"
"gene-312908"	1.18579171812746	9.49183001595192	47.9073897536757	1.15642828780568e-09	1.85659305114984e-07	"gene-312908"
"gene-69348"	-3.96107399843864	3.86460206726146	47.7583399777079	1.21198552640747e-09	1.89527539125651e-07	"gene-69348"
"gene-99641"	-3.88707209515987	2.80064738690684	49.2529260862246	1.21629602307892e-09	1.89527539125651e-07	"gene-99641"
"gene-59252"	0.592027250249975	7.1805774630314	47.6121285146448	1.26914976636497e-09	1.92826591003297e-07	"gene-59252"
"gene-215313"	-3.53436539867188	3.58985643651587	47.6003743515102	1.27386385147516e-09	1.92826591003297e-07	"gene-215313"
"gene-414380"	-3.11752788551752	2.67420195913803	47.4929820163276	1.31777566186124e-09	1.94120730458835e-07	"gene-414380"
"gene-350745"	-2.94124556012422	5.48680071423584	50.9492089004536	1.31905366110193e-09	1.94120730458835e-07	"gene-350745"
"gene-229699"	-3.11775671855969	3.53231057797997	47.2013555727456	1.44503052434047e-09	2.04541568643708e-07	"gene-229699"
"gene-219248"	-3.88586102294893	2.84060194626532	48.6726087311198	1.44631036865277e-09	2.04541568643708e-07	"gene-219248"
"gene-158012"	0.744497996257441	7.45935474038047	47.1879541744411	1.45117296789633e-09	2.04541568643708e-07	"gene-158012"
"gene-219328"	-3.60229944729572	2.39476750295972	47.1535217344933	1.46707806879217e-09	2.04541568643708e-07	"gene-219328"
"gene-54961"	0.566168071175062	6.50338918960356	47.0639084289763	1.50931686846819e-09	2.06735780372711e-07	"gene-54961"
"gene-169087"	0.555035381965874	7.60560837577331	47.0378389002145	1.52183756786254e-09	2.06735780372711e-07	"gene-169087"
"gene-56282"	-3.64766089740684	3.23106353067258	46.8663441743343	1.60690554862781e-09	2.1307180337553e-07	"gene-56282"
"gene-336052"	-3.89524910268031	3.28454439191672	48.1141457372837	1.60869613722559e-09	2.1307180337553e-07	"gene-336052"
"gene-145538"	-2.60984180679216	4.99926400310171	46.5878206697426	1.7556095335817e-09	2.29659736022613e-07	"gene-145538"
"gene-174050"	-1.04482442248836	4.46803657902796	46.5373651520787	1.7840242432426e-09	2.3053074245608e-07	"gene-174050"
"gene-132117"	-3.90798760724635	5.29551218881453	46.408152150933	1.85896529137594e-09	2.37320436474933e-07	"gene-132117"
"gene-214179"	-3.58066220304605	4.05265745484905	46.3559688214109	1.89013990239981e-09	2.38427647688433e-07	"gene-214179"
