"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-372264"	-11.1671291961585	3.25384921110969	418.952092291976	4.50702615661436e-29	4.77564491554858e-25	"gene-372264"
"gene-33981"	-12.9601637964908	6.6951831699485	223.817048585961	2.22194103418341e-23	9.75621733475992e-20	"gene-33981"
"gene-41508"	-10.9365120206205	6.41658467968222	202.506859064878	2.76223593849375e-23	9.75621733475992e-20	"gene-41508"
"gene-372068"	-10.2369373075332	2.25471118481895	211.126583043271	1.03551911734388e-22	2.74309014184393e-19	"gene-372068"
"gene-156891"	-9.03051694959705	5.2362233252176	182.400158554509	4.99316913814332e-22	1.05815240375533e-18	"gene-156891"
"gene-39831"	-12.7841301272116	4.85750400834849	217.542916800025	8.06086919017191e-22	1.34448338872971e-18	"gene-39831"
"gene-92145"	-10.726040923811	4.67504854192891	213.379751058891	8.8820155918346e-22	1.34448338872971e-18	"gene-92145"
"gene-157744"	-11.3104072020605	3.49773992764097	202.269715700867	4.5593523031379e-21	6.03886212550615e-18	"gene-157744"
"gene-198922"	-12.6726164630352	4.41466072717251	194.161543204529	1.19243300098881e-20	1.40389111983082e-17	"gene-198922"
"gene-44107"	-7.04677214229266	5.4524165140648	156.163762002754	3.12627139977837e-20	3.31259717520516e-17	"gene-44107"
"gene-178966"	-9.29509735360691	4.02284760631846	167.227159393537	3.87392899650466e-20	3.73165014972394e-17	"gene-178966"
"gene-253843"	-10.0350672052586	4.19589750237187	151.890531150076	6.40972783077485e-20	5.30807522489565e-17	"gene-253843"
"gene-362876"	-11.537893041956	3.18816008029544	163.725302346618	6.51236107244653e-20	5.30807522489565e-17	"gene-362876"
"gene-136450"	-3.74880704834044	5.69713239463444	149.627605398187	9.42645955396089e-20	7.13448324526926e-17	"gene-136450"
"gene-227053"	-12.9973565774282	4.85296451027464	189.155141505483	2.54735388516294e-19	1.7994507844791e-16	"gene-227053"
"gene-290343"	-12.5451451752706	4.6473110026479	154.130939618636	2.81690174663799e-19	1.86549318171101e-16	"gene-290343"
"gene-163088"	-12.693145752924	4.95159136093719	153.138299039937	3.28959949055623e-19	2.05038801187846e-16	"gene-163088"
"gene-136337"	-11.5048029404571	3.7681401388972	182.517069281614	5.41209244342363e-19	3.1617378048017e-16	"gene-136337"
"gene-26944"	-6.60862853323611	7.42048299473051	139.394361384935	5.66940527474823e-19	3.1617378048017e-16	"gene-26944"
"gene-6405"	-12.0848043559124	3.99084768206991	148.484501736855	6.87228522922695e-19	3.64093671444444e-16	"gene-6405"
"gene-38083"	-14.3191930027223	6.79066534904294	147.945354950871	7.49227926754342e-19	3.78039005328048e-16	"gene-38083"
"gene-53281"	-8.89436280565141	3.27550132710608	147.618634129454	7.89573061969495e-19	3.80287098392217e-16	"gene-53281"
"gene-118220"	-9.8573256174369	4.93652068146665	144.702820608176	1.26539247402211e-18	5.82960811075578e-16	"gene-118220"
"gene-333573"	3.46905422147691	3.61496915654029	132.859160949298	1.8657656823422e-18	8.23735548754082e-16	"gene-333573"
"gene-122800"	-10.5682339507405	2.56077158153428	154.51063111912	2.1476264063156e-18	9.10249976052802e-16	"gene-122800"
"gene-177267"	-12.2935183990257	4.0122604043445	140.519917609425	2.51794695460581e-18	1.02616022811551e-15	"gene-177267"
"gene-122791"	-11.5254387605405	3.33959777630144	160.813830227385	7.4441591663934e-18	2.92141890841128e-15	"gene-122791"
"gene-20646"	-9.95810578031535	1.64956504772165	144.946329360343	8.6829512826383e-18	3.28587684967269e-15	"gene-20646"
"gene-350745"	-13.0054120625183	5.48680071423584	144.297329772723	9.5688509822473e-18	3.49626017268594e-15	"gene-350745"
"gene-242872"	-11.2532383699702	3.73200167365374	139.931356860082	1.85456611230252e-17	6.5503275086525e-15	"gene-242872"
"gene-200848"	-10.4470145522548	2.62725570487236	137.3457577047	2.76324243501963e-17	9.44494091660259e-15	"gene-200848"
"gene-8100"	-6.78442153681026	4.31881030182555	126.216975875126	2.95363685142415e-17	9.78023002427822e-15	"gene-8100"
"gene-7352"	-8.5074087504223	3.85746204651282	117.928592885908	3.28525981636245e-17	1.03311931573901e-14	"gene-7352"
"gene-170101"	-9.04784402747916	3.0542849016848	125.571173094034	3.31502989195229e-17	1.03311931573901e-14	"gene-170101"
"gene-50706"	-10.7451403702283	2.68720216609424	135.473157771178	3.7005701743098e-17	1.12032118762819e-14	"gene-50706"
"gene-249784"	-8.3970771139917	2.93952509068731	116.136663485617	4.7046132824071e-17	1.38472450945516e-14	"gene-249784"
"gene-79002"	-8.39251037790728	3.63556617216408	113.810516139729	7.53652596992548e-17	2.15829808587379e-14	"gene-79002"
"gene-29112"	-9.8768665996566	1.84466516870934	139.518361864565	1.28090917481247e-16	3.57171410955603e-14	"gene-29112"
"gene-334325"	-9.37799131980466	4.11635507349425	110.864783269962	1.3803327498831e-16	3.72079581090404e-14	"gene-334325"
"gene-252984"	-10.5317896632212	4.91126712664067	110.60267482441	1.45737230413451e-16	3.72079581090404e-14	"gene-252984"
"gene-61479"	-9.55393257726548	4.98609155539887	110.575077666772	1.46573641775791e-16	3.72079581090404e-14	"gene-61479"
"gene-87838"	-12.0580205478169	4.31421290848428	126.847953569219	1.47483412663241e-16	3.72079581090404e-14	"gene-87838"
"gene-340320"	-10.6273737909183	2.36490963349458	126.030375388717	1.68693922211927e-16	4.15693209245948e-14	"gene-340320"
"gene-285657"	-11.4075185733804	3.56990314619244	123.395141700836	2.09356592945494e-16	5.0416874064783e-14	"gene-285657"
"gene-145478"	-7.8775037214238	2.93093170686253	107.520692396197	2.77616559646036e-16	6.53694459113199e-14	"gene-145478"
"gene-213719"	-11.1758875002504	5.16544857126809	111.272597357396	4.73945689968419e-16	1.09172359367508e-13	"gene-213719"
"gene-116614"	-8.46659795567871	3.94201066986062	110.390859627858	5.62307736161211e-16	1.26770484518387e-13	"gene-116614"
"gene-56700"	-8.10727935759065	2.10582742245523	108.534381004682	6.82357377720977e-16	1.50630391131906e-13	"gene-56700"
"gene-122433"	-5.50508787988895	4.1881950028214	103.138560944524	7.07385503271173e-16	1.52968505972681e-13	"gene-122433"
"gene-334058"	-8.45429726469136	4.53029736177833	103.028612860504	7.24396688030555e-16	1.53514146127435e-13	"gene-334058"
"gene-145538"	-6.74110783969014	4.99926400310171	102.434817239259	8.23804151498801e-16	1.69073631276235e-13	"gene-145538"
"gene-385611"	-9.37196621680755	4.59367872977901	102.401773811261	8.29730919815421e-16	1.69073631276235e-13	"gene-385611"
"gene-104957"	-11.4916676617868	3.68280514735517	126.271958209126	8.85868977442826e-16	1.77106937452532e-13	"gene-104957"
"gene-301715"	-6.10343373235688	4.74536002716918	101.679002167421	9.70915872466383e-16	1.90515270086181e-13	"gene-301715"
"gene-114203"	-9.05245287233576	0.941353106470819	115.038348513496	1.09071672643813e-15	2.10131535151608e-13	"gene-114203"
"gene-198745"	-9.21845609036474	3.16503792401421	100.918962024916	1.14616646149264e-15	2.16871068321e-13	"gene-198745"
"gene-237342"	-7.6952732924095	4.22396257042367	99.5285081813789	1.55561224721642e-15	2.89180129324652e-13	"gene-237342"
"gene-273241"	-7.47036049426313	2.45704987085796	99.0475673425829	1.72994251574172e-15	3.16042601668954e-13	"gene-273241"
