"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-224875"	-10.3096613061151	10.777706869379	38.0242746073073	2.97090063418772e-08	0.000314796631198531	"gene-224875"
"gene-224697"	-9.11593695343941	9.63138156629207	34.1307651536163	1.15898656301532e-07	0.000614031081085517	"gene-224697"
"gene-299572"	10.1490790051898	3.8154580812878	32.4456970201698	2.12273558379312e-07	0.000749750208195729	"gene-299572"
"gene-406796"	-1.61920303145907	4.84312017461495	29.6360365959672	5.95754332643603e-07	0.00131739116776779	"gene-406796"
"gene-428089"	10.0195851101095	1.70229316211555	29.5219193364048	6.21645511404207e-07	0.00131739116776779	"gene-428089"
"gene-428104"	11.4842244908563	3.43369291893888	27.9685515489833	1.11488138389228e-06	0.00178760391337351	"gene-428104"
"gene-399424"	-10.4849505655018	0.700996635962861	27.3793254645104	1.39491578012764e-06	0.00178760391337351	"gene-399424"
"gene-223773"	10.2369369860111	4.17555016033882	27.1574575547901	1.51827836056914e-06	0.00178760391337351	"gene-223773"
"gene-224860"	-7.69773672340571	11.5474203391422	27.1573343931947	1.5183498697963e-06	0.00178760391337351	"gene-224860"
"gene-399484"	-12.1731107889735	1.73367274050913	27.6670840420065	1.71302450482013e-06	0.00181512076530741	"gene-399484"
"gene-227164"	-0.828919835703305	5.9294962522366	26.2908549879089	2.11810500185417e-06	0.00187636990646325	"gene-227164"
"gene-83764"	10.6409592193208	4.77973053550478	26.2824427400046	2.12499423155521e-06	0.00187636990646325	"gene-83764"
"gene-282784"	-13.3176311820704	5.40655900739511	25.8915792473866	2.4718759113523e-06	0.002014769012053	"gene-282784"
"gene-223491"	4.1933343536287	1.47001671710467	24.7208986962829	3.90308779618621e-06	0.00295407987774208	"gene-223491"
"gene-428071"	10.1693840669678	2.13867008986703	24.3535536167242	4.51015799859631e-06	0.00300055364779	"gene-428071"
"gene-234241"	-1.35125713688922	3.94136281874625	24.3419484389893	4.53084733528123e-06	0.00300055364779	"gene-234241"
"gene-83755"	9.41106763981565	3.4222663357849	23.6888652511428	5.86754546273616e-06	0.00365720657195014	"gene-83755"
"gene-399317"	-13.5638078410423	2.93489383463421	23.9036587222516	6.92251346134761e-06	0.00388064921590985	"gene-399317"
"gene-8218"	7.78332749630163	2.24617938054556	23.2607184764877	6.95850652154465e-06	0.00388064921590985	"gene-8218"
"gene-282853"	-9.49587546056733	5.1555397307308	23.1264699658556	7.34197302948269e-06	0.00388977731101993	"gene-282853"
"gene-229506"	7.56886457130098	1.85163244313026	22.9027955446821	8.02986046390333e-06	0.0038936683397191	"gene-229506"
"gene-282551"	-10.7466622585047	1.01019733767407	23.4962221304362	8.08424910096453e-06	0.0038936683397191	"gene-282551"
"gene-400393"	-11.8906720151605	5.35845965671416	22.4619893445645	9.5864054505543e-06	0.00441641531104667	"gene-400393"
"gene-130081"	-10.3410606621561	6.68813199227105	21.6229813343033	1.34652163636593e-05	0.00594489302455556	"gene-130081"
"gene-282491"	-10.5766407962902	0.714563709283994	21.9040980220858	1.49393234928324e-05	0.00627720649769489	"gene-282491"
"gene-282746"	-10.724368389008	3.76199774172846	21.2932904023049	1.54027339505537e-05	0.00627720649769489	"gene-282746"
"gene-282665"	-10.5522750960213	3.59650469301228	21.1994682077616	1.60049603665451e-05	0.00628105777940415	"gene-282665"
"gene-399270"	-12.7099780384746	6.54114503788537	21.0829134251346	1.67870075365293e-05	0.00635268328060943	"gene-399270"
"gene-215596"	0.756372390752909	5.33969561441505	20.7072856173539	1.95858430408215e-05	0.00706447842015341	"gene-215596"
"gene-337600"	9.64284972209897	6.72711501409317	20.656279084589	2.00013545304457e-05	0.00706447842015341	"gene-337600"
"gene-126635"	6.71871907663508	1.41745497339813	20.4540744933438	2.17399158370413e-05	0.00743084349062225	"gene-126635"
"gene-231493"	1.29765846456746	6.66271423221702	20.2034379929834	2.41129454513148e-05	0.0079843990625666	"gene-231493"
"gene-223419"	6.26838160582817	8.47829006729192	19.8853212280491	2.75140963510222e-05	0.00846086034939192	"gene-223419"
"gene-85011"	-1.03312782629921	4.66573262728728	19.8623820781218	2.77776907344742e-05	0.00846086034939192	"gene-85011"
"gene-96109"	4.68439086974875	3.12681388969575	19.8477358959353	2.79473492099582e-05	0.00846086034939192	"gene-96109"
"gene-3915"	5.61871738934309	4.89790920876748	19.4778334201426	3.2605318763895e-05	0.00958505227806787	"gene-3915"
"gene-90157"	-6.70729106461864	5.2237768374971	19.4152029045143	3.34698880981985e-05	0.00958505227806787	"gene-90157"
"gene-227370"	-1.23437847544475	3.95826162263363	19.1362900191065	3.76164425039847e-05	0.0103009167776008	"gene-227370"
"gene-263126"	2.61201205164806	6.03818403911146	19.117515003389	3.79139065993236e-05	0.0103009167776008	"gene-263126"
"gene-400402"	-13.230334943854	4.52475161063932	19.3169219747866	4.16768084722742e-05	0.0110401865643054	"gene-400402"
"gene-375838"	6.77356159323553	4.43179846254761	18.6806988614694	4.55633240498785e-05	0.0114633461333695	"gene-375838"
"gene-395158"	-6.85987482392037	1.391134147124	18.6522449278132	4.61136963651876e-05	0.0114633461333695	"gene-395158"
"gene-277218"	2.43014394880948	4.83455331947853	18.6314725994914	4.65198078269999e-05	0.0114633461333695	"gene-277218"
"gene-282611"	-10.501576737924	1.26361217764528	18.9334149923312	4.86741209478125e-05	0.0117216133082505	"gene-282611"
"gene-400384"	-11.7910523400715	2.40270048649827	18.7154846844876	5.31817984571469e-05	0.0124369606816045	"gene-400384"
"gene-13404"	-8.39462915319725	1.58527598817316	18.6272629282552	5.51274618926846e-05	0.0124369606816045	"gene-13404"
"gene-428828"	-7.84770304574407	3.09314544908101	18.2028629287851	5.57745518466127e-05	0.0124369606816045	"gene-428828"
"gene-282886"	-10.7816505024265	6.88170719132774	18.1791213054032	5.63395727366e-05	0.0124369606816045	"gene-282886"
"gene-145063"	6.76045576460347	2.29216038198341	17.926251029191	6.27365682825327e-05	0.0134796402351524	"gene-145063"
"gene-279975"	3.15049074055871	5.34818310710755	17.8731217578113	6.41731852686413e-05	0.0134796402351524	"gene-279975"
"gene-47280"	9.85959919867994	3.58413727644653	17.8198223618017	6.56484883548353e-05	0.0134796402351524	"gene-47280"
"gene-240691"	-8.29376416322638	4.32916884039252	18.1813703800934	6.615149983276e-05	0.0134796402351524	"gene-240691"
"gene-323088"	-1.79906694862033	3.15206527426121	17.7385758429122	6.796493025989e-05	0.0135878566232791	"gene-323088"
"gene-149137"	-7.78235517179073	4.78294095470768	17.4880942252514	7.5651161152694e-05	0.0148444389550731	"gene-149137"
"gene-428113"	6.85662531804426	2.25640264066657	17.2712904860212	8.30259178949857e-05	0.0159953204730049	"gene-428113"
"gene-130665"	-1.63524067505419	7.99532535746097	17.0726282256581	9.04342570632696e-05	0.0171114533543286	"gene-130665"
"gene-18874"	-3.4393860783698	1.13748944929553	16.9063180903114	9.71589305266429e-05	0.0174182812936735	"gene-18874"
"gene-401459"	-1.10387744092067	6.55743757402866	16.8916522610994	9.77761506367313e-05	0.0174182812936735	"gene-401459"
"gene-40567"	7.90585680757528	2.72373230763277	16.8878618197322	9.7936330006092e-05	0.0174182812936735	"gene-40567"
"gene-392186"	-8.58905522796308	8.85475923306145	16.871490756678	9.8631264403587e-05	0.0174182812936735	"gene-392186"
"gene-393138"	1.64888848016801	6.14186925067761	16.7992191142154	0.000101760413969125	0.0176430205196815	"gene-393138"
"gene-63245"	4.77637814709962	4.83641075447322	16.7659749721953	0.000103233981900741	0.0176430205196815	"gene-63245"
"gene-282620"	-8.74570038307449	0.115970963543129	16.5773803012466	0.000128711108032066	0.0211914901044311	"gene-282620"
"gene-282398"	-12.6501166482592	6.95643540447979	16.2397959196027	0.000129724249436225	0.0211914901044311	"gene-282398"
"gene-233371"	5.34423430219133	3.99772101983121	16.234977143672	0.00012999687210155	0.0211914901044311	"gene-233371"
"gene-282362"	-12.8723183731665	4.24674572928657	16.4847301673627	0.000133821063282569	0.0214843634324561	"gene-282362"
"gene-282590"	-9.54442611729471	0.732609353240094	16.4079686424835	0.000138213728077363	0.0217239995323881	"gene-282590"
"gene-395143"	-13.3584227282978	3.17947804833117	16.9580135338401	0.00013941411553439	0.0217239995323881	"gene-395143"
"gene-21668"	3.07500964777097	4.88493991801996	15.9115137027386	0.000149717063884732	0.0229913334626466	"gene-21668"
"gene-363524"	-0.953642917665609	6.37028847812325	15.8340108499865	0.000154884755714945	0.023445126736508	"gene-363524"
"gene-266887"	5.40000755529444	3.00941510721528	15.736895281458	0.00016162097908504	0.0241202238645787	"gene-266887"
"gene-431758"	-10.7811221871205	5.82653937533384	15.6875473279413	0.000165158992070816	0.0243058983330884	"gene-431758"
"gene-240397"	4.34110513005829	3.60961155246593	15.6379565469603	0.000168794961513209	0.0245007042766297	"gene-240397"
"gene-424726"	10.9198514764127	2.65052168049178	15.7602398374133	0.000184079579924039	0.0258636451730949	"gene-424726"
"gene-401648"	4.91618797285844	1.33745847626522	15.4171933353918	0.000186011440312871	0.0258636451730949	"gene-401648"
"gene-122590"	-5.14601316071499	2.48374126359163	15.4087990426776	0.000186700758102318	0.0258636451730949	"gene-122590"
"gene-369268"	3.81469602098767	3.16465885620433	15.3936873041599	0.0001879483463881	0.0258636451730949	"gene-369268"
"gene-282347"	-12.1500961791544	3.70704346933097	15.6131292615532	0.000193535469570946	0.0262910491740223	"gene-282347"
"gene-89463"	1.66734429979325	7.7294647944448	15.2203129878926	0.000202892861853905	0.0269001158005607	"gene-89463"
"gene-367523"	1.98028116451669	8.52887447832914	15.2180439179794	0.000203096382035188	0.0269001158005607	"gene-367523"
"gene-196966"	1.04090506546852	7.15197068585999	15.1871904905792	0.000205884727042451	0.0269327724412569	"gene-196966"
"gene-282701"	-9.52795988318589	5.71173525866688	15.1171241304681	0.000212364594956477	0.0273335161840347	"gene-282701"
"gene-424768"	9.70636316683696	3.06979318235084	15.0986557510172	0.000214107384227527	0.0273335161840347	"gene-424768"
"gene-8365"	1.8926820733036	8.37081518839274	15.0509473660967	0.000218678085467544	0.0275846784954059	"gene-8365"
"gene-395227"	-6.43585243300604	1.32218556631568	14.9047714582349	0.000233319729095788	0.0290853629352821	"gene-395227"
"gene-87700"	-1.76313046079617	5.69872647842784	14.4737102157111	0.000282680680596351	0.0348288894371969	"gene-87700"
"gene-78035"	5.15879298140875	2.64473538874753	14.3523606443811	0.000298436898181354	0.0363475560129842	"gene-78035"
"gene-90190"	2.81810342615849	5.97707645084691	14.2636209940468	0.000310531051404647	0.0373907615986777	"gene-90190"
"gene-197114"	3.16479302241251	4.59152412632805	14.0895299042565	0.000335750374639353	0.0398719775172965	"gene-197114"
"gene-75744"	-5.99627972304552	5.85295072329085	14.0702964886529	0.000338663455696176	0.0398719775172965	"gene-75744"
"gene-336946"	10.1418242932292	7.98153577799372	13.9206367034757	0.000362241855096665	0.0417978819959923	"gene-336946"
