"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-136450"	6.4600776411762	5.69713239463444	185.371358649242	3.2103976998955e-22	3.40173740280928e-18	"gene-136450"
"gene-41508"	14.1814035774466	6.41658467968222	180.47407078242	6.66664787394161e-22	3.53199004361427e-18	"gene-41508"
"gene-211152"	12.2968638595397	4.55128829491371	153.696756154679	4.72423132419242e-20	1.66859850370476e-16	"gene-211152"
"gene-26944"	9.69162617206915	7.42048299473051	149.365141253602	9.8602090797225e-20	2.61196938521849e-16	"gene-26944"
"gene-273137"	13.6892582303475	4.26656306884863	136.244595582866	1.00200675016042e-18	2.12345270493996e-15	"gene-273137"
"gene-163088"	16.7099524580106	4.95159136093719	143.583993195833	1.51904605687133e-18	2.68263533643477e-15	"gene-163088"
"gene-398804"	19.8778569576305	4.38218686354865	134.161900965897	7.36180921831412e-18	1.11436757824652e-14	"gene-398804"
"gene-76361"	14.2930997114373	4.35903522903291	124.015780138547	9.94078423018902e-18	1.31665687128854e-14	"gene-76361"
"gene-57466"	16.6526869502912	3.82156805238615	121.541536432552	1.60876936576319e-17	1.79105628407555e-14	"gene-57466"
"gene-172388"	7.4661157453901	4.29316500734446	121.289162290748	1.69031359388029e-17	1.79105628407555e-14	"gene-172388"
"gene-163028"	5.09907113160266	4.54630457901813	118.53549312682	2.91124698605834e-17	2.62290811038905e-14	"gene-163028"
"gene-122433"	8.8139363272763	4.1881950028214	118.434269770461	2.97045086114275e-17	2.62290811038905e-14	"gene-122433"
"gene-6405"	15.3491131019819	3.99084768206991	122.205693414938	6.08813203359733e-17	4.96229592523056e-14	"gene-6405"
"gene-87275"	5.97393427223782	4.277491806321	107.790622920818	2.62267435855741e-16	1.98498982166245e-13	"gene-87275"
"gene-146582"	5.0370809638686	4.12000125315996	106.492709081421	3.45025647157154e-16	2.43726117151814e-13	"gene-146582"
"gene-209323"	15.1017444267045	2.35240800529186	104.140186977796	5.7007438754655e-16	3.77531763152703e-13	"gene-209323"
"gene-304890"	10.6444305560955	4.91869157264518	103.830733626101	6.09300600643103e-16	3.79773480259666e-13	"gene-304890"
