"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-395143"	-11.0594979816429	3.17947414746058	345.943383526231	2.98167255539502e-30	3.15938023969656e-26	"gene-395143"
"gene-224875"	-12.5848224312631	10.777706961812	253.969605235553	3.95683526844502e-26	2.09633132522217e-22	"gene-224875"
"gene-90157"	-9.38100956099276	5.22377803941413	240.547593689125	1.96694040892845e-25	6.9472335243353e-22	"gene-90157"
"gene-224697"	-10.7094654602439	9.63138182398367	230.171394371159	7.12473823828965e-25	1.88734315932293e-21	"gene-224697"
"gene-395080"	-8.61989085513721	3.45407677034687	218.430563664829	3.22561123655221e-24	6.83571533250145e-21	"gene-395080"
"gene-428738"	-9.68836076828442	6.23242278812643	199.283711918413	4.33043892272695e-23	7.64755513753579e-20	"gene-428738"
"gene-430263"	-8.46156779886304	2.84796320992834	189.321847722953	1.79836479998793e-22	2.72221048866744e-19	"gene-430263"
"gene-120952"	-2.26760489652181	4.827422649267	187.663040465357	2.29138386723129e-22	3.03493793214784e-19	"gene-120952"
"gene-224593"	-7.94474548368898	1.92578416336137	184.135070749896	3.85571835648951e-22	4.53946574504031e-19	"gene-224593"
"gene-224845"	-6.30287885881427	-0.045879400760226	182.98432675549	4.57603099914355e-22	4.84876244669251e-19	"gene-224845"
"gene-224860"	-8.45322713005603	11.547420400871	181.650020906174	5.5866826285608e-22	5.38149901202093e-19	"gene-224860"
"gene-225720"	-7.50182745160057	2.38002379655931	177.126896996456	1.10744630367558e-21	9.77875086145539e-19	"gene-225720"
"gene-240623"	-8.47171377680579	3.59218353093625	170.084672791004	3.29431575172493e-21	2.68512074655979e-18	"gene-240623"
"gene-326810"	-11.0559831199664	3.60372007802009	168.870709461548	3.98795486011892e-21	3.01831212127287e-18	"gene-326810"
"gene-225236"	-7.02533313093574	2.54040645833795	167.210611997701	5.18684171467332e-21	3.66398498724523e-18	"gene-225236"
"gene-220028"	-2.14460073085191	3.22870926333995	157.473885003678	2.51525251642294e-20	1.66572597900109e-17	"gene-220028"
"gene-326909"	-8.71038900899415	2.52888339021954	156.960903621889	2.73840855678258e-20	1.69035686398345e-17	"gene-326909"
"gene-225325"	-5.58097147153842	3.12737951086739	156.674996345444	2.87150090144415e-20	1.69035686398345e-17	"gene-225325"
"gene-241055"	-8.07019849976113	3.47348524911631	155.692721488655	3.38153733005338e-20	1.88582997627608e-17	"gene-241055"
"gene-237881"	-1.84831563271196	2.73264139553275	153.173676390431	5.15937939613031e-20	2.73343920406984e-17	"gene-237881"
"gene-223491"	3.75619184055834	1.47003148627123	148.196357421495	1.20550029218287e-19	6.08261004569983e-17	"gene-223491"
"gene-240833"	-9.41097292661917	5.37007214047201	147.242688335713	1.42142386724755e-19	6.84609422607049e-17	"gene-240833"
"gene-240691"	-8.18475516626831	4.32916884364649	146.924241044034	1.50205529747013e-19	6.91990344869283e-17	"gene-240691"
"gene-224743"	-7.98471271370189	2.33127308853601	143.450793608303	2.75619072724722e-19	1.21685820607965e-16	"gene-224743"
"gene-224968"	-8.23550210616628	3.28628287397467	143.025556939923	2.97078300240289e-19	1.25913666773844e-16	"gene-224968"
"gene-225030"	-7.54124976821578	6.16540155438815	141.307231434803	4.02808241766313e-19	1.64159851144456e-16	"gene-225030"
"gene-224896"	-9.70327537611755	4.39301362229756	139.639347083704	5.42566238986763e-19	2.12927106233472e-16	"gene-224896"
"gene-224682"	-8.03090360622494	2.87199446625615	133.813312749041	1.56430483214333e-18	5.73694548446881e-16	"gene-224682"
"gene-391222"	-7.98733944156054	2.74914956494141	133.793128954034	1.57013419261604e-18	5.73694548446881e-16	"gene-391222"
"gene-225173"	-8.09805134869197	2.79678399658717	132.808591679481	1.88331616334768e-18	6.51137471935049e-16	"gene-225173"
"gene-225629"	-6.98870735878856	2.77514327689477	132.746807956824	1.90498882880205e-18	6.51137471935049e-16	"gene-225629"
"gene-225140"	-9.18991767712605	3.78861906506301	131.846590957749	2.25145950418901e-18	7.45514528324587e-16	"gene-225140"
"gene-221953"	-5.86965934821758	-0.189547206112257	129.636313875506	3.40405495508098e-18	1.09301110012237e-15	"gene-221953"
"gene-227308"	-2.00740221566868	4.32403380125374	129.386792303618	3.56768110489489e-18	1.11185732316077e-15	"gene-227308"
"gene-225709"	-9.63524354776996	4.21173065629312	128.009572221185	4.6278006777363e-18	1.40103359946554e-15	"gene-225709"
"gene-222486"	-9.94699482128424	5.19314568023168	126.20036274232	6.53093904694015e-18	1.8910333855503e-15	"gene-222486"
"gene-222350"	-8.37617051324771	2.69567929821053	126.142782118667	6.60326871134023e-18	1.8910333855503e-15	"gene-222350"
"gene-224201"	-8.3207542125134	3.18852256694893	125.776967134925	7.08239298754646e-18	1.97486937094848e-15	"gene-224201"
"gene-240910"	-9.11050083201675	4.14135740316951	125.597133281673	7.33086616500925e-18	1.99173994575482e-15	"gene-240910"
"gene-406796"	-1.14898893710806	4.8431199829936	123.256301067872	1.15164439164547e-17	3.05070599346885e-15	"gene-406796"
"gene-430080"	-7.29246614793822	2.01717139698061	122.937365366685	1.22525002268896e-17	3.16652420497859e-15	"gene-430080"
"gene-220249"	-5.90817296037096	2.93284672560771	120.836785189368	1.84725779085342e-17	4.66036751235306e-15	"gene-220249"
"gene-222600"	-10.5221816111692	6.90581941546354	119.979194028163	2.18712328124132e-17	5.38947867163558e-15	"gene-222600"
"gene-224782"	-7.42943707090635	3.31340679486409	119.533302685287	2.38855923910975e-17	5.75208493127431e-15	"gene-224782"
"gene-241108"	-8.08935781217138	2.40913673523414	118.936611725861	2.68829425082059e-17	6.33003686259888e-15	"gene-241108"
"gene-89234"	-1.61277523852736	2.53768413754263	116.64282240734	4.24936715859999e-17	9.78832487228816e-15	"gene-89234"
"gene-428765"	-9.17376740404332	3.39844955104448	116.036539638708	4.80043955690014e-17	1.08224377755136e-14	"gene-428765"
"gene-241682"	-0.810855127685105	4.56215816876247	115.802664157096	5.03215780308426e-17	1.11084883503085e-14	"gene-241682"
"gene-225107"	-6.8216515723287	1.33480141374818	115.421475178809	5.43471943591808e-17	1.1752303498569e-14	"gene-225107"
"gene-241126"	-9.77322539299245	5.24170099161781	114.646929188429	6.35765203804028e-17	1.3473136199015e-14	"gene-241126"
"gene-224227"	-8.27907229332424	3.3694942557083	113.58750032294	7.88722052508663e-17	1.62099487134872e-14	"gene-224227"
"gene-224357"	-8.56698423619855	5.00768975597556	113.545540476503	7.9550522187744e-17	1.62099487134872e-14	"gene-224357"
"gene-240983"	-8.01858336397687	2.60317046471838	113.417659635843	8.16549821027601e-17	1.63248337803933e-14	"gene-240983"
"gene-322912"	-7.78970701786264	2.07385965255298	113.070478710713	8.76611978521455e-17	1.72010750452099e-14	"gene-322912"
"gene-431701"	-7.86271413952924	3.44720504146437	112.259284920409	1.03526773605421e-16	1.9944903511328e-14	"gene-431701"
"gene-326825"	-8.23127063956973	2.12701284725228	112.076376642622	1.07494415154137e-16	2.03394789816649e-14	"gene-326825"
"gene-222365"	-9.54751629143098	4.55153876921023	111.309835390576	1.25895592239852e-16	2.34033279890083e-14	"gene-222365"
"gene-238849"	-1.69247143143349	4.56664568712698	110.16625233793	1.59557657163854e-16	2.91495333673827e-14	"gene-238849"
"gene-222332"	-10.187436245307	6.27290267228246	108.998212297826	2.03556675303356e-16	3.65573988392265e-14	"gene-222332"
"gene-219019"	-1.98827640169016	1.39392711504912	108.763889076212	2.13788675833759e-16	3.74097898213235e-14	"gene-219019"
"gene-222531"	-9.03636746110453	3.78550305254423	108.728837262788	2.15364022187687e-16	3.74097898213235e-14	"gene-222531"
"gene-240638"	-5.80578374855074	-0.364498494789402	108.135650010879	2.43907177449857e-16	4.16845234235272e-14	"gene-240638"
"gene-222383"	-9.18532937080781	5.19772433536085	107.990208810635	2.51480333912066e-16	4.20010782592189e-14	"gene-222383"
"gene-240929"	-9.23856541541144	4.16741120889111	107.948672087585	2.53687146903549e-16	4.20010782592189e-14	"gene-240929"
"gene-326849"	-9.70038083926712	4.39308317156029	106.991326122376	3.1045133937845e-16	5.06083444931393e-14	"gene-326849"
"gene-224956"	-7.69878307034527	8.33512802205937	106.742571002489	3.27232018588228e-16	5.25356131660737e-14	"gene-224956"
"gene-227370"	-0.990701529800272	3.95825990270362	105.273561326852	4.47209243521759e-16	7.07258081247247e-14	"gene-227370"
"gene-224277"	-5.76547883951801	-0.267570544568815	102.835936904804	7.55226913528939e-16	1.17682123172833e-13	"gene-224277"
"gene-222344"	-6.41897333627048	0.749622445877733	101.452644928677	1.0200276413958e-15	1.56640766496085e-13	"gene-222344"
"gene-323803"	-1.8485147832865	6.77437672651038	99.3296328394288	1.62540410448524e-15	2.45628775074368e-13	"gene-323803"
"gene-222519"	-8.13423748219503	2.98357948120655	99.2729722058519	1.64587042565875e-15	2.45628775074368e-13	"gene-222519"
"gene-241001"	-7.93478280470373	2.6933034796034	99.100394381377	1.70985159756925e-15	2.51633160108942e-13	"gene-241001"
"gene-428756"	-5.15763414816887	-0.856794032805935	98.8908902335804	1.79096575384558e-15	2.59370168119694e-13	"gene-428756"
"gene-430032"	-8.85402157811464	4.60241606477807	98.8124206557767	1.82235421560116e-15	2.59370168119694e-13	"gene-430032"
"gene-84970"	-3.63623918177438	0.28457825004394	98.7790849904577	1.83585906086986e-15	2.59370168119694e-13	"gene-84970"
"gene-240935"	-5.65289777718074	-0.169620724876995	98.3865551195319	2.00282550244628e-15	2.79236039788432e-13	"gene-240935"
"gene-223773"	7.2606092950348	4.17554325125465	97.0546765938605	2.69499033863426e-15	3.70858670495696e-13	"gene-223773"
"gene-225738"	-6.02545489889354	2.25637195315103	96.8795392026846	2.80274426726303e-15	3.77367353924431e-13	"gene-225738"
"gene-240871"	-8.43953268165788	4.84173720760875	96.8624118773972	2.81351651189411e-15	3.77367353924431e-13	"gene-240871"
"gene-226245"	-3.13267917763273	2.43577866314587	96.6995029939355	2.91812673942726e-15	3.86505886637141e-13	"gene-226245"
"gene-421265"	-2.47897639929022	3.07517316026403	94.457803846866	4.83971054895952e-15	6.33105839219446e-13	"gene-421265"
"gene-220544"	-4.87838185677632	-0.645162640998717	93.858734463261	5.54664506036068e-15	7.1673476901929e-13	"gene-220544"
"gene-214979"	-1.27913636407434	4.86147012733287	92.6994014598477	7.23133995937355e-15	9.23172026620748e-13	"gene-214979"
"gene-403851"	-6.15531223257645	-0.0337291145435335	92.1972223774062	8.11638514907778e-15	1.02382401237653e-12	"gene-403851"
"g14784"	-4.63929698498482	2.75060689742004	90.5158209712092	1.19774356583369e-14	1.47069648894775e-12	"g14784"
"gene-224307"	-5.86775837610135	0.201474797567903	90.482161852828	1.2071593162239e-14	1.47069648894775e-12	"gene-224307"
"gene-395158"	-5.56246934075921	1.39112847592212	90.4808182195375	1.20753675479855e-14	1.47069648894775e-12	"gene-395158"
"gene-430068"	-7.34463067684564	4.39087099418134	89.9842850744888	1.35565409032823e-14	1.63233076603612e-12	"gene-430068"
"gene-392290"	-9.83685685356406	6.9808529204961	89.8589802858964	1.39589774748353e-14	1.66190253172309e-12	"gene-392290"
"gene-222555"	-6.52018751516422	0.887873745223807	89.557090551871	1.49796714744234e-14	1.76360665492212e-12	"gene-222555"
"gene-392248"	-5.56847975089061	-0.578294604812945	87.9617280063878	2.17978092647707e-14	2.53812732933528e-12	"gene-392248"
"gene-392224"	-7.21132781843139	2.57569775033949	87.6995201442284	2.31921841702585e-14	2.67113460291368e-12	"gene-392224"
"gene-242512"	-4.72671024757495	-0.386607364575462	87.3628579871948	2.51177665504918e-14	2.86180488568829e-12	"gene-242512"
"gene-80359"	-4.7935722610805	3.73627166030473	86.8187163907484	2.85838790851393e-14	3.22207215729932e-12	"gene-80359"
"gene-390616"	-7.21938567521598	3.90640939927361	86.4000027442148	3.15827653040445e-14	3.52264190696479e-12	"gene-390616"
"gene-403809"	-8.64253237915633	8.14488817332374	86.0023592430861	3.47299082849042e-14	3.8333136269463e-12	"gene-403809"
"gene-224369"	-3.97733807624488	0.139671415561396	85.9178015903638	3.54396384370336e-14	3.87132380287431e-12	"gene-224369"
"gene-403818"	-9.98338682685053	4.92376115814512	85.3628927561117	4.04818707501428e-14	4.37699900478074e-12	"gene-403818"
"gene-225635"	-4.97910940050319	1.10860687195069	84.9998592827345	4.41738050743533e-14	4.72793574310957e-12	"gene-225635"
"gene-391198"	-7.38664847405496	2.21812165846222	83.6580546851956	6.10967015736096e-14	6.47380649873968e-12	"gene-391198"
"gene-225158"	-6.19365671512876	1.3962689017459	83.5062647816414	6.33909180683159e-14	6.65039770150371e-12	"gene-225158"
"gene-222501"	-5.46185241095075	0.104732599732683	82.4996537531318	8.10189560560255e-14	8.41643978793771e-12	"gene-222501"
"gene-218086"	-2.86765426457781	2.55806934034368	80.1792059266832	1.43504693521823e-13	1.47284894553539e-11	"gene-218086"
"gene-392159"	-6.71990333973681	0.844990638108068	80.1496774743302	1.44560485405512e-13	1.47284894553539e-11	"gene-392159"
"gene-240860"	-6.03251169680279	1.13478626592241	79.6256483915973	1.64682534273754e-13	1.66188203158543e-11	"gene-240860"
"gene-428747"	-6.68178653337708	1.45877533304222	79.432526983031	1.7280427005042e-13	1.72739060891911e-11	"gene-428747"
"gene-428774"	-4.65406095769001	-1.27244563411095	79.1501727945351	1.8542532718567e-13	1.83623062323304e-11	"gene-428774"
"gene-323148"	-8.01700916706919	3.80818301418023	79.1035060113229	1.87600676287443e-13	1.84057107957569e-11	"gene-323148"
"gene-223419"	4.73227432714606	8.47829025091593	78.7267375118881	2.06151585338446e-13	2.00402036536347e-11	"gene-223419"
"gene-231854"	1.00938188252117	4.80348127752399	78.5735732009886	2.14221762887173e-13	2.06353981777498e-11	"gene-231854"
"gene-322927"	-5.94121879120174	2.48178410910684	78.0980124271449	2.41407602014811e-13	2.30446391977382e-11	"gene-322927"
"gene-84949"	-3.35731862599992	4.81219829532163	77.2096885276117	3.02072335853482e-13	2.85782006312812e-11	"gene-84949"
"gene-392186"	-7.36732579514187	8.85475967648953	77.0696595577483	3.12975524851209e-13	2.93476872683488e-11	"gene-392186"
"gene-223758"	8.82690136007899	4.94987180171793	76.9097296093154	3.25923658108793e-13	3.02937463273752e-11	"gene-223758"
"gene-327441"	-0.939167566392343	5.73576677448105	75.4808977438435	4.69073374422189e-13	4.32200128293697e-11	"gene-327441"
"gene-326873"	-7.76215275902743	1.9893004383571	75.110196089113	5.15837587793829e-13	4.71190955195122e-11	"gene-326873"
