WJ-3841-1-14-10-M_S377	WJ-3841-1-14-13-F_S429	WJ-3841-1-14-14-M_S399	WJ-3841-1-14-15-M_S400	WJ-3841-1-14-16-F_S430	WJ-3841-1-14-19-M_S425	WJ-3841-1-14-20-M_S426	WJ-3841-1-14-23-M_S427	WJ-3841-1-14-24-M_S428	WJ-3841-1-14-4-F_S378_	WJ-3841-1-14-7-M_S374_	WJ-3841-1-14-8-M_S375_	WJ-3841-1-14-9-M_S376_	WJ-3841-1-16-10-M_S401	WJ-3841-1-16-12-M_S402	WJ-3841-1-16-14-M_S403	WJ-3841-1-16-17-F_S405	WJ-3841-1-16-18-M_S404	WJ-3841-1-16-19-F_S435	WJ-3841-1-16-20-M_S431	WJ-3841-1-16-22-F_S436	WJ-3841-1-16-24-M_S433	WJ-3841-1-16-25-M_S434	WJ-3841-1-16-6-M_S379_	WJ-3841-1-16-7-M_S380_	WJ-3841-1-16-8-M_S381_	WJ-3841-1-16-9-M_S382_	WJ-3841-1-18-10-M_S383	WJ-3841-1-18-11-M_S406	WJ-3841-1-18-12-F_S440	WJ-3841-1-18-13-F_S420	WJ-3841-1-18-14-M_S407	WJ-3841-1-18-17-M_S408	WJ-3841-1-18-19-M_S437	WJ-3841-1-18-21-M_S438	WJ-3841-1-18-23-M_S439	WJ-3841-1-18-5-F_S384_	WJ-3841-1-18-8-F_S409_	WJ-3841-1-18-9-F_S410_	WJ-3841-3-14-10-M_S361	WJ-3841-3-14-11-M_S385	WJ-3841-3-14-12-F_S389	WJ-3841-3-14-13-M_S386	WJ-3841-3-14-14-M_S387	WJ-3841-3-14-16-F_S414	WJ-3841-3-14-17-M_S411	WJ-3841-3-14-18-F_S415	WJ-3841-3-14-22-M_S412	WJ-3841-3-14-23-M_S413	WJ-3841-3-14-4-F_S362_	WJ-3841-3-14-5-M_S359_	WJ-3841-3-14-6-F_S363_	WJ-3841-3-14-7-F_S388_	WJ-3841-3-14-9-M_S360_	WJ-3841-3-16-10-F_S393	WJ-3841-3-16-11-M_S365	WJ-3841-3-16-12-F_S394	WJ-3841-3-16-13-M_S390	WJ-3841-3-16-14-M_S391	WJ-3841-3-16-15-F_S418	WJ-3841-3-16-16-M_S392	WJ-3841-3-16-17-F_S419	WJ-3841-3-16-18-F_S432	WJ-3841-3-16-21-M_S416	WJ-3841-3-16-26-M_S417	WJ-3841-3-16-7-M_S364_	WJ-3841-3-16-9-F_S366_	WJ-3841-3-18-10-F_S373	WJ-3841-3-18-11-M_S395	WJ-3841-3-18-15-M_S396	WJ-3841-3-18-16-M_S397	WJ-3841-3-18-17-M_S398	WJ-3841-3-18-20-M_S421	WJ-3841-3-18-21-M_S422	WJ-3841-3-18-22-M_S423	WJ-3841-3-18-24-F_S424	WJ-3841-3-18-4-M_S367_	WJ-3841-3-18-5-F_S372_	WJ-3841-3-18-6-M_S368_	WJ-3841-3-18-7-M_S369_	WJ-3841-3-18-8-M_S370_	WJ-3841-3-18-9-M_S371_
gene-22	-2.44504573251337	-2.3422191084441	-4.34965806455804	1.73951210303358	-2.24406649227606	-0.0803571145830052	-2.16416700685331	-0.386368429013018	0.587384759066588	-1.50094143942366	-0.060034585970411	1.33159781788976	1.27800648963358	2.46277070002591	2.80742615781555	0.139796433359013	-0.150005941487154	3.02674612826433	-1.16150953936095	0.963507167203434	-4.34965806455804	2.73075034394239	2.43698407223845	1.16964437268025	1.39236799686472	1.31700155708893	3.18812708480265	2.00768711340602	3.69068636244841	-0.270020297819716	-0.428831316823935	2.83677082030008	2.22540005301516	4.23275130877733	2.29139921782294	2.61706318299312	0.0835103962004869	-0.111994364302874	-0.607233241069952	0.729031841511997	-0.545978744284594	-0.76925062716498	-0.402089899996473	-0.139160973226358	-0.490810513424787	0.798879800830498	-2.87021896466291	-0.48419248497907	-0.340705006017582	-0.597688861621713	0.253229952199023	-4.34965806455804	-0.656854107369147	-0.306550708968861	-1.4423413190215	1.88724691751379	-4.34965806455804	0.277648900592659	2.00305853162742	-0.240462807127697	1.68323374100978	-0.447336846216732	-0.169130533778845	0.552671347395749	0.599161699455109	2.5832885265286	-4.34965806455804	-1.20176082183494	1.4759763511742	3.55398420882846	3.91068671255473	2.32957917603184	3.24811254008379	3.14371579171469	-0.158279474675531	-0.848394117836124	2.53090797114553	-0.369935867852477	2.42168924766595	1.82675654976963	2.75607278989526	2.60318582730372
gene-79	4.96691130900846	5.34498866426021	4.98175151913125	4.83612057211519	5.11457910827047	5.19160560268561	5.02867100725563	5.04635740585932	5.26430876474088	4.92962581681147	5.26463564037576	5.12657086241489	5.30809848278034	5.65639536883794	5.10866267235406	5.3410675493438	5.73175407503127	4.98901616343161	5.16998070099835	5.49514080696268	4.9717696310899	5.46888324492298	5.27118064364369	5.17965887690886	5.59403337337933	5.0396616903174	5.23382304844205	5.11717792344795	4.90490112466157	5.46805433588255	6.00085026807624	5.71989924462965	5.9828916044436	5.35355338383088	6.08584081228475	4.99597253644463	4.97158692228407	5.60205122869987	5.63677337579855	4.92748952689045	5.08226750769984	5.01388605458441	5.13261167593666	5.22141807485457	5.00827333347404	5.34432740849366	5.34873234421465	5.18779910018407	5.72798750464601	5.1878065622477	5.48153624410139	5.36648006049291	5.20241185754631	5.3577260562809	5.53767282234302	5.09245849682283	4.81088870655795	4.95987651428729	4.94601506661228	5.28010609759174	5.00204153255264	5.93171850993514	5.34322976451178	5.34832105392597	5.32061398976605	5.26167043117036	5.15483818630617	6.14729456217922	5.29341908871846	4.82759917558165	5.47879225648195	5.43558302072392	5.37929438345364	5.64715734241147	5.39155375583731	5.00910339328224	5.88271565987866	5.17727792163761	5.67619404520379	5.29518749472162	5.15601086266448	5.26449323465835
gene-139	6.3029346646823	7.0691088478175	6.78750595035088	6.96846334195744	6.25342167775445	6.23555482637431	6.49318334163141	6.41368928765139	6.33361519691715	6.49611834492417	6.19205056036218	6.78252534393512	6.43916807410022	5.47853345309727	6.51528544926287	6.01574879946257	6.39654094004635	6.29053785614878	6.4108772157302	5.74057819358479	5.8018057276071	5.34489050049229	5.89874932633865	6.05571093744898	5.59403337337933	6.4919044379552	5.59899506436893	5.7165247136253	5.55755391680026	5.86287230975617	5.31532250953303	5.24197137271962	4.75947739701287	5.18214375986894	5.29659475641502	6.03676753866765	6.10891632443899	6.13461881016177	5.8843217885239	6.21195462448235	6.65313196583771	6.81106638086142	6.24633004742892	6.06564520458811	6.12142243943331	6.16630032823822	7.02094025137211	6.8922952727043	6.26258263879224	6.10585509221741	6.23332946217788	6.22247886691594	6.17150420133784	6.84072001494404	6.29322353620737	6.70717156822387	5.99710078899274	5.44850157097847	6.35803527130709	5.10732183598442	6.354151512499	6.16459374978909	5.71903935009313	6.93630637321178	6.49767841832659	6.07383660646204	6.48510955878008	5.52879933164321	6.04384135347726	5.17763977900671	5.8923555687374	5.75809318001666	6.96451172025597	5.724133989242	6.20717316317679	6.18911478412577	5.32870970635141	5.35202314174246	5.11679314024606	5.2421678358911	5.07656460930791	5.03832293818491
gene-151	5.59997870598077	5.26664458686048	5.47060351939368	5.48729614882319	5.51042245698872	5.75175144609926	5.56398463773546	5.52520318632015	5.63799985665777	5.45998010285898	5.3373014535882	5.38074784767402	5.48924348434496	4.91825977799254	5.14608479062731	5.31268941482245	5.60739539883121	4.85698225613539	5.31885987279518	5.11861865606945	4.31011943164153	4.85765297212106	4.9418609632912	5.19468250408887	5.12077598917799	5.23843546299097	4.66183092630617	4.99220754582948	4.53966577968157	5.25578264816729	5.42423151306098	5.1563920506041	5.18482790541274	5.04816463847363	5.45816984051852	5.26805029202473	5.03965433138843	5.31899912777331	5.44391211199519	5.7483096050816	5.86058422063105	5.54511181542515	5.38068023977806	5.43580623078297	5.33864721504634	5.29547786825725	5.57530707868653	5.50933886386319	6.01330516310617	5.26525163152383	5.29962078294906	5.31884097251865	5.76360899894053	5.38016219217476	5.43505893860598	5.14301304997638	5.02308795627287	5.21351485948426	5.1499113654645	5.12391304466395	5.51762688405134	5.63164804254894	5.37644185335273	5.39767476307984	5.46017529961062	5.44575279685383	5.36420767663825	5.6180952336301	5.42923445371857	4.27649547150347	5.04259446633242	5.14441837561888	5.24556535393044	5.14251403972717	5.64253159047618	5.43770570096385	5.44397611588851	4.90053384533004	5.29442888855089	4.97804010630473	4.79118667085626	5.08399762116542
gene-184	-0.943081977263553	0.981933214093542	0.27216363893551	0.196321025283587	-0.218833451211335	-0.75499521384487	1.09612792917286	-0.177250069948307	1.8009634485366	2.00166471179668	0.27199400715556	0.227444458728998	2.3692044834567	-0.101490186869105	1.81749919601831	-0.253989535275909	-0.150005941487154	1.09225595454879	-0.242906862571339	1.09770808511738	3.10832576777208	-0.944282036130494	1.44999272190098	-1.5040292719183	1.39236799686472	0.122182066383878	1.66118167478887	0.525428287819783	1.01144053338406	1.76256928726121	1.48169769816527	0.856978269606018	1.59635217922506	0.669879858295849	0.780994477880852	0.38077164260814	2.4872408120838	0.662208213928059	1.9619768900015	0.165258482032323	-0.842307182053634	-0.76925062716498	1.37674341649403	-0.386693538536788	1.43261545669716	-0.846172317386157	0.494338184450943	1.18176709599492	0.681964863667363	0.914058415535571	0.324258974550754	-0.475824573467616	0.890213889824687	0.895474772654283	0.22066854426641	-1.13723477391223	2.64976037965759	-0.868938949266285	0.388322076355572	2.49339814547276	0.933040922928267	-0.144835923752983	2.46236534826554	1.78728643579523	-0.462821936942499	2.28347815998724	0.483279925237441	-0.191754959115973	-0.449659419517897	1.40499331616869	-1.44002517567397	0.865420189968994	1.29404269139989	0.76296263377922	0.546748534807589	1.50283864549346	0.456780568444802	1.85643708504535	2.1181524374725	0.789312406613928	1.49207824637112	-0.0760774471381789
gene-247	4.12474836486312	4.22628002356416	4.53732320038364	4.05802147558244	3.36998821341542	4.26155006567633	4.35458683108194	4.48314071271975	4.25371128200173	3.97445508335501	4.25401619712844	4.02305784014889	3.68289145436048	5.03941981166947	4.29968567731966	4.06700918182814	5.23874242880416	4.89675601256272	4.48563158908395	4.56781647317753	3.65322006667569	4.63664243861428	4.3100717945532	3.34213680355055	4.58986250303901	3.98138897245112	5.41599536280832	3.71783658001277	4.83504023979645	4.52191902293372	5.1762818646771	5.00939475292139	4.94119165802358	4.94892294346301	5.30152765318714	3.96550017027734	3.54477167658875	4.82873123113272	4.94362522155121	4.39565411729426	4.68585817863157	4.7476849364875	4.27044257856218	4.51401569904263	4.40949372601928	3.30087307700459	4.70604654045381	4.21582181906072	4.64642428248068	4.71760428273426	4.40744615712453	3.81958715890593	4.75321870807084	4.73194246637079	3.53729025380979	4.16145694000864	3.48129183345287	4.08730086934969	4.45982160206443	3.32435959396263	4.377874335383	3.82412739765628	4.84951714604473	4.25684457197654	4.69003096822365	4.0245453386075	4.20378082799043	4.78220561136798	4.55486308966172	3.65975598431027	3.72852733025979	4.18478663924505	4.14989680365423	4.86214856933363	4.66617769287553	4.56810025086272	4.64482562661698	5.25561201563131	4.49901729637534	4.93166300742802	4.5116262929741	4.9423922864036
gene-283	2.5616452418897	4.32556363555905	3.9635309702978	2.50826296373495	4.50684176300269	4.22428001344699	3.74973617915093	3.86866834666583	3.91133121963679	3.74815328881787	4.36245325855466	4.04773047896646	3.36234015344605	1.17415209303466	2.98313710753086	4.04033547108451	3.18306619229135	0.523793279343014	2.96531848413306	2.89974304520917	3.92787603911665	4.89236027943634	4.53543611352393	3.74458019468812	3.44872876172537	1.43260876373571	2.97324786637985	3.95801706544379	3.68334244787975	3.80168665336651	2.57966633295243	4.29756075140489	2.0522644908501	4.43381849518413	2.53871469453407	1.01294929239525	1.04972703625079	3.94332093228768	3.28799656608076	3.1959394040469	2.73599520510257	3.64961191783875	3.23125746221259	3.94854910365204	3.52778564738693	4.83050052118655	3.57179260142406	3.7163410389531	5.0300179923964	2.76095486606436	4.0574568835779	4.53383175148583	2.79187358572047	3.10082506719619	4.78846436114022	4.33094250380769	4.15698573298648	3.41734513913322	2.66633819001851	5.14574196257073	3.10537455509016	5.03991560193542	4.03874262826473	2.40455628634574	2.96882797333056	1.29793998261014	3.92826004159676	4.63161103394396	2.05243448501867	2.39157059348169	4.94371149625536	3.79604713827521	3.05305421570813	2.66148802638218	3.09076838593104	2.88580631054318	3.79531407300927	1.70431353065387	3.17457423873119	3.30442037672205	3.88388491966985	2.79303757491274
gene-292	8.27180183088541	8.70327815750416	9.03584656323303	8.37658832621497	9.07847740180874	9.33308021862301	8.83854420301218	8.48257998249148	9.51999938357713	8.75630040748302	9.52514668520109	8.18330985908775	8.81620216180734	7.52264516132859	7.68769152660874	7.71045466788343	7.69203958945518	7.81832611060154	8.36510955985808	8.34566938750756	9.62916631368939	8.61980332237069	8.19476247565966	8.08344453965198	7.35177935641076	7.04572819477012	6.83830258162811	7.84453550743834	7.14151442124679	7.36127505382083	7.21395401098452	7.48310305832934	7.09962173406653	7.50052602024675	7.12063798740308	8.62476213334511	8.21012938999549	8.17927224499241	7.16895391829801	9.03799712578284	8.92816877563409	8.84347226533552	9.10758494841232	8.73799607667174	9.30889808017009	9.59974926937869	8.67931977026667	8.74061068793908	8.30712196019033	8.48318432968809	9.29448482286886	9.78509524147158	8.94827298086868	8.12939362264527	9.03132847593966	8.31115685693706	9.26791189395069	8.78536313213533	8.18342699446858	9.25975155459919	8.32700403553508	8.05669267189455	7.23532756921951	8.13102570468667	8.50293199266716	8.25019385929599	8.51276264118519	7.19912468424434	8.72038501919798	7.61439715646081	7.44314029166912	7.65685270024779	7.69261795263495	7.17038771502014	8.53768216010907	8.74970307386544	7.04599131558226	7.3899924574261	6.99073966072256	6.73830661317938	7.1212131410234	7.1461233169972
gene-304	0.925763929266831	2.28220359456639	0.763650840587832	1.06061643555671	0.428021259078319	0.771229609733013	1.50286657459417	1.17423367100539	1.27944610039412	0.651151593603592	1.08247681441283	0.967874701987477	2.23561702902476	1.0256289702999	1.61887358266075	-1.89775336228164	2.6679642983681	1.09225595454879	2.18893069214558	1.09770808511738	-0.496864262014771	-0.0140215262309186	1.61703703222583	0.500684349270708	2.10100993169221	1.27114335237872	2.81256547068289	-0.24551861089544	3.26030196901463	3.14039936525889	3.29189786353433	2.57009398648559	2.49439758636076	2.52685000041124	2.11433696122423	-0.77091954578185	-0.851207393061369	1.23218821280661	2.23444911957801	0.804785706176843	1.14472177442848	0.611315647489335	1.21022056744664	0.730897444488711	0.945869703694961	-1.72426166577425	1.01628176390483	0.465448031721082	1.75778304392231	1.92866379926349	-0.760269572201433	0.0759562779665432	1.89010472230472	1.06620757034523	-0.541846558108064	0.74103646062395	-0.0914793071170185	1.29776131577439	2.06642114701872	0.316361867893219	0.434264476151954	-0.447336846216732	1.67820133258434	1.69554310240774	0.0892600471186354	1.63290537178647	-1.37233473446634	2.97694489065127	0.903677136924227	2.09511896589302	1.53507589220682	0.918428736713385	1.66587958797809	1.69027705886581	0.914038030847597	0.864959737285164	2.92225605959022	2.48242296358527	2.45921524895198	2.77311539722084	1.99698779490223	2.72105124741773
gene-322	7.04678043777606	7.00648494204277	7.12251475281468	7.00851293801304	7.14725677508747	7.10386061960866	7.18423058373603	7.09220715155522	7.11400602720254	6.72082846863197	7.12556385808889	7.08448963441739	6.96228359264588	7.16530961951739	7.04244156041832	7.41510302993188	7.48698982277105	6.44223723742837	7.05146110617055	6.92508233482372	6.44486388225286	6.87040274522152	6.86740672023855	7.20589353777901	6.94665587083178	6.82809858047266	6.93557565704693	7.42918504119788	7.14003985405622	7.62971541331671	7.35958222454781	7.08320011545337	7.01292975425033	6.97815068746165	7.10379313656193	7.20061782165591	6.88609665218865	7.14420437580253	7.51753289300971	6.60925355216865	7.01270692262458	7.28267774636166	7.19729509817298	6.95289340445831	6.87028949296089	7.27456714426248	7.20888103804377	7.18853913509239	6.55564949884021	6.96454319613925	7.25177196833999	6.86476327643489	6.85274287798929	7.26074220524183	7.17513030648454	6.89587656929194	6.94279653343009	6.80687288572701	6.63510166787414	6.82548529342331	6.60220144061141	7.35485404497124	6.8827705220395	6.81166278529885	6.95836876464726	7.04287556463838	6.81608378628817	7.58880052981448	7.15931562193982	7.3847713619785	7.74623455091578	7.22805578292155	7.11173104378092	7.4450821331977	6.99228753586794	6.89686447040294	7.34976466438603	6.72043080229251	7.15924963136108	6.9783578981905	6.8014112443813	6.66565235682669
