ID,sex,line,day
WJ-3841-1-14-10-M_S377,M,1,14
WJ-3841-1-14-13-F_S429,F,1,14
WJ-3841-1-14-14-M_S399,M,1,14
WJ-3841-1-14-15-M_S400,M,1,14
WJ-3841-1-14-16-F_S430,F,1,14
WJ-3841-1-14-19-M_S425,M,1,14
WJ-3841-1-14-20-M_S426,M,1,14
WJ-3841-1-14-23-M_S427,M,1,14
WJ-3841-1-14-24-M_S428,M,1,14
WJ-3841-1-14-4-F_S378_,F,1,14
WJ-3841-1-14-7-M_S374_,M,1,14
WJ-3841-1-14-8-M_S375_,M,1,14
WJ-3841-1-14-9-M_S376_,M,1,14
WJ-3841-1-16-10-M_S401,M,1,16
WJ-3841-1-16-12-M_S402,M,1,16
WJ-3841-1-16-14-M_S403,M,1,16
WJ-3841-1-16-17-F_S405,F,1,16
WJ-3841-1-16-18-M_S404,M,1,16
WJ-3841-1-16-19-F_S435,F,1,16
WJ-3841-1-16-20-M_S431,M,1,16
WJ-3841-1-16-22-F_S436,F,1,16
WJ-3841-1-16-24-M_S433,M,1,16
WJ-3841-1-16-25-M_S434,M,1,16
WJ-3841-1-16-6-M_S379_,M,1,16
WJ-3841-1-16-7-M_S380_,M,1,16
WJ-3841-1-16-8-M_S381_,M,1,16
WJ-3841-1-16-9-M_S382_,M,1,16
WJ-3841-1-18-10-M_S383,M,1,18
WJ-3841-1-18-11-M_S406,M,1,18
WJ-3841-1-18-12-F_S440,F,1,18
WJ-3841-1-18-13-F_S420,F,1,18
WJ-3841-1-18-14-M_S407,M,1,18
WJ-3841-1-18-17-M_S408,M,1,18
WJ-3841-1-18-19-M_S437,M,1,18
WJ-3841-1-18-21-M_S438,M,1,18
WJ-3841-1-18-23-M_S439,M,1,18
WJ-3841-1-18-5-F_S384_,F,1,18
WJ-3841-1-18-8-F_S409_,F,1,18
WJ-3841-1-18-9-F_S410_,F,1,18
WJ-3841-3-14-10-M_S361,M,3,14
WJ-3841-3-14-11-M_S385,M,3,14
WJ-3841-3-14-12-F_S389,F,3,14
WJ-3841-3-14-13-M_S386,M,3,14
WJ-3841-3-14-14-M_S387,M,3,14
WJ-3841-3-14-16-F_S414,F,3,14
WJ-3841-3-14-17-M_S411,M,3,14
WJ-3841-3-14-18-F_S415,F,3,14
WJ-3841-3-14-22-M_S412,M,3,14
WJ-3841-3-14-23-M_S413,M,3,14
WJ-3841-3-14-4-F_S362_,F,3,14
WJ-3841-3-14-5-M_S359_,M,3,14
WJ-3841-3-14-6-F_S363_,F,3,14
WJ-3841-3-14-7-F_S388_,F,3,14
WJ-3841-3-14-9-M_S360_,M,3,14
WJ-3841-3-16-10-F_S393,F,3,16
WJ-3841-3-16-11-M_S365,M,3,16
WJ-3841-3-16-12-F_S394,F,3,16
WJ-3841-3-16-13-M_S390,M,3,16
WJ-3841-3-16-14-M_S391,M,3,16
WJ-3841-3-16-15-F_S418,F,3,16
WJ-3841-3-16-16-M_S392,M,3,16
WJ-3841-3-16-17-F_S419,F,3,16
WJ-3841-3-16-18-F_S432,F,3,16
WJ-3841-3-16-21-M_S416,M,3,16
WJ-3841-3-16-26-M_S417,M,3,16
WJ-3841-3-16-7-M_S364_,M,3,16
WJ-3841-3-16-9-F_S366_,F,3,16
WJ-3841-3-18-10-F_S373,F,3,18
WJ-3841-3-18-11-M_S395,M,3,18
WJ-3841-3-18-15-M_S396,M,3,18
WJ-3841-3-18-16-M_S397,M,3,18
WJ-3841-3-18-17-M_S398,M,3,18
WJ-3841-3-18-20-M_S421,M,3,18
WJ-3841-3-18-21-M_S422,M,3,18
WJ-3841-3-18-22-M_S423,M,3,18
WJ-3841-3-18-24-F_S424,F,3,18
WJ-3841-3-18-4-M_S367_,M,3,18
WJ-3841-3-18-5-F_S372_,F,3,18
WJ-3841-3-18-6-M_S368_,M,3,18
WJ-3841-3-18-7-M_S369_,M,3,18
WJ-3841-3-18-8-M_S370_,M,3,18
WJ-3841-3-18-9-M_S371_,M,3,18
