"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-312890"	2.7027573606895	4.65891894912495	79.5464578347216	3.84538846320187e-09	3.71310710006773e-05	"gene-312890"
"gene-163028"	2.33513500000435	3.21443859160647	64.0737569743847	2.80885672370648e-08	9.60347971148206e-05	"gene-163028"
"gene-279912"	2.85704093063487	6.90835840959654	63.6424603749682	2.98368259470238e-08	9.60347971148206e-05	"gene-279912"
"gene-228519"	1.09572436817933	8.05257095206796	51.6587699934243	1.8244616929816e-07	0.000406550060318723	"gene-228519"
"gene-166511"	-2.43514581228542	7.10972705321179	50.785884069776	2.10516808367193e-07	0.000406550060318723	"gene-166511"
"gene-410057"	1.91801225558035	7.24140552602691	48.987016583727	2.84275613047093e-07	0.000409663181527026	"gene-410057"
"gene-63245"	6.35151972132011	4.99210180584523	48.7288888178979	2.96980351148424e-07	0.000409663181527026	"gene-63245"
"gene-207342"	1.55392213705858	7.35625758231844	46.1359699079983	4.64918691230379e-07	0.000446451785337565	"gene-207342"
"gene-228118"	1.3459501776131	7.49805043259507	46.0225281620379	4.7430772522626e-07	0.000446451785337565	"gene-228118"
"gene-54363"	1.35893663259853	7.33002600116071	45.857861457785	4.88303627642912e-07	0.000446451785337565	"gene-54363"
"gene-59252"	0.953966274809943	7.04409810239808	45.6280143408391	5.08592547505511e-07	0.000446451785337565	"gene-59252"
"gene-8365"	2.13720194358134	8.32067722179781	44.1499905362799	6.62991683469963e-07	0.000472569946530908	"gene-8365"
"gene-106467"	1.09443787844535	5.31913139605853	43.6927364488686	7.20521060552444e-07	0.000472569946530908	"gene-106467"
"gene-199414"	2.33746291397333	4.67550643655865	43.5146761867993	7.44367151383213e-07	0.000472569946530908	"gene-199414"
"gene-179544"	2.2868632383165	5.92577280358368	43.4132308148356	7.58333963496867e-07	0.000472569946530908	"gene-179544"
"gene-63617"	1.97734943636653	7.44695052294123	43.2385812839197	7.83048792926112e-07	0.000472569946530908	"gene-63617"
"gene-353013"	2.20186433243303	6.4660489257351	42.8816543556112	8.36314251830219e-07	0.000475026495039564	"gene-353013"
"gene-414320"	-1.99341281617378	7.76773864932419	41.3088036302885	1.12255250042089e-06	0.000602187052448007	"gene-414320"
"gene-211137"	3.46953743467408	9.7534123948204	40.9519338913727	1.20130104534298e-06	0.000604008355405685	"gene-211137"
"gene-152989"	1.7642482230904	7.21839374799325	40.7392953810631	1.25105293166049e-06	0.000604008355405685	"gene-152989"
"gene-116902"	1.83412195132926	8.03393770658856	40.0912072355998	1.41696614900648e-06	0.000651534530228882	"gene-116902"
"gene-336703"	4.78424003115324	6.33654780261928	39.1033053596151	1.71748314267485e-06	0.000747761776462863	"gene-336703"
"gene-286545"	2.28425758023772	5.62833504158112	38.8712652412352	1.79766163125576e-06	0.000747761776462863	"gene-286545"
"gene-54961"	0.858479221735428	6.3796872567525	38.7023838782437	1.85856282467986e-06	0.000747761776462863	"gene-54961"
"gene-377707"	1.78395346018363	4.94598778213989	38.2901671349364	2.01680547017866e-06	0.000778970944801806	"gene-377707"
"gene-306335"	-8.35461911917215	8.26975386796143	37.5773532335647	2.3259643478647e-06	0.000863827374730058	"gene-306335"
"gene-120784"	-5.34892846692394	7.66971765469474	37.25169777812	2.4839724148156e-06	0.000888342134720718	"gene-120784"
"gene-243284"	2.20095102266505	5.89912578408493	36.5025524203121	2.89339615465001e-06	0.000997808331046446	"gene-243284"
"gene-13592"	1.86523275854732	5.83879084721054	36.0616721728277	3.16810935819518e-06	0.00102038444140678	"gene-13592"
"gene-393138"	1.7803878039324	6.00963988010207	36.0584648792729	3.17020849649993e-06	0.00102038444140678	"gene-393138"
"gene-92346"	-5.32018044140504	9.28161273050093	35.7939275926938	3.34864317833482e-06	0.00104304833967745	"gene-92346"
"gene-106101"	1.1860942833874	6.97511160977115	35.3862267325078	3.64530187439505e-06	0.00109996984059871	"gene-106101"
"gene-243520"	1.41091875907951	5.67279234532216	34.5986411738265	4.30223571060403e-06	0.00116173254531379	"gene-243520"
