"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-241126"	11.5099062244348	4.81316994126773	621.562308658796	7.51300274262451e-19	7.03866983198025e-15	"gene-241126"
"gene-224896"	11.2057486048072	3.97629508140242	587.39046791818	1.45788521789152e-18	7.03866983198025e-15	"gene-224896"
"gene-222600"	11.4624404345132	6.63371139074816	441.874512115939	4.00826535122598e-17	1.2901270077146e-13	"gene-222600"
"gene-240929"	10.5937653613583	3.56091793018157	406.84419047943	1.03979277094605e-16	2.26743378082169e-13	"gene-240929"
"gene-225140"	10.8304486794354	3.03559252493745	402.573598257469	1.1741061416848e-16	2.26743378082169e-13	"gene-225140"
"gene-222531"	10.6662112025479	3.48491268694792	356.474160092252	4.73696226085339e-16	7.62335126513339e-13	"gene-222531"
"gene-431701"	9.58089445567916	3.18569328488523	350.578517207845	5.73100158128689e-16	7.90550732412946e-13	"gene-431701"
"gene-240623"	10.150004402532	3.23734640142881	333.542246523891	1.0111922765693e-15	1.22050907781915e-12	"gene-240623"
"gene-240910"	10.3166466373348	3.72040066688606	324.629925432407	1.37585887037631e-15	1.47062985873544e-12	"gene-240910"
"gene-430263"	9.90074616652815	2.39336586745084	321.738112817693	1.52302180896379e-15	1.47062985873544e-12	"gene-430263"
"gene-224968"	9.66773839092737	2.72827437949065	316.364391432621	1.84376773044806e-15	1.61849283683696e-12	"gene-224968"
"gene-224227"	9.88594165700108	2.95468135031087	312.403146589812	2.12684057177521e-15	1.71139771342178e-12	"gene-224227"
"gene-222365"	11.0648816688654	4.31013370703474	309.687523291264	2.3479181089518e-15	1.74396132769528e-12	"gene-222365"
"gene-225030"	8.71065154786286	5.60935499720246	300.89114463631	3.2526976217312e-15	2.24343201681689e-12	"gene-225030"
"gene-224357"	10.200799601913	4.51799872807111	284.945674002546	6.01083938268146e-15	3.86937767194481e-12	"gene-224357"
"gene-225173"	9.13340834791888	2.13585505811944	280.756621674864	7.10047988945616e-15	4.28513961328679e-12	"gene-225173"
"gene-241055"	8.96460361903385	2.84520481743574	274.55014592813	9.12722023351404e-15	4.94178908124717e-12	"gene-241055"
"gene-222332"	11.5461701689217	5.75068831948685	274.323738588582	9.21211717713848e-15	4.94178908124717e-12	"gene-222332"
"gene-224682"	9.50489844324258	2.49067081302276	271.455535843388	1.03648818957959e-14	5.26754208346342e-12	"gene-224682"
"gene-222519"	9.62244996629681	2.58618770039674	256.713090786769	1.93587623995467e-14	9.34641048650117e-12	"gene-222519"
"gene-430032"	12.2409874463438	4.87938028165118	249.065485124409	2.71208515359804e-14	1.24704258300679e-11	"gene-430032"
"gene-225720"	9.04870522461091	2.04894783560087	245.266247366188	3.21796894689804e-14	1.41239582505671e-11	"gene-225720"
"gene-225738"	6.93950445107203	-0.0991823146062514	225.143113047352	8.30645399850616e-14	3.4872660786772e-11	"gene-225738"
"gene-430068"	9.9675147367053	4.3315163402481	220.892727088184	1.02485750270962e-13	4.12334335256835e-11	"gene-430068"
"gene-322912"	9.14859714355308	1.449883895291	218.749245813773	1.14099671245026e-13	4.40698570216789e-11	"gene-322912"
"gene-240691"	8.84806614696725	3.6385969571632	206.157447222269	2.18667229069162e-13	8.12096447650702e-11	"gene-240691"
"gene-240871"	10.5590050679763	4.87175550922521	205.289373850739	2.28995422407051e-13	8.14785808365267e-11	"gene-240871"
"gene-224782"	8.17468031374045	2.89589643263223	204.703197999007	2.36267632914535e-13	8.14785808365267e-11	"gene-224782"
"gene-240833"	11.9556335275422	5.17447595161417	187.684298966025	6.07615126230422e-13	2.02314884788999e-10	"gene-240833"
"gene-430080"	8.62426734677596	1.61758221182448	186.36328431785	6.55907599547374e-13	2.11114792707648e-10	"gene-430080"
"gene-222486"	13.390495187013	4.95549053484907	1663.86177320991	8.89406487835676e-13	2.7703577569488e-10	"gene-222486"
"gene-222383"	10.7237402255528	4.8717369506113	175.399242163969	1.26146294638701e-12	3.80646444072281e-10	"gene-222383"
"gene-225236"	7.14072005687167	1.99194388915811	171.588712021606	1.59689103991019e-12	4.67259996405236e-10	"gene-225236"
"gene-225709"	12.0107423802125	3.95973400647044	1460.21027563569	1.74144573827173e-12	4.94570589669172e-10	"gene-225709"
"gene-390956"	8.20347494565615	5.07949264422618	152.632628164372	5.55182055700519e-12	1.53166797995549e-09	"gene-390956"
"gene-323148"	9.20617343475064	3.42631015903481	137.051916175077	1.71743207736805e-11	4.60653448307386e-09	"gene-323148"
"gene-224875"	13.46775710817	10.249828725507	134.741005713976	2.04955607641861e-11	5.34878742537787e-09	"gene-224875"
"gene-428738"	11.1089081161106	5.63572713561004	128.610157262202	3.31845662392319e-11	8.4323729370006e-09	"gene-428738"
"gene-222350"	10.3858869678069	2.17034605221312	783.53219317171	4.24859499115494e-11	1.05190854447672e-08	"gene-222350"
"gene-226245"	4.21066242094036	2.46900634323548	117.274740088145	8.53417902612402e-11	2.06015081690634e-08	"gene-226245"
"gene-390616"	8.61285826433546	3.52805625723234	116.110994240875	9.44362384706448e-11	2.22408858212816e-08	"gene-390616"
"gene-224697"	11.3870370692033	9.43539566586744	108.464855773319	1.87741919671805e-10	4.31627613416892e-08	"gene-224697"
"gene-224743"	9.96096788273565	1.75989869120352	572.722320101337	2.10431832163379e-10	4.68423088241237e-08	"gene-224743"
"gene-220028"	2.67439732197544	2.48034897593742	107.084157019399	2.13448797458724e-10	4.68423088241237e-08	"gene-220028"
"gene-90157"	9.45058613246408	4.86171974469658	105.096135163871	2.57388237056593e-10	5.52297959337435e-08	"gene-90157"
"gene-323803"	2.20849692855108	6.63130195697629	97.8911717335315	5.20203374690187e-10	1.09197473608879e-07	"gene-323803"
"gene-120952"	2.60797916278894	4.40098025456749	97.550474029475	5.38357350053685e-10	1.10603799406774e-07	"gene-120952"
"gene-224956"	7.71583533288732	8.27370276895439	96.1294444522751	6.21819898698808e-10	1.25089436288243e-07	"gene-224956"
"gene-222555"	8.88658162256617	0.795441822603249	409.488234169256	1.15597844516531e-09	2.27798527888087e-07	"gene-222555"
"gene-224860"	9.05107304533843	11.140566219578	87.351346253244	1.57654921955036e-09	3.04463185279566e-07	"gene-224860"
"gene-322927"	6.93204711909654	2.09603772481113	85.2311872530283	1.99579818211495e-09	3.7787112248043e-07	"gene-322927"
"gene-225635"	5.07826605678884	0.245866108974427	83.2747672836787	2.49122897063519e-09	4.6260205654718e-07	"gene-225635"
"gene-225107"	8.81457585870254	0.882499770743716	328.303001330664	3.52594721824489e-09	6.42387666780616e-07	"gene-225107"
"gene-225325"	5.94272137462036	2.55873855472186	77.8444380447567	4.7130070915953e-09	8.42755490304523e-07	"gene-225325"
"gene-406796"	1.54220418133858	4.56374478805994	77.2087907068078	5.08956084802617e-09	8.93541809973466e-07	"gene-406796"
"gene-224201"	11.0572197704914	2.6908265812806	294.836429046691	6.05178896750429e-09	1.04350132625395e-06	"gene-224201"
"gene-223773"	-6.67775406804847	2.23983838358567	74.5356570497715	7.07010174009579e-09	1.19770004214675e-06	"gene-223773"
"gene-239553"	-1.82693639056716	2.08245430678985	67.8290434102969	1.68097847224849e-08	2.7985393324192e-06	"gene-239553"
"gene-237881"	1.8839611057609	2.39227191824562	67.2110789991851	1.82646166671427e-08	2.98920573793101e-06	"gene-237881"
"gene-430314"	8.71580499212435	0.638520575127713	223.74514214389	2.39969873134911e-08	3.81373767183008e-06	"gene-430314"
"gene-241001"	10.8168814862667	2.70971412021419	223.566122500045	2.40925847122654e-08	3.81373767183008e-06	"gene-241001"
"gene-326849"	13.1627825362663	4.63082800487417	204.444143768648	3.75319034388204e-08	5.84529128395564e-06	"gene-326849"
"gene-403809"	9.324736359467	7.88046109979781	61.8845741581659	3.82829198765297e-08	5.86761705282176e-06	"gene-403809"
"gene-223491"	-3.87238729179115	1.66065718406951	59.0639386476523	5.77423254988663e-08	8.71187335964146e-06	"gene-223491"
"gene-224593"	9.79059951404633	1.38579320985342	184.513356890022	6.22752017817758e-08	9.25122074468964e-06	"gene-224593"
"gene-84970"	4.31885536361978	-0.0564540662723608	58.3624336348009	6.40976043443574e-08	9.37767375074417e-06	"gene-84970"
"gene-218529"	-2.7488421676666	4.79310289301751	57.6199280779382	7.16587909299497e-08	1.03274221674566e-05	"gene-218529"
"gene-80359"	5.09858473663123	3.31939177818054	56.7868702959276	8.13091287271938e-08	1.15458962792615e-05	"gene-80359"
"gene-223318"	-4.61752018210686	6.82733898573467	55.9768374479832	9.20549821177294e-08	1.28823609757796e-05	"gene-223318"
"gene-222159"	3.95974741110606	4.22574667662987	53.8297586971665	1.28727011952982e-07	1.7756971820257e-05	"gene-222159"
"gene-428765"	12.1658304121741	3.75970556171197	156.200889401388	1.40953440106968e-07	1.91696678545476e-05	"gene-428765"
"gene-222344"	8.30299747890525	0.206272787297317	144.498935582044	2.05966081653976e-07	2.76223400618166e-05	"gene-222344"
"gene-244235"	4.72342849816243	0.0713514638618844	50.7594009881853	2.11438463941942e-07	2.79678055866218e-05	"gene-244235"
"gene-224890"	4.7306079169441	0.0751663641915141	49.1114405773669	2.78362893666747e-07	3.63225959627853e-05	"gene-224890"
"gene-224079"	-6.00975228021016	0.706068938747007	48.5288086436859	3.07250928003388e-07	3.90820340500185e-05	"gene-224079"
"g14784"	4.9219757700106	2.85152673253908	48.5220392945451	3.0760507330172e-07	3.90820340500185e-05	"g14784"
"gene-81427"	7.51438633268139	4.45264120826242	46.4566721445127	4.39447434313606e-07	5.51078496848335e-05	"gene-81427"
"gene-391222"	11.1777253809153	2.70128373283082	117.678423238575	5.54882847849243e-07	6.86916510106704e-05	"gene-391222"
"gene-84949"	4.08981836648727	4.84381104230652	44.5245872161429	6.19564944975163e-07	7.57280899832933e-05	"gene-84949"
"gene-223419"	-5.64065387002568	8.70664294859359	44.0582866053556	6.74117886636442e-07	8.13660289170185e-05	"gene-223419"
"gene-238849"	1.63861817651714	4.31400381519212	42.1153903637159	9.64405257314511e-07	0.000114966631662085	"gene-238849"
"gene-227308"	2.00732525665864	4.20335682542575	41.9804108818229	9.89094673458319e-07	0.000116471928864799	"gene-227308"
"gene-87700"	1.16799678025918	5.62579147356874	41.6050957355639	1.06141435809009e-06	0.000123482133032746	"gene-87700"
"gene-89234"	1.98873650921725	1.71222889237285	40.8172261631838	1.23256479787115e-06	0.000141686258193379	"gene-89234"
"gene-429522"	-9.26634237531356	6.68331556490759	40.1135197636795	1.41087371182103e-06	0.000160275253662869	"gene-429522"
"gene-407355"	-5.19097395012759	0.0234695038097607	39.8408912058236	1.48730247422593e-06	0.000166992938268902	"gene-407355"
"gene-388757"	-10.5341585189534	6.31496518604526	39.3575680545739	1.6340494126868e-06	0.000181360702631078	"gene-388757"
"gene-421566"	-0.908598785783586	3.49841561697793	37.4120291473111	2.40477372968407e-06	0.000263869262884425	"gene-421566"
"gene-326873"	10.6374751034985	2.2322578031373	83.7843031835152	2.76369366736397e-06	0.000299845236540073	"gene-326873"
"gene-223758"	-6.72917488115119	2.13221567292396	36.2558847823353	3.04376263240667e-06	0.000326561910872432	"gene-223758"
"gene-241262"	-6.25388120884667	4.23662821457339	35.6788759080933	3.42961659907136e-06	0.000363916240446517	"gene-241262"
"gene-222746"	-4.22417677602551	0.554116254269617	35.0903475046191	3.87838806743186e-06	0.000407062121512196	"gene-222746"
"gene-73288"	1.3692224036122	5.07699410853117	34.4854602421816	4.40674099669831e-06	0.000457542914667945	"gene-73288"
"gene-215103"	2.51339061561329	0.935804703276889	32.6082683824908	6.60859976727764e-06	0.000678857865455669	"gene-215103"
"gene-429426"	-9.53349514501521	4.93250534799472	32.5521367421585	6.69059390460713e-06	0.00068004604992512	"gene-429426"
"gene-227370"	1.15475361322347	3.58801896297169	32.4537856620611	6.83692999808799e-06	0.000686336408569285	"gene-227370"
"gene-230270"	-0.914641155036866	6.81625783556165	32.4156256624174	6.89463873562766e-06	0.000686336408569285	"gene-230270"
"gene-166814"	1.78131082335692	3.38871194438443	32.3105210027116	7.05633322108006e-06	0.000695264832477031	"gene-166814"
