"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-172388"	-2.85255947674695	4.88118779276835	74.7805047535252	8.85166598196278e-12	7.15420612380282e-08	"gene-172388"
"gene-88517"	0.79173168430532	6.83252331032464	72.8271669884628	1.34515486016787e-11	7.15420612380282e-08	"gene-88517"
"gene-185427"	0.68555495885992	6.32185571685861	70.4260503695866	2.27058986180809e-11	8.05075478668422e-08	"gene-185427"
"gene-266947"	0.666604380382553	7.08984404016134	62.189817876681	1.48465823514974e-10	3.22032951038423e-07	"gene-266947"
"gene-174050"	-1.09712119557606	4.69700692676437	62.1077097879237	1.51373954610521e-10	3.22032951038423e-07	"gene-174050"
"gene-147246"	-2.03214144322851	7.78348022953849	60.8962805225789	2.01866784849457e-10	3.57876165073946e-07	"gene-147246"
"gene-72366"	-2.82631569761611	4.69999446182019	59.1878605671622	3.04568785938591e-10	3.68055955991884e-07	"gene-72366"
"gene-53233"	-4.2068299237468	2.93424800472786	58.795041832351	3.35079218370479e-10	3.68055955991884e-07	"gene-53233"
"gene-70534"	-4.67139642415968	0.200160421498949	58.140458436034	3.93160483954205e-10	3.68055955991884e-07	"gene-70534"
"gene-145538"	-2.65857185071527	5.64332553943231	57.2195963032669	4.93107492340432e-10	3.68055955991884e-07	"gene-145538"
"gene-17915"	-1.86017702249785	4.28082290582862	56.855356372756	5.3961415995987e-10	3.68055955991884e-07	"gene-17915"
"gene-273360"	-4.16808534720468	3.77421934559551	56.8486154153535	5.40516526737379e-10	3.68055955991884e-07	"gene-273360"
"gene-76789"	0.62947538390789	5.66873638926657	56.5777476541123	5.78102142424149e-10	3.68055955991884e-07	"gene-76789"
"gene-38083"	-3.65622354842341	7.44460144710489	56.0258754998069	6.63310599181534e-10	3.68055955991884e-07	"gene-38083"
"gene-74305"	-3.09822462934074	5.14819789234563	55.902627001437	6.84060509326245e-10	3.68055955991884e-07	"gene-74305"
"gene-358996"	-3.32246018699819	3.6760075012206	55.8731903916673	6.89115313808722e-10	3.68055955991884e-07	"gene-358996"
