"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-395143"	11.1484256707588	3.44737166408444	272.899788316713	8.52425856413067e-23	9.06725383466579e-19	"gene-395143"
"gene-224875"	12.1831961151639	10.9819387917497	146.590943200037	4.95870970257435e-17	1.79176502519208e-13	"gene-224875"
"gene-90157"	9.35022371448938	5.34221526305632	146.451609883586	5.05339388509566e-17	1.79176502519208e-13	"gene-90157"
"gene-395080"	8.65885967852113	3.68216819719806	138.064840863228	1.61784855346253e-16	4.30226376579524e-13	"gene-395080"
"gene-224697"	10.4082104979862	9.70535350551037	136.343055382161	2.06745828498853e-16	4.39831075548459e-13	"gene-224697"
"gene-371957"	-4.3631496362863	-1.17021866911974	113.612854892858	6.61335283010286e-15	1.17243723423007e-11	"gene-371957"
"gene-428738"	9.20516474976565	6.46153754775347	110.829482505456	1.04410147065667e-14	1.52284981758714e-11	"gene-428738"
"gene-219019"	1.98682835055534	1.57139062063321	110.271217728953	1.14532279220618e-14	1.52284981758714e-11	"gene-219019"
"gene-224860"	8.2207436679104	11.719185177829	108.317336194132	1.58733693235827e-14	1.87605588327721e-11	"gene-224860"
"gene-224845"	6.15907435980282	0.303066461755012	99.4869298771261	7.30426033607104e-14	7.32718589983661e-11	"gene-224845"
"gene-120952"	2.10405711686525	5.00843335427274	99.2807675956942	7.5772346430575e-14	7.32718589983661e-11	"gene-120952"
"gene-223491"	-3.68185885569617	1.34854672708627	93.5483400774826	2.14536330612714e-13	1.9016857906062e-10	"gene-223491"
"gene-225325"	5.42739077656904	3.35195256749398	90.8243637817072	3.56913827410194e-13	2.92037875550941e-10	"gene-225325"
"gene-326909"	7.93374403943602	2.37253757966862	88.0827601769907	6.01673223773707e-13	4.57142720091494e-10	"gene-326909"
"gene-237881"	1.84322296389288	2.86865650558951	87.1555622797886	7.19564416345149e-13	5.1026711311089e-10	"gene-237881"
"gene-225720"	6.84354999003525	2.52140569681528	83.5439472793249	1.46146633053444e-12	9.71601084868428e-10	"gene-225720"
"gene-224593"	7.14208839809471	2.11324982969424	83.0735121209057	1.60499895874424e-12	1.00425728965662e-09	"gene-224593"
"gene-430263"	7.73869549174898	3.01311387966172	82.6874137534981	1.73369635249556e-12	1.02451822786085e-09	"gene-430263"
"gene-227308"	2.0121181034609	4.38983586546827	81.8088761425943	2.06802593984819e-12	1.15776799590343e-09	"gene-227308"
"gene-225236"	6.94556490448927	2.74732462332968	81.0661286368286	2.40268199245365e-12	1.27786641768647e-09	"gene-225236"
"gene-395158"	6.05080282109351	1.63889964674504	79.9391793790413	3.02156145075111e-12	1.53049281674474e-09	"gene-395158"
"gene-89234"	1.44366714505921	2.82703546371741	75.0123503653826	8.42636027563044e-12	4.07414519326732e-09	"gene-89234"
"gene-240623"	7.61364044337898	3.72742695383125	73.6102424491382	1.13650333008603e-11	5.25608083570659e-09	"gene-240623"
"gene-220028"	1.897378664364	3.51279189858144	72.3686805001763	1.48540830110622e-11	6.58345337452787e-09	"gene-220028"
"gene-225629"	6.98377021459588	3.05272839005302	71.0960023597607	1.95998133082274e-11	8.33932856638459e-09	"gene-225629"
"gene-238849"	1.72943628136304	4.68186750704571	70.8420326224898	2.07218875192609e-11	8.47764298239915e-09	"gene-238849"
"gene-225355"	2.14047684375619	0.679445716568813	70.1262915559658	2.42570312103589e-11	9.55637188831805e-09	"gene-225355"
"gene-241682"	0.77087881266043	4.64131283551657	69.7304353613154	2.64755925533531e-11	1.00578884996435e-08	"gene-241682"
"gene-240833"	8.3669823256823	5.47004065855354	68.5405505826306	3.45020603251174e-11	1.23308932075031e-08	"gene-240833"
"gene-227370"	0.931825883854172	4.11980463694896	68.5050186554341	3.4777361683284e-11	1.23308932075031e-08	"gene-227370"
"gene-81572"	11.7864263180751	8.81708311800717	67.2884705052898	4.57188177509892e-11	1.56874536908798e-08	"gene-81572"
"gene-241055"	7.50617396892267	3.69226166113939	66.7667649525646	5.14534563387373e-11	1.71034504710984e-08	"gene-241055"
"gene-421265"	2.5211871687825	3.26842443397672	66.0241812412501	6.09332493822566e-11	1.9640817384214e-08	"gene-421265"
"gene-240691"	7.74071066381263	4.56450534366362	64.8813076517882	7.92128810671006e-11	2.47819828209044e-08	"gene-240691"
"gene-227284"	2.12165446476447	0.836478077463071	63.954731806512	9.81747240690671e-11	2.98367011406476e-08	"gene-227284"
"gene-214979"	1.25732158559634	4.92457304532672	63.8098128376539	1.01541798202956e-10	3.00027807634679e-08	"gene-214979"
"gene-220249"	4.72060979280677	3.15847007132009	61.6815384885303	1.67446749353779e-10	4.81386776453012e-08	"gene-220249"
"gene-391222"	6.89481244209439	2.76357355186037	61.5179505420477	1.74077804669965e-10	4.8728042323011e-08	"gene-391222"
"gene-221953"	5.13919160788787	-0.0751754435916868	60.6528003424406	2.13970607646816e-10	5.83591116292097e-08	"gene-221953"
"gene-224968"	7.45590219929698	3.52787250977391	59.6508237216313	2.72275768733887e-10	7.2404933800559e-08	"gene-224968"
"gene-224369"	4.22488230011339	0.371222496515671	58.984356158271	3.19997677731848e-10	8.19042714297485e-08	"gene-224369"
"gene-218086"	2.91426782808139	2.65993394982125	58.940882471473	3.23397518101855e-10	8.19042714297485e-08	"gene-218086"
"gene-224743"	7.07632220625328	2.55444164246759	57.4531061954647	4.65497814035267e-10	1.10526152412176e-07	"gene-224743"
"gene-223773"	-7.38878595918935	4.58764600631741	57.4526513173661	4.6555000984778e-10	1.10526152412176e-07	"gene-223773"
"gene-224614"	5.67886263694287	0.602467132397063	57.4230425401917	4.68960617170997e-10	1.10526152412176e-07	"gene-224614"
"gene-241108"	7.38559767165574	2.65325009425853	57.3458617981043	4.77973395784535e-10	1.10526152412176e-07	"gene-241108"
"gene-406796"	0.989782158126211	4.98026548471914	57.164948874298	4.9981083914077e-10	1.13116763743412e-07	"gene-406796"
"gene-224682"	7.27224423096237	3.0419757268501	56.3596021804427	6.10338931611958e-10	1.35253650324092e-07	"gene-224682"
