"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0006422","aspartyl-tRNA aminoacylation",3,1,0,"0.0045"
"2","GO:0035268","protein mannosylation",7,1,0.01,"0.0106"
"3","GO:0035269","protein O-linked mannosylation",7,1,0.01,"0.0106"
"4","GO:0006465","signal peptide processing",8,1,0.01,"0.0121"
"5","GO:0006518","peptide metabolic process",440,4,0.67,"0.0154"
"6","GO:0043603","cellular amide metabolic process",495,4,0.75,"0.0212"
"7","GO:0097502","mannosylation",19,1,0.03,"0.0285"
"8","GO:0010389","regulation of G2/M transition of mitotic...",21,1,0.03,"0.0314"
"9","GO:1902749","regulation of cell cycle G2/M phase tran...",21,1,0.03,"0.0314"
"10","GO:0006493","protein O-linked glycosylation",23,1,0.03,"0.0344"
"11","GO:0006414","translational elongation",23,1,0.03,"0.0344"
"12","GO:0000086","G2/M transition of mitotic cell cycle",27,1,0.04,"0.0402"
"13","GO:0006120","mitochondrial electron transport, NADH t...",29,1,0.04,"0.0432"
"14","GO:0044839","cell cycle G2/M phase transition",29,1,0.04,"0.0432"
"15","GO:0016203","muscle attachment",34,1,0.05,"0.0504"
"16","GO:1901566","organonitrogen compound biosynthetic pro...",721,4,1.09,"0.0576"
"17","GO:0060538","skeletal muscle organ development",42,1,0.06,"0.0620"
"18","GO:1901564","organonitrogen compound metabolic proces...",1922,6,2.91,"0.0653"
"19","GO:0016485","protein processing",49,1,0.07,"0.0720"
"20","GO:0034641","cellular nitrogen compound metabolic pro...",1983,6,3.01,"0.0743"
"21","GO:0019646","aerobic electron transport chain",52,1,0.08,"0.0762"
"22","GO:0006412","translation",365,3,0.55,"0.0784"
"23","GO:0042773","ATP synthesis coupled electron transport",56,1,0.08,"0.0819"
"24","GO:0042775","mitochondrial ATP synthesis coupled elec...",56,1,0.08,"0.0819"
"25","GO:0043043","peptide biosynthetic process",401,3,0.61,"0.0926"
"26","GO:0006486","protein glycosylation",64,1,0.1,"0.0931"
"27","GO:0043413","macromolecule glycosylation",64,1,0.1,"0.0931"
"28","GO:0022904","respiratory electron transport chain",66,1,0.1,"0.0959"
"29","GO:0006119","oxidative phosphorylation",67,1,0.1,"0.0973"
"30","GO:0051604","protein maturation",68,1,0.1,"0.0986"
"31","GO:1901990","regulation of mitotic cell cycle phase t...",69,1,0.1,"0.1000"
"32","GO:0007517","muscle organ development",71,1,0.11,"0.1028"
"33","GO:0043604","amide biosynthetic process",427,3,0.65,"0.1034"
"34","GO:1901135","carbohydrate derivative metabolic proces...",371,2,0.56,"0.1042"
"35","GO:0070085","glycosylation",72,1,0.11,"0.1042"
"36","GO:0006807","nitrogen compound metabolic process",2952,7,4.48,"0.1114"
"37","GO:0019538","protein metabolic process",1536,5,2.33,"0.1142"
"38","GO:0009101","glycoprotein biosynthetic process",82,1,0.12,"0.1179"
"39","GO:0022900","electron transport chain",85,1,0.13,"0.1219"
"40","GO:0044772","mitotic cell cycle phase transition",85,1,0.13,"0.1219"
"41","GO:0010467","gene expression",1600,5,2.43,"0.1296"
"42","GO:0032543","mitochondrial translation",92,1,0.14,"0.1314"
"43","GO:0009060","aerobic respiration",94,1,0.14,"0.1340"
"44","GO:0046034","ATP metabolic process",96,1,0.15,"0.1367"
"45","GO:0009100","glycoprotein metabolic process",96,1,0.15,"0.1367"
"46","GO:0009126","purine nucleoside monophosphate metaboli...",98,1,0.15,"0.1394"
"47","GO:0009167","purine ribonucleoside monophosphate meta...",98,1,0.15,"0.1394"
"48","GO:0044238","primary metabolic process",3093,7,4.69,"0.1409"
"49","GO:1901987","regulation of cell cycle phase transitio...",100,1,0.15,"0.1420"
"50","GO:0009205","purine ribonucleoside triphosphate metab...",102,1,0.15,"0.1447"
"51","GO:0009144","purine nucleoside triphosphate metabolic...",102,1,0.15,"0.1447"
"52","GO:0009199","ribonucleoside triphosphate metabolic pr...",103,1,0.16,"0.1460"
"53","GO:0009161","ribonucleoside monophosphate metabolic p...",103,1,0.16,"0.1460"
"54","GO:0140053","mitochondrial gene expression",106,1,0.16,"0.1500"
"55","GO:0045333","cellular respiration",107,1,0.16,"0.1513"
"56","GO:0009141","nucleoside triphosphate metabolic proces...",108,1,0.16,"0.1526"
"57","GO:0009123","nucleoside monophosphate metabolic proce...",109,1,0.17,"0.1539"
"58","GO:0044770","cell cycle phase transition",118,1,0.18,"0.1656"
"59","GO:0044237","cellular metabolic process",3223,7,4.89,"0.1728"
"60","GO:0015980","energy derivation by oxidation of organi...",131,1,0.2,"0.1823"
"61","GO:0071704","organic substance metabolic process",3279,7,4.97,"0.1880"
"62","GO:0010564","regulation of cell cycle process",138,1,0.21,"0.1912"
"63","GO:0007346","regulation of mitotic cell cycle",148,1,0.22,"0.2037"
"64","GO:0034645","cellular macromolecule biosynthetic proc...",1236,4,1.87,"0.2107"
"65","GO:0009059","macromolecule biosynthetic process",1254,4,1.9,"0.2175"
"66","GO:0006091","generation of precursor metabolites and ...",166,1,0.25,"0.2258"
"67","GO:0009150","purine ribonucleotide metabolic process",171,1,0.26,"0.2318"
"68","GO:0008152","metabolic process",3436,7,5.21,"0.2354"
"69","GO:0043170","macromolecule metabolic process",2672,6,4.05,"0.2366"
"70","GO:0006163","purine nucleotide metabolic process",175,1,0.27,"0.2366"
"71","GO:0009259","ribonucleotide metabolic process",176,1,0.27,"0.2378"
"72","GO:0019693","ribose phosphate metabolic process",178,1,0.27,"0.2402"
"73","GO:0061061","muscle structure development",184,1,0.28,"0.2474"
"74","GO:0072521","purine-containing compound metabolic pro...",187,1,0.28,"0.2509"
"75","GO:0044260","cellular macromolecule metabolic process",2066,5,3.13,"0.2729"
"76","GO:0009117","nucleotide metabolic process",206,1,0.31,"0.2730"
"77","GO:0006753","nucleoside phosphate metabolic process",208,1,0.32,"0.2753"
"78","GO:1901137","carbohydrate derivative biosynthetic pro...",211,1,0.32,"0.2787"
"79","GO:0000375","RNA splicing, via transesterification re...",222,1,0.34,"0.2912"
"80","GO:0000377","RNA splicing, via transesterification re...",222,1,0.34,"0.2912"
"81","GO:0000398","mRNA splicing, via spliceosome",222,1,0.34,"0.2912"
"82","GO:0008380","RNA splicing",235,1,0.36,"0.3056"
"83","GO:0051726","regulation of cell cycle",240,1,0.36,"0.3111"
"84","GO:1903047","mitotic cell cycle process",242,1,0.37,"0.3133"
"85","GO:0055086","nucleobase-containing small molecule met...",256,1,0.39,"0.3285"
"86","GO:0006397","mRNA processing",262,1,0.4,"0.3349"
"87","GO:0044249","cellular biosynthetic process",1591,4,2.41,"0.3555"
"88","GO:0019637","organophosphate metabolic process",283,1,0.43,"0.3568"
"89","GO:1901576","organic substance biosynthetic process",1606,4,2.44,"0.3620"
"90","GO:0009058","biosynthetic process",1618,4,2.45,"0.3672"
"91","GO:0016071","mRNA metabolic process",322,1,0.49,"0.3960"
"92","GO:0000278","mitotic cell cycle",332,1,0.5,"0.4057"
"93","GO:0040007","growth",352,1,0.53,"0.4246"
"94","GO:0006508","proteolysis",400,1,0.61,"0.4680"
"95","GO:0022402","cell cycle process",412,1,0.62,"0.4784"
"96","GO:0007010","cytoskeleton organization",443,1,0.67,"0.5045"
"97","GO:0006396","RNA processing",464,1,0.7,"0.5214"
"98","GO:0016310","phosphorylation",469,1,0.71,"0.5254"
"99","GO:0044271","cellular nitrogen compound biosynthetic ...",1267,3,1.92,"0.5292"
"100","GO:0009987","cellular process",4835,8,7.33,"0.5424"
"101","GO:0044281","small molecule metabolic process",584,2,0.89,"0.5585"
"102","GO:0007049","cell cycle",523,1,0.79,"0.5664"
"103","GO:0006796","phosphate-containing compound metabolic ...",707,1,1.07,"0.6839"
"104","GO:0006139","nucleobase-containing compound metabolic...",1632,3,2.47,"0.6893"
"105","GO:0006793","phosphorus metabolic process",726,1,1.1,"0.6943"
"106","GO:0046483","heterocycle metabolic process",1684,3,2.55,"0.7091"
"107","GO:0006725","cellular aromatic compound metabolic pro...",1724,3,2.61,"0.7238"
"108","GO:1901360","organic cyclic compound metabolic proces...",1771,3,2.69,"0.7404"
"109","GO:0048513","animal organ development",898,1,1.36,"0.7755"
"110","GO:0036211","protein modification process",907,1,1.38,"0.7791"
"111","GO:0043412","macromolecule modification",976,1,1.48,"0.8056"
"112","GO:0016070","RNA metabolic process",1250,2,1.9,"0.8489"
"113","GO:0090304","nucleic acid metabolic process",1391,2,2.11,"0.8823"
"114","GO:0006996","organelle organization",1250,1,1.9,"0.8852"
"115","GO:0048731","system development",1297,1,1.97,"0.8955"
"116","GO:0007275","multicellular organism development",1678,1,2.54,"0.9533"
"117","GO:0048856","anatomical structure development",1902,1,2.88,"0.9721"
"118","GO:0016043","cellular component organization",1922,1,2.91,"0.9734"
