"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0009914","hormone transport",17,2,0.08,"0.0025"
"2","GO:0006741","NADP biosynthetic process",1,1,0,"0.0045"
"3","GO:0080154","regulation of fertilization",1,1,0,"0.0045"
"4","GO:0045963","negative regulation of dopamine metaboli...",2,1,0.01,"0.0089"
"5","GO:0035522","monoubiquitinated histone H2A deubiquiti...",2,1,0.01,"0.0089"
"6","GO:1904274","tricellular tight junction assembly",2,1,0.01,"0.0089"
"7","GO:2000158","positive regulation of ubiquitin-specifi...",2,1,0.01,"0.0089"
"8","GO:1904515","positive regulation of TORC2 signaling",2,1,0.01,"0.0089"
"9","GO:0015870","acetylcholine transport",2,1,0.01,"0.0089"
"10","GO:0015871","choline transport",2,1,0.01,"0.0089"
"11","GO:1902350","cellular response to chloroquine",2,1,0.01,"0.0089"
"12","GO:0032223","negative regulation of synaptic transmis...",2,1,0.01,"0.0089"
"13","GO:0044057","regulation of system process",36,2,0.16,"0.0110"
"14","GO:0090557","establishment of endothelial intestinal ...",3,1,0.01,"0.0134"
"15","GO:0051968","positive regulation of synaptic transmis...",3,1,0.01,"0.0134"
"16","GO:0060986","endocrine hormone secretion",3,1,0.01,"0.0134"
"17","GO:0007555","regulation of ecdysteroid secretion",3,1,0.01,"0.0134"
"18","GO:2000831","regulation of steroid hormone secretion",3,1,0.01,"0.0134"
"19","GO:0035929","steroid hormone secretion",3,1,0.01,"0.0134"
"20","GO:0060814","posterior mRNA localization involved in ...",3,1,0.01,"0.0134"
"21","GO:0045457","ecdysteroid secretion",3,1,0.01,"0.0134"
"22","GO:0044060","regulation of endocrine process",3,1,0.01,"0.0134"
"23","GO:0050886","endocrine process",3,1,0.01,"0.0134"
"24","GO:0036466","synaptic vesicle recycling via endosome",3,1,0.01,"0.0134"
"25","GO:0008355","olfactory learning",41,2,0.18,"0.0142"
"26","GO:0051966","regulation of synaptic transmission, glu...",4,1,0.02,"0.0178"
"27","GO:0099532","synaptic vesicle endosomal processing",4,1,0.02,"0.0178"
"28","GO:0000244","spliceosomal tri-snRNP complex assembly",4,1,0.02,"0.0178"
"29","GO:0008306","associative learning",51,2,0.23,"0.0214"
"30","GO:0051898","negative regulation of protein kinase B ...",5,1,0.02,"0.0222"
"31","GO:0061512","protein localization to cilium",5,1,0.02,"0.0222"
"32","GO:0006013","mannose metabolic process",5,1,0.02,"0.0222"
"33","GO:0007521","muscle cell fate determination",5,1,0.02,"0.0222"
"34","GO:0071236","cellular response to antibiotic",5,1,0.02,"0.0222"
"35","GO:0042048","olfactory behavior",57,2,0.25,"0.0264"
"36","GO:0072488","ammonium transmembrane transport",6,1,0.03,"0.0266"
"37","GO:0035265","organ growth",58,2,0.26,"0.0273"
"38","GO:0007049","cell cycle",538,6,2.41,"0.0280"
"39","GO:0007612","learning",59,2,0.26,"0.0281"
"40","GO:0001558","regulation of cell growth",61,2,0.27,"0.0299"
"41","GO:0032368","regulation of lipid transport",7,1,0.03,"0.0309"
"42","GO:0048047","mating behavior, sex discrimination",7,1,0.03,"0.0309"
"43","GO:0007635","chemosensory behavior",64,2,0.29,"0.0327"
"44","GO:0042632","cholesterol homeostasis",8,1,0.04,"0.0353"
"45","GO:0035249","synaptic transmission, glutamatergic",8,1,0.04,"0.0353"
"46","GO:0140353","lipid export from cell",8,1,0.04,"0.0353"
"47","GO:0048148","behavioral response to cocaine",8,1,0.04,"0.0353"
"48","GO:0006517","protein deglycosylation",8,1,0.04,"0.0353"
"49","GO:0006403","RNA localization",171,3,0.76,"0.0395"
"50","GO:0061028","establishment of endothelial barrier",9,1,0.04,"0.0396"
"51","GO:0045498","sex comb development",9,1,0.04,"0.0396"
"52","GO:0030308","negative regulation of cell growth",9,1,0.04,"0.0396"
"53","GO:0070193","synaptonemal complex organization",9,1,0.04,"0.0396"
"54","GO:0090328","regulation of olfactory learning",9,1,0.04,"0.0396"
"55","GO:0030154","cell differentiation",1270,10,5.68,"0.0396"
"56","GO:0055092","sterol homeostasis",10,1,0.04,"0.0439"
"57","GO:0008062","eclosion rhythm",10,1,0.04,"0.0439"
"58","GO:0008057","eye pigment granule organization",10,1,0.04,"0.0439"
"59","GO:0030111","regulation of Wnt signaling pathway",78,2,0.35,"0.0469"
"60","GO:0048753","pigment granule organization",11,1,0.05,"0.0482"
"61","GO:0042220","response to cocaine",11,1,0.05,"0.0482"
"62","GO:0042693","muscle cell fate commitment",11,1,0.05,"0.0482"
"63","GO:0035002","liquid clearance, open tracheal system",11,1,0.05,"0.0482"
"64","GO:0048869","cellular developmental process",1313,10,5.87,"0.0488"
"65","GO:0000070","mitotic sister chromatid segregation",80,2,0.36,"0.0491"
"66","GO:0003158","endothelium development",12,1,0.05,"0.0524"
"67","GO:0000387","spliceosomal snRNP assembly",12,1,0.05,"0.0524"
"68","GO:0051896","regulation of protein kinase B signaling",12,1,0.05,"0.0524"
"69","GO:0016063","rhodopsin biosynthetic process",12,1,0.05,"0.0524"
"70","GO:0007584","response to nutrient",12,1,0.05,"0.0524"
"71","GO:0033059","cellular pigmentation",12,1,0.05,"0.0524"
"72","GO:0001885","endothelial cell development",12,1,0.05,"0.0524"
"73","GO:0045446","endothelial cell differentiation",12,1,0.05,"0.0524"
"74","GO:0032501","multicellular organismal process",2347,15,10.5,"0.0530"
"75","GO:0051781","positive regulation of cell division",13,1,0.06,"0.0567"
"76","GO:0051663","oocyte nucleus localization involved in ...",13,1,0.06,"0.0567"
"77","GO:1904262","negative regulation of TORC1 signaling",13,1,0.06,"0.0567"
"78","GO:0043491","protein kinase B signaling",13,1,0.06,"0.0567"
"79","GO:0045217","cell-cell junction maintenance",13,1,0.06,"0.0567"
"80","GO:0046154","rhodopsin metabolic process",13,1,0.06,"0.0567"
"81","GO:0048731","system development",1347,10,6.03,"0.0570"
"82","GO:0000819","sister chromatid segregation",87,2,0.39,"0.0570"
"83","GO:0043473","pigmentation",89,2,0.4,"0.0594"
"84","GO:0007275","multicellular organism development",1752,12,7.84,"0.0601"
"85","GO:0007064","mitotic sister chromatid cohesion",14,1,0.06,"0.0609"
"86","GO:0050806","positive regulation of synaptic transmis...",14,1,0.06,"0.0609"
"87","GO:0007076","mitotic chromosome condensation",14,1,0.06,"0.0609"
"88","GO:0042045","epithelial fluid transport",14,1,0.06,"0.0609"
"89","GO:0031644","regulation of nervous system process",14,1,0.06,"0.0609"
"90","GO:0060359","response to ammonium ion",14,1,0.06,"0.0609"
"91","GO:0006491","N-glycan processing",14,1,0.06,"0.0609"
"92","GO:0070633","transepithelial transport",14,1,0.06,"0.0609"
"93","GO:0016055","Wnt signaling pathway",91,2,0.41,"0.0617"
"94","GO:0000278","mitotic cell cycle",342,4,1.53,"0.0629"
"95","GO:0090066","regulation of anatomical structure size",207,3,0.93,"0.0633"
"96","GO:0046883","regulation of hormone secretion",15,1,0.07,"0.0651"
"97","GO:0046879","hormone secretion",15,1,0.07,"0.0651"
"98","GO:0000280","nuclear division",211,3,0.94,"0.0663"
"99","GO:0120036","plasma membrane bounded cell projection ...",500,5,2.24,"0.0668"
"100","GO:0048856","anatomical structure development",1990,13,8.9,"0.0683"
"101","GO:1904589","regulation of protein import",16,1,0.07,"0.0693"
"102","GO:0042306","regulation of protein import into nucleu...",16,1,0.07,"0.0693"
"103","GO:0007469","antennal development",16,1,0.07,"0.0693"
"104","GO:0031331","positive regulation of cellular cataboli...",98,2,0.44,"0.0703"
