"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0046034","ATP metabolic process",111,85,34.98,"8.3e-15"
"2","GO:0009167","purine ribonucleoside monophosphate meta...",113,86,35.61,"1.1e-13"
"3","GO:0006120","mitochondrial electron transport, NADH t...",31,28,9.77,"1.2e-11"
"4","GO:0009168","purine ribonucleoside monophosphate bios...",41,33,12.92,"1.2e-10"
"5","GO:0042866","pyruvate biosynthetic process",12,12,3.78,"9.3e-07"
"6","GO:0006839","mitochondrial transport",87,49,27.41,"1.2e-06"
"7","GO:0006754","ATP biosynthetic process",36,29,11.34,"1.8e-06"
"8","GO:0006123","mitochondrial electron transport, cytoch...",11,11,3.47,"3.0e-06"
"9","GO:0032543","mitochondrial translation",94,51,29.62,"3.4e-06"
"10","GO:0006122","mitochondrial electron transport, ubiqui...",12,11,3.78,"2.5e-05"
"11","GO:0006096","glycolytic process",14,12,4.41,"4.3e-05"
"12","GO:0007005","mitochondrion organization",142,67,44.75,"5.6e-05"
"13","GO:0045132","meiotic chromosome segregation",36,23,11.34,"6.1e-05"
"14","GO:0006099","tricarboxylic acid cycle",34,22,10.71,"6.7e-05"
"15","GO:0006101","citrate metabolic process",34,22,10.71,"6.7e-05"
"16","GO:0034404","nucleobase-containing small molecule bio...",30,20,9.45,"7.7e-05"
"17","GO:1990542","mitochondrial transmembrane transport",41,25,12.92,"9.1e-05"
"18","GO:0009166","nucleotide catabolic process",15,12,4.73,"0.00015"
"19","GO:0030317","flagellated sperm motility",25,17,7.88,"0.00019"
"20","GO:0015985","energy coupled proton transport, down el...",19,14,5.99,"0.00019"
"21","GO:0015986","proton motive force-driven ATP synthesis",19,14,5.99,"0.00019"
"22","GO:0006006","glucose metabolic process",23,16,7.25,"0.00019"
"23","GO:0003341","cilium movement",39,28,12.29,"0.00037"
"24","GO:0019359","nicotinamide nucleotide biosynthetic pro...",16,12,5.04,"0.00044"
"25","GO:0009070","serine family amino acid biosynthetic pr...",9,8,2.84,"0.00062"
"26","GO:0016051","carbohydrate biosynthetic process",29,18,9.14,"0.00066"
"27","GO:0007094","mitotic spindle assembly checkpoint sign...",11,9,3.47,"0.00086"
"28","GO:0060285","cilium-dependent cell motility",31,23,9.77,"0.00094"
"29","GO:0006544","glycine metabolic process",6,6,1.89,"0.00097"
"30","GO:0060271","cilium assembly",70,42,22.06,"0.00113"
"31","GO:0046395","carboxylic acid catabolic process",59,30,18.59,"0.00147"
"32","GO:0014866","skeletal myofibril assembly",8,7,2.52,"0.00177"
"33","GO:0035082","axoneme assembly",26,18,8.19,"0.00185"
"34","GO:0016999","antibiotic metabolic process",55,28,17.33,"0.00204"
"35","GO:0030730","sequestering of triglyceride",10,8,3.15,"0.00225"
"36","GO:0044262","cellular carbohydrate metabolic process",67,36,21.11,"0.00234"
"37","GO:0071616","acyl-CoA biosynthetic process",16,11,5.04,"0.00241"
"38","GO:0018094","protein polyglycylation",12,9,3.78,"0.00246"
"39","GO:1902600","proton transmembrane transport",75,42,23.63,"0.00267"
"40","GO:0050667","homocysteine metabolic process",5,5,1.58,"0.00309"
"41","GO:0006551","leucine metabolic process",5,5,1.58,"0.00309"
"42","GO:0019752","carboxylic acid metabolic process",284,140,89.49,"0.00461"
"43","GO:0000027","ribosomal large subunit assembly",17,11,5.36,"0.00490"
"44","GO:0071322","cellular response to carbohydrate stimul...",7,6,2.21,"0.00498"
"45","GO:0042430","indole-containing compound metabolic pro...",7,6,2.21,"0.00498"
"46","GO:0007135","meiosis II",7,6,2.21,"0.00498"
"47","GO:0010032","meiotic chromosome condensation",7,6,2.21,"0.00498"
"48","GO:0007020","microtubule nucleation",13,9,4.1,"0.00577"
"49","GO:0046835","carbohydrate phosphorylation",9,7,2.84,"0.00580"
"50","GO:0009744","response to sucrose",11,8,3.47,"0.00597"
"51","GO:0045333","cellular respiration",119,88,37.5,"0.00669"
"52","GO:0000302","response to reactive oxygen species",18,11,5.67,"0.00904"
"53","GO:0007143","female meiotic nuclear division",37,19,11.66,"0.00922"
"54","GO:0072655","establishment of protein localization to...",37,19,11.66,"0.00922"
"55","GO:0007568","aging",155,63,48.84,"0.00927"
"56","GO:0019320","hexose catabolic process",8,8,2.52,"0.00978"
"57","GO:0033499","galactose catabolic process via UDP-gala...",4,4,1.26,"0.00984"
"58","GO:0036159","inner dynein arm assembly",4,4,1.26,"0.00984"
"59","GO:0010457","centriole-centriole cohesion",4,4,1.26,"0.00984"
"60","GO:0006520","cellular amino acid metabolic process",120,61,37.81,"0.01041"
"61","GO:0008340","determination of adult lifespan",148,60,46.64,"0.01163"
"62","GO:0046949","fatty-acyl-CoA biosynthetic process",14,9,4.41,"0.01168"
"63","GO:0034637","cellular carbohydrate biosynthetic proce...",14,9,4.41,"0.01168"
"64","GO:0010259","multicellular organism aging",151,61,47.58,"0.01200"
"65","GO:0007127","meiosis I",43,21,13.55,"0.01289"
"66","GO:0046693","sperm storage",12,8,3.78,"0.01299"
"67","GO:0009066","aspartate family amino acid metabolic pr...",21,12,6.62,"0.01315"
"68","GO:0046471","phosphatidylglycerol metabolic process",6,5,1.89,"0.01370"
"69","GO:0051567","histone H3-K9 methylation",6,5,1.89,"0.01370"
"70","GO:0006144","purine nucleobase metabolic process",6,5,1.89,"0.01370"
"71","GO:0042542","response to hydrogen peroxide",6,5,1.89,"0.01370"
"72","GO:0035721","intraciliary retrograde transport",6,5,1.89,"0.01370"
"73","GO:0006655","phosphatidylglycerol biosynthetic proces...",6,5,1.89,"0.01370"
"74","GO:0009067","aspartate family amino acid biosynthetic...",10,7,3.15,"0.01409"
"75","GO:0007060","male meiosis chromosome segregation",8,6,2.52,"0.01458"
"76","GO:0051156","glucose 6-phosphate metabolic process",8,6,2.52,"0.01458"
"77","GO:0046364","monosaccharide biosynthetic process",8,6,2.52,"0.01458"
"78","GO:0009086","methionine biosynthetic process",8,6,2.52,"0.01458"
"79","GO:0000097","sulfur amino acid biosynthetic process",8,6,2.52,"0.01458"
"80","GO:0000154","rRNA modification",26,14,8.19,"0.01473"
"81","GO:0007605","sensory perception of sound",46,22,14.5,"0.01476"
"82","GO:0007006","mitochondrial membrane organization",19,11,5.99,"0.01544"
"83","GO:0006626","protein targeting to mitochondrion",36,18,11.34,"0.01555"
"84","GO:0006638","neutral lipid metabolic process",36,18,11.34,"0.01555"
"85","GO:0006639","acylglycerol metabolic process",36,18,11.34,"0.01555"
