"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0002181","cytoplasmic translation",112,77,40.27,"1.1e-12"
"2","GO:0009167","purine ribonucleoside monophosphate meta...",113,84,40.63,"1.6e-12"
"3","GO:0046034","ATP metabolic process",111,84,39.91,"2.1e-12"
"4","GO:0006120","mitochondrial electron transport, NADH t...",31,28,11.15,"4.1e-10"
"5","GO:0032543","mitochondrial translation",94,60,33.8,"2.9e-08"
"6","GO:0046693","sperm storage",12,12,4.32,"4.6e-06"
"7","GO:0009168","purine ribonucleoside monophosphate bios...",41,29,14.74,"5.8e-06"
"8","GO:0006123","mitochondrial electron transport, cytoch...",11,11,3.96,"1.3e-05"
"9","GO:0006839","mitochondrial transport",87,50,31.28,"3.1e-05"
"10","GO:0006754","ATP biosynthetic process",36,27,12.95,"0.00011"
"11","GO:0006099","tricarboxylic acid cycle",34,23,12.23,"0.00016"
"12","GO:0006101","citrate metabolic process",34,23,12.23,"0.00016"
"13","GO:0042811","pheromone biosynthetic process",11,10,3.96,"0.00026"
"14","GO:0030728","ovulation",13,11,4.67,"0.00045"
"15","GO:0008535","respiratory chain complex IV assembly",13,11,4.67,"0.00045"
"16","GO:0071265","L-methionine biosynthetic process",7,7,2.52,"0.00077"
"17","GO:1990542","mitochondrial transmembrane transport",41,25,14.74,"0.00093"
"18","GO:0006122","mitochondrial electron transport, ubiqui...",12,10,4.32,"0.00107"
"19","GO:0035017","cuticle pattern formation",25,17,8.99,"0.00110"
"20","GO:0030317","flagellated sperm motility",25,17,8.99,"0.00110"
"21","GO:0006096","glycolytic process",14,11,5.03,"0.00141"
"22","GO:0009070","serine family amino acid biosynthetic pr...",9,8,3.24,"0.00170"
"23","GO:0046677","response to antibiotic",60,33,21.58,"0.00190"
"24","GO:0033108","mitochondrial respiratory chain complex ...",22,15,7.91,"0.00209"
"25","GO:0006144","purine nucleobase metabolic process",6,6,2.16,"0.00215"
"26","GO:0035156","fusion cell fate specification",6,6,2.16,"0.00215"
"27","GO:0006544","glycine metabolic process",6,6,2.16,"0.00215"
"28","GO:0008407","chaeta morphogenesis",31,19,11.15,"0.00350"
"29","GO:0009166","nucleotide catabolic process",15,11,5.39,"0.00358"
"30","GO:0000027","ribosomal large subunit assembly",17,12,6.11,"0.00386"
"31","GO:0045924","regulation of female receptivity",19,13,6.83,"0.00401"
"32","GO:0015985","energy coupled proton transport, down el...",19,13,6.83,"0.00401"
"33","GO:0015986","proton motive force-driven ATP synthesis",19,13,6.83,"0.00401"
"34","GO:0007006","mitochondrial membrane organization",19,13,6.83,"0.00401"
"35","GO:0014866","skeletal myofibril assembly",8,7,2.88,"0.00424"
"36","GO:0035225","determination of genital disc primordium",8,7,2.88,"0.00424"
"37","GO:0045333","cellular respiration",119,90,42.79,"0.00445"
"38","GO:1902275","regulation of chromatin organization",79,40,28.41,"0.00502"
"39","GO:0006081","cellular aldehyde metabolic process",10,8,3.6,"0.00580"
"40","GO:0050667","homocysteine metabolic process",5,5,1.8,"0.00599"
"41","GO:0006551","leucine metabolic process",5,5,1.8,"0.00599"
"42","GO:0009152","purine ribonucleotide biosynthetic proce...",84,53,30.21,"0.00658"
"43","GO:0018094","protein polyglycylation",12,9,4.32,"0.00684"
"44","GO:0042866","pyruvate biosynthetic process",12,9,4.32,"0.00684"
"45","GO:1903578","regulation of ATP metabolic process",12,9,4.32,"0.00684"
"46","GO:0035082","axoneme assembly",26,16,9.35,"0.00687"
"47","GO:0006790","sulfur compound metabolic process",99,53,35.6,"0.00716"
"48","GO:0003341","cilium movement",39,27,14.02,"0.00722"
"49","GO:0034637","cellular carbohydrate biosynthetic proce...",14,10,5.03,"0.00745"
"50","GO:0009996","negative regulation of cell fate specifi...",16,11,5.75,"0.00775"
"51","GO:0019359","nicotinamide nucleotide biosynthetic pro...",16,11,5.75,"0.00775"
"52","GO:0016999","antibiotic metabolic process",55,29,19.78,"0.00779"
"53","GO:0045471","response to ethanol",55,29,19.78,"0.00779"
"54","GO:0000302","response to reactive oxygen species",18,12,6.47,"0.00781"
"55","GO:0006022","aminoglycan metabolic process",46,25,16.54,"0.00801"
"56","GO:0007498","mesoderm development",69,35,24.81,"0.00809"
"57","GO:0031109","microtubule polymerization or depolymeri...",35,20,12.59,"0.00835"
"58","GO:0001738","morphogenesis of a polarized epithelium",105,50,37.76,"0.00873"
"59","GO:0046113","nucleobase catabolic process",7,6,2.52,"0.01043"
"60","GO:0033865","nucleoside bisphosphate metabolic proces...",40,22,14.38,"0.01049"
"61","GO:0033875","ribonucleoside bisphosphate metabolic pr...",40,22,14.38,"0.01049"
"62","GO:0034032","purine nucleoside bisphosphate metabolic...",40,22,14.38,"0.01049"
"63","GO:1905114","cell surface receptor signaling pathway ...",101,48,36.32,"0.01052"
"64","GO:0044782","cilium organization",73,41,26.25,"0.01084"
"65","GO:0009117","nucleotide metabolic process",231,145,83.07,"0.01088"
"66","GO:0048149","behavioral response to ethanol",38,21,13.66,"0.01146"
"67","GO:0098609","cell-cell adhesion",68,34,24.45,"0.01178"
"68","GO:0006753","nucleoside phosphate metabolic process",233,146,83.79,"0.01209"
"69","GO:1901606","alpha-amino acid catabolic process",23,14,8.27,"0.01289"
"70","GO:0060581","cell fate commitment involved in pattern...",23,14,8.27,"0.01289"
"71","GO:0033866","nucleoside bisphosphate biosynthetic pro...",23,14,8.27,"0.01289"
"72","GO:0009063","cellular amino acid catabolic process",23,14,8.27,"0.01289"
"73","GO:0034030","ribonucleoside bisphosphate biosynthetic...",23,14,8.27,"0.01289"
"74","GO:0034033","purine nucleoside bisphosphate biosynthe...",23,14,8.27,"0.01289"
"75","GO:0033617","mitochondrial cytochrome c oxidase assem...",9,7,3.24,"0.01313"
"76","GO:0035120","post-embryonic appendage morphogenesis",268,114,96.37,"0.01336"
"77","GO:0007449","proximal/distal pattern formation, imagi...",11,8,3.96,"0.01457"
"78","GO:0045454","cell redox homeostasis",11,8,3.96,"0.01457"
"79","GO:0042255","ribosome assembly",32,22,11.51,"0.01486"
"80","GO:0042133","neurotransmitter metabolic process",17,11,6.11,"0.01488"
"81","GO:0044106","cellular amine metabolic process",32,18,11.51,"0.01492"
"82","GO:0009308","amine metabolic process",32,18,11.51,"0.01492"
"83","GO:0048056","R3/R4 cell differentiation",13,9,4.67,"0.01516"
"84","GO:0046008","regulation of female receptivity, post-m...",13,9,4.67,"0.01516"
"85","GO:0030201","heparan sulfate proteoglycan metabolic p...",15,10,5.39,"0.01520"
"86","GO:0015012","heparan sulfate proteoglycan biosyntheti...",15,10,5.39,"0.01520"
"87","GO:0035114","imaginal disc-derived appendage morphoge...",272,115,97.81,"0.01599"
"88","GO:0006576","cellular biogenic amine metabolic proces...",30,17,10.79,"0.01626"
"89","GO:2001169","regulation of ATP biosynthetic process",4,4,1.44,"0.01669"
"90","GO:0030202","heparin metabolic process",4,4,1.44,"0.01669"
"91","GO:0019509","L-methionine salvage from methylthioaden...",4,4,1.44,"0.01669"
"92","GO:1901984","negative regulation of protein acetylati...",4,4,1.44,"0.01669"
"93","GO:0061382","Malpighian tubule tip cell differentiati...",4,4,1.44,"0.01669"
