"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0003341","cilium movement",39,18,1.71,"6.5e-10"
"2","GO:0030317","flagellated sperm motility",25,9,1.1,"5.8e-07"
"3","GO:0060271","cilium assembly",74,22,3.25,"3.4e-06"
"4","GO:0018094","protein polyglycylation",13,6,0.57,"8.9e-06"
"5","GO:0007605","sensory perception of sound",47,10,2.06,"2.7e-05"
"6","GO:0036158","outer dynein arm assembly",7,4,0.31,"0.00011"
"7","GO:0046034","ATP metabolic process",110,17,4.83,"0.00032"
"8","GO:0036159","inner dynein arm assembly",4,3,0.18,"0.00032"
"9","GO:0035082","axoneme assembly",26,11,1.14,"0.00041"
"10","GO:0045454","cell redox homeostasis",10,4,0.44,"0.00062"
"11","GO:0050982","detection of mechanical stimulus",17,5,0.75,"0.00063"
"12","GO:0006123","mitochondrial electron transport, cytoch...",11,4,0.48,"0.00094"
"13","GO:0009167","purine ribonucleoside monophosphate meta...",112,16,4.91,"0.00094"
"14","GO:0042866","pyruvate biosynthetic process",12,4,0.53,"0.00136"
"15","GO:0060285","cilium-dependent cell motility",31,12,1.36,"0.00138"
"16","GO:0043456","regulation of pentose-phosphate shunt",2,2,0.09,"0.00192"
"17","GO:0061738","late endosomal microautophagy",2,2,0.09,"0.00192"
"18","GO:0015807","L-amino acid transport",22,5,0.97,"0.00223"
"19","GO:1902475","L-alpha-amino acid transmembrane transpo...",22,5,0.97,"0.00223"
"20","GO:0006096","glycolytic process",14,4,0.61,"0.00256"
"21","GO:0019359","nicotinamide nucleotide biosynthetic pro...",15,4,0.66,"0.00337"
"22","GO:0009166","nucleotide catabolic process",15,4,0.66,"0.00337"
"23","GO:0006754","ATP biosynthetic process",35,6,1.54,"0.00373"
"24","GO:0006730","one-carbon metabolic process",8,3,0.35,"0.00397"
"25","GO:0006839","mitochondrial transport",87,10,3.82,"0.00450"
"26","GO:0071266","'de novo' L-methionine biosynthetic proc...",3,2,0.13,"0.00559"
"27","GO:0019343","cysteine biosynthetic process via cystat...",3,2,0.13,"0.00559"
"28","GO:0019346","transsulfuration",3,2,0.13,"0.00559"
"29","GO:0006007","glucose catabolic process",3,2,0.13,"0.00559"
"30","GO:0071331","cellular response to hexose stimulus",3,2,0.13,"0.00559"
"31","GO:0001678","cellular glucose homeostasis",3,2,0.13,"0.00559"
"32","GO:0045333","cellular respiration",120,15,5.27,"0.00715"
"33","GO:0009168","purine ribonucleoside monophosphate bios...",40,6,1.76,"0.00735"
"34","GO:0098655","cation transmembrane transport",221,18,9.7,"0.00795"
"35","GO:0046692","sperm competition",19,4,0.83,"0.00833"
"36","GO:0097237","cellular response to toxic substance",30,5,1.32,"0.00905"
"37","GO:0016310","phosphorylation",501,36,21.98,"0.01047"
"38","GO:0015800","acidic amino acid transport",11,3,0.48,"0.01060"
"39","GO:0035092","sperm DNA condensation",4,2,0.18,"0.01085"
"40","GO:0007618","mating",86,9,3.77,"0.01255"
"41","GO:0032781","positive regulation of ATP-dependent act...",12,3,0.53,"0.01368"
"42","GO:0043687","post-translational protein modification",12,3,0.53,"0.01368"
"43","GO:0033108","mitochondrial respiratory chain complex ...",22,4,0.97,"0.01418"
"44","GO:0048515","spermatid differentiation",88,9,3.86,"0.01446"
"45","GO:1902600","proton transmembrane transport",74,8,3.25,"0.01513"
"46","GO:0071322","cellular response to carbohydrate stimul...",8,4,0.35,"0.01732"
"47","GO:0019319","hexose biosynthetic process",5,2,0.22,"0.01757"
"48","GO:0006094","gluconeogenesis",5,2,0.22,"0.01757"
"49","GO:0071324","cellular response to disaccharide stimul...",5,2,0.22,"0.01757"
"50","GO:0071329","cellular response to sucrose stimulus",5,2,0.22,"0.01757"
"51","GO:0019646","aerobic electron transport chain",60,10,2.63,"0.01814"
"52","GO:0009060","aerobic respiration",106,13,4.65,"0.02105"
"53","GO:0060078","regulation of postsynaptic membrane pote...",14,3,0.61,"0.02122"
"54","GO:0043462","regulation of ATP-dependent activity",14,3,0.61,"0.02122"
"55","GO:0007289","spermatid nucleus differentiation",14,3,0.61,"0.02122"
"56","GO:0046693","sperm storage",14,3,0.61,"0.02122"
"57","GO:0046460","neutral lipid biosynthetic process",14,3,0.61,"0.02122"
"58","GO:0046463","acylglycerol biosynthetic process",14,3,0.61,"0.02122"
"59","GO:0006119","oxidative phosphorylation",76,11,3.33,"0.02137"
"60","GO:0098869","cellular oxidant detoxification",25,4,1.1,"0.02213"
"61","GO:1990748","cellular detoxification",25,4,1.1,"0.02213"
"62","GO:0006835","dicarboxylic acid transport",25,4,1.1,"0.02213"
"63","GO:0007286","spermatid development",81,8,3.55,"0.02488"
"64","GO:0006855","xenobiotic transmembrane transport",26,4,1.14,"0.02528"
"65","GO:0042908","xenobiotic transport",26,4,1.14,"0.02528"
"66","GO:0006750","glutathione biosynthetic process",6,2,0.26,"0.02559"
"67","GO:0043090","amino acid import",6,2,0.26,"0.02559"
"68","GO:0007589","body fluid secretion",6,2,0.26,"0.02559"
"69","GO:0042773","ATP synthesis coupled electron transport",64,10,2.81,"0.02583"
"70","GO:0042775","mitochondrial ATP synthesis coupled elec...",64,10,2.81,"0.02583"
"71","GO:0018105","peptidyl-serine phosphorylation",39,5,1.71,"0.02659"
"72","GO:0072593","reactive oxygen species metabolic proces...",27,4,1.18,"0.02868"
"73","GO:0018209","peptidyl-serine modification",40,5,1.76,"0.02934"
"74","GO:0071260","cellular response to mechanical stimulus",7,2,0.31,"0.03480"
"75","GO:0015813","L-glutamate transmembrane transport",7,2,0.31,"0.03480"
"76","GO:0019184","nonribosomal peptide biosynthetic proces...",7,2,0.31,"0.03480"
"77","GO:0051938","L-glutamate import",7,2,0.31,"0.03480"
"78","GO:0050878","regulation of body fluid levels",18,3,0.79,"0.04182"
"79","GO:1905515","non-motile cilium assembly",18,3,0.79,"0.04182"
"80","GO:0060294","cilium movement involved in cell motilit...",26,10,1.14,"0.04249"
"81","GO:0070286","axonemal dynein complex assembly",11,7,0.48,"0.04291"
"82","GO:0032210","regulation of telomere maintenance via t...",1,1,0.04,"0.04388"
