"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0070935","3'-UTR-mediated mRNA stabilization",1,1,0,"0.0023"
"2","GO:0048250","iron import into the mitochondrion",1,1,0,"0.0023"
"3","GO:0006626","protein targeting to mitochondrion",36,2,0.08,"0.0030"
"4","GO:0050709","negative regulation of protein secretion",2,1,0,"0.0047"
"5","GO:0042670","retinal cone cell differentiation",2,1,0,"0.0047"
"6","GO:0008315","G2/MI transition of meiotic cell cycle",2,1,0,"0.0047"
"7","GO:0032240","negative regulation of nucleobase-contai...",2,1,0,"0.0047"
"8","GO:0044720","negative regulation of imaginal disc-der...",3,1,0.01,"0.0070"
"9","GO:0019853","L-ascorbic acid biosynthetic process",3,1,0.01,"0.0070"
"10","GO:0060586","multicellular organismal iron ion homeos...",3,1,0.01,"0.0070"
"11","GO:0007283","spermatogenesis",184,3,0.43,"0.0080"
"12","GO:0045948","positive regulation of translational ini...",4,1,0.01,"0.0093"
"13","GO:1990255","subsynaptic reticulum organization",4,1,0.01,"0.0093"
"14","GO:0090256","regulation of cell proliferation involve...",4,1,0.01,"0.0093"
"15","GO:0034982","mitochondrial protein processing",6,1,0.01,"0.0140"
"16","GO:0002792","negative regulation of peptide secretion",6,1,0.01,"0.0140"
"17","GO:0006627","protein processing involved in protein t...",6,1,0.01,"0.0140"
"18","GO:0048515","spermatid differentiation",83,2,0.19,"0.0154"
"19","GO:0000712","resolution of meiotic recombination inte...",7,1,0.02,"0.0163"
"20","GO:0048052","R1/R6 cell differentiation",7,1,0.02,"0.0163"
"21","GO:0006465","signal peptide processing",8,1,0.02,"0.0186"
"22","GO:0051307","meiotic chromosome separation",9,1,0.02,"0.0209"
"23","GO:0034389","lipid droplet organization",12,1,0.03,"0.0277"
"24","GO:0034198","cellular response to amino acid starvati...",14,1,0.03,"0.0323"
"25","GO:1990928","response to amino acid starvation",14,1,0.03,"0.0323"
"26","GO:0015833","peptide transport",318,3,0.74,"0.0346"
"27","GO:0042886","amide transport",321,3,0.75,"0.0354"
"28","GO:0030150","protein import into mitochondrial matrix",16,1,0.04,"0.0368"
"29","GO:0045792","negative regulation of cell size",17,1,0.04,"0.0391"
"30","GO:0048137","spermatocyte division",17,1,0.04,"0.0391"
"31","GO:0009631","cold acclimation",17,1,0.04,"0.0391"
"32","GO:0046068","cGMP metabolic process",17,1,0.04,"0.0391"
"33","GO:0009409","response to cold",19,1,0.04,"0.0436"
"34","GO:0009187","cyclic nucleotide metabolic process",19,1,0.04,"0.0436"
"35","GO:0007006","mitochondrial membrane organization",19,1,0.04,"0.0436"
"36","GO:0045924","regulation of female receptivity",20,1,0.05,"0.0458"
"37","GO:0035335","peptidyl-tyrosine dephosphorylation",20,1,0.05,"0.0458"
"38","GO:0140527","reciprocal homologous recombination",21,1,0.05,"0.0481"
"39","GO:0033108","mitochondrial respiratory chain complex ...",21,1,0.05,"0.0481"
"40","GO:0007131","reciprocal meiotic recombination",21,1,0.05,"0.0481"
"41","GO:0035825","homologous recombination",22,1,0.05,"0.0503"
"42","GO:0060180","female mating behavior",22,1,0.05,"0.0503"
"43","GO:1905330","regulation of morphogenesis of an epithe...",23,1,0.05,"0.0525"
"44","GO:0002791","regulation of peptide secretion",25,1,0.06,"0.0570"
"45","GO:0044743","protein transmembrane import into intrac...",26,1,0.06,"0.0592"
"46","GO:0008039","synaptic target recognition",27,1,0.06,"0.0614"
"47","GO:0065002","intracellular protein transmembrane tran...",29,1,0.07,"0.0658"
"48","GO:0009150","purine ribonucleotide metabolic process",184,2,0.43,"0.0669"
"49","GO:0006163","purine nucleotide metabolic process",188,2,0.44,"0.0695"
"50","GO:0009259","ribonucleotide metabolic process",189,2,0.44,"0.0702"
"51","GO:0030716","oocyte fate determination",31,1,0.07,"0.0702"
"52","GO:0006120","mitochondrial electron transport, NADH t...",31,1,0.07,"0.0702"
"53","GO:0019693","ribose phosphate metabolic process",191,2,0.45,"0.0715"
"54","GO:0071806","protein transmembrane transport",32,1,0.07,"0.0724"
"55","GO:0072521","purine-containing compound metabolic pro...",200,2,0.47,"0.0775"
"56","GO:0045132","meiotic chromosome segregation",36,1,0.08,"0.0811"
"57","GO:0006796","phosphate-containing compound metabolic ...",739,4,1.73,"0.0828"
"58","GO:1990542","mitochondrial transmembrane transport",41,2,0.1,"0.0831"
"59","GO:0051304","chromosome separation",37,1,0.09,"0.0833"
"60","GO:0006793","phosphorus metabolic process",758,4,1.77,"0.0893"
"61","GO:0007474","imaginal disc-derived wing vein specific...",41,1,0.1,"0.0919"
"62","GO:0007127","meiosis I",42,1,0.1,"0.0940"
"63","GO:0009117","nucleotide metabolic process",224,2,0.52,"0.0942"
"64","GO:0006753","nucleoside phosphate metabolic process",226,2,0.53,"0.0957"
"65","GO:0006839","mitochondrial transport",87,3,0.2,"0.0971"
"66","GO:0007291","sperm individualization",44,1,0.1,"0.0983"
"67","GO:0006310","DNA recombination",47,1,0.11,"0.1046"
"68","GO:0045466","R7 cell differentiation",47,1,0.11,"0.1046"
