"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0007131","reciprocal meiotic recombination",21,2,0.04,"0.0006"
"2","GO:0045132","meiotic chromosome segregation",35,2,0.06,"0.0017"
"3","GO:0031065","positive regulation of histone deacetyla...",2,1,0,"0.0036"
"4","GO:0097010","eukaryotic translation initiation factor...",3,1,0.01,"0.0054"
"5","GO:0007348","regulation of syncytial blastoderm mitot...",5,1,0.01,"0.0090"
"6","GO:0048104","establishment of body hair or bristle pl...",5,1,0.01,"0.0090"
"7","GO:0000712","resolution of meiotic recombination inte...",7,1,0.01,"0.0126"
"8","GO:0033314","mitotic DNA replication checkpoint signa...",7,1,0.01,"0.0126"
"9","GO:0045572","positive regulation of imaginal disc gro...",8,1,0.01,"0.0144"
"10","GO:0001731","formation of translation preinitiation c...",8,1,0.01,"0.0144"
"11","GO:0042676","compound eye cone cell fate commitment",8,1,0.01,"0.0144"
"12","GO:0060249","anatomical structure homeostasis",108,2,0.19,"0.0153"
"13","GO:0002181","cytoplasmic translation",109,2,0.2,"0.0156"
"14","GO:0051307","meiotic chromosome separation",9,1,0.02,"0.0161"
"15","GO:0009628","response to abiotic stimulus",336,3,0.61,"0.0193"
"16","GO:0006281","DNA repair",122,2,0.22,"0.0193"
"17","GO:0044818","mitotic G2/M transition checkpoint",11,1,0.02,"0.0197"
"18","GO:0002183","cytoplasmic translational initiation",11,1,0.02,"0.0197"
"19","GO:0000076","DNA replication checkpoint signaling",11,1,0.02,"0.0197"
"20","GO:0016321","female meiosis chromosome segregation",11,1,0.02,"0.0197"
"21","GO:0009314","response to radiation",133,2,0.24,"0.0227"
"22","GO:0010972","negative regulation of G2/M transition o...",13,1,0.02,"0.0232"
"23","GO:0043524","negative regulation of neuron apoptotic ...",13,1,0.02,"0.0232"
"24","GO:1902750","negative regulation of cell cycle G2/M p...",13,1,0.02,"0.0232"
"25","GO:0046622","positive regulation of organ growth",15,1,0.03,"0.0268"
"26","GO:0032200","telomere organization",16,1,0.03,"0.0285"
"27","GO:0042675","compound eye cone cell differentiation",16,1,0.03,"0.0285"
"28","GO:0000723","telomere maintenance",16,1,0.03,"0.0285"
"29","GO:0070050","neuron cellular homeostasis",17,1,0.03,"0.0303"
"30","GO:0006974","cellular response to DNA damage stimulus",163,2,0.29,"0.0332"
"31","GO:0043523","regulation of neuron apoptotic process",19,1,0.03,"0.0338"
"32","GO:0044774","mitotic DNA integrity checkpoint signali...",21,1,0.04,"0.0373"
"33","GO:0051402","neuron apoptotic process",22,1,0.04,"0.0390"
"34","GO:1902749","regulation of cell cycle G2/M phase tran...",22,1,0.04,"0.0390"
"35","GO:0010389","regulation of G2/M transition of mitotic...",22,1,0.04,"0.0390"
"36","GO:0045570","regulation of imaginal disc growth",23,1,0.04,"0.0408"
"37","GO:1901215","negative regulation of neuron death",24,1,0.04,"0.0425"
"38","GO:0072499","photoreceptor cell axon guidance",24,1,0.04,"0.0425"
"39","GO:0033554","cellular response to stress",457,3,0.82,"0.0432"
"40","GO:0007444","imaginal disc development",464,3,0.84,"0.0449"
"41","GO:0001737","establishment of imaginal disc-derived w...",26,1,0.05,"0.0460"
"42","GO:0000086","G2/M transition of mitotic cell cycle",28,1,0.05,"0.0494"
"43","GO:0044839","cell cycle G2/M phase transition",30,1,0.05,"0.0529"
"44","GO:0071482","cellular response to light stimulus",31,1,0.06,"0.0546"
"45","GO:0070303","negative regulation of stress-activated ...",31,1,0.06,"0.0546"
"46","GO:0032873","negative regulation of stress-activated ...",31,1,0.06,"0.0546"
"47","GO:0046329","negative regulation of JNK cascade",31,1,0.06,"0.0546"
"48","GO:0030716","oocyte fate determination",31,1,0.06,"0.0546"
"49","GO:1905269","positive regulation of chromatin organiz...",33,1,0.06,"0.0580"
"50","GO:0009612","response to mechanical stimulus",34,1,0.06,"0.0598"
"51","GO:0045747","positive regulation of Notch signaling p...",34,1,0.06,"0.0598"
"52","GO:0045165","cell fate commitment",227,2,0.41,"0.0606"
"53","GO:0007446","imaginal disc growth",35,1,0.06,"0.0615"
"54","GO:0043409","negative regulation of MAPK cascade",35,1,0.06,"0.0615"
"55","GO:0007476","imaginal disc-derived wing morphogenesis",230,2,0.42,"0.0620"
"56","GO:0000077","DNA damage checkpoint signaling",36,1,0.06,"0.0632"
"57","GO:1901214","regulation of neuron death",36,1,0.06,"0.0632"
"58","GO:0051304","chromosome separation",37,1,0.07,"0.0649"
"59","GO:0042770","signal transduction in response to DNA d...",37,1,0.07,"0.0649"
"60","GO:1901991","negative regulation of mitotic cell cycl...",37,1,0.07,"0.0649"
"61","GO:0007143","female meiotic nuclear division",37,1,0.07,"0.0649"
"62","GO:0007472","wing disc morphogenesis",236,2,0.43,"0.0649"
"63","GO:0007093","mitotic cell cycle checkpoint signaling",38,1,0.07,"0.0666"
"64","GO:0031570","DNA integrity checkpoint signaling",39,1,0.07,"0.0683"
"65","GO:0070997","neuron death",39,1,0.07,"0.0683"
"66","GO:0071478","cellular response to radiation",41,1,0.07,"0.0716"
"67","GO:2001252","positive regulation of chromosome organi...",41,1,0.07,"0.0716"
"68","GO:0022613","ribonucleoprotein complex biogenesis",251,2,0.45,"0.0724"
"69","GO:0046620","regulation of organ growth",43,1,0.08,"0.0750"
"70","GO:0035295","tube development",576,3,1.04,"0.0770"
"71","GO:0042058","regulation of epidermal growth factor re...",45,1,0.08,"0.0784"
"72","GO:1901184","regulation of ERBB signaling pathway",45,1,0.08,"0.0784"
"73","GO:0030182","neuron differentiation",584,3,1.05,"0.0796"
"74","GO:0035120","post-embryonic appendage morphogenesis",268,2,0.48,"0.0812"
"75","GO:0035114","imaginal disc-derived appendage morphoge...",272,2,0.49,"0.0833"
"76","GO:0035317","imaginal disc-derived wing hair organiza...",48,1,0.09,"0.0834"
"77","GO:0035107","appendage morphogenesis",275,2,0.5,"0.0849"
"78","GO:0035315","hair cell differentiation",49,1,0.09,"0.0851"
"79","GO:0035316","non-sensory hair organization",49,1,0.09,"0.0851"
"80","GO:0006302","double-strand break repair",49,1,0.09,"0.0851"
"81","GO:0008587","imaginal disc-derived wing margin morpho...",49,1,0.09,"0.0851"
"82","GO:0048737","imaginal disc-derived appendage developm...",276,2,0.5,"0.0855"
"83","GO:0104004","cellular response to environmental stimu...",50,1,0.09,"0.0867"
"84","GO:0071214","cellular response to abiotic stimulus",50,1,0.09,"0.0867"
"85","GO:0048736","appendage development",281,2,0.51,"0.0882"
"86","GO:0009913","epidermal cell differentiation",51,1,0.09,"0.0884"
"87","GO:0045930","negative regulation of mitotic cell cycl...",54,1,0.1,"0.0934"
"88","GO:0006413","translational initiation",55,1,0.1,"0.0950"
"89","GO:0008544","epidermis development",55,1,0.1,"0.0950"
"90","GO:0035265","organ growth",56,1,0.1,"0.0967"
"91","GO:0000075","cell cycle checkpoint signaling",58,1,0.1,"0.1000"
"92","GO:0042592","homeostatic process",304,2,0.55,"0.1009"
"93","GO:0046328","regulation of JNK cascade",60,1,0.11,"0.1033"
"94","GO:0045995","regulation of embryonic development",61,1,0.11,"0.1049"
"95","GO:0070302","regulation of stress-activated protein k...",62,1,0.11,"0.1065"
"96","GO:0032872","regulation of stress-activated MAPK casc...",62,1,0.11,"0.1065"
"97","GO:0048699","generation of neurons",660,3,1.19,"0.1067"
"98","GO:0038127","ERBB signaling pathway",63,1,0.11,"0.1082"
"99","GO:0007173","epidermal growth factor receptor signali...",63,1,0.11,"0.1082"
"100","GO:0022416","chaeta development",65,1,0.12,"0.1114"
"101","GO:0007560","imaginal disc morphogenesis",323,2,0.58,"0.1119"
"102","GO:0048563","post-embryonic animal organ morphogenesi...",323,2,0.58,"0.1119"
"103","GO:0001933","negative regulation of protein phosphory...",66,1,0.12,"0.1130"
"104","GO:0035220","wing disc development",326,2,0.59,"0.1137"
"105","GO:1901988","negative regulation of cell cycle phase ...",68,1,0.12,"0.1163"
"106","GO:0042326","negative regulation of phosphorylation",69,1,0.12,"0.1179"
"107","GO:0022008","neurogenesis",692,3,1.25,"0.1191"
"108","GO:0048639","positive regulation of developmental gro...",70,1,0.13,"0.1195"
"109","GO:1901990","regulation of mitotic cell cycle phase t...",70,1,0.13,"0.1195"
"110","GO:0007254","JNK cascade",71,1,0.13,"0.1211"
"111","GO:0060429","epithelium development",788,4,1.42,"0.1229"
"112","GO:0051403","stress-activated MAPK cascade",74,1,0.13,"0.1259"
"113","GO:0034641","cellular nitrogen compound metabolic pro...",2047,7,3.69,"0.1268"
"114","GO:0010948","negative regulation of cell cycle proces...",76,1,0.14,"0.1291"
"115","GO:0045936","negative regulation of phosphate metabol...",76,1,0.14,"0.1291"
"116","GO:0010563","negative regulation of phosphorus metabo...",76,1,0.14,"0.1291"
"117","GO:1902275","regulation of chromatin organization",77,1,0.14,"0.1307"
"118","GO:0001736","establishment of planar polarity",93,2,0.17,"0.1344"
"119","GO:0007164","establishment of tissue polarity",93,2,0.17,"0.1344"
"120","GO:0043066","negative regulation of apoptotic process",81,1,0.15,"0.1371"
"121","GO:0006412","translation",370,2,0.67,"0.1404"
"122","GO:0048707","instar larval or pupal morphogenesis",372,2,0.67,"0.1416"
"123","GO:0031400","negative regulation of protein modificat...",84,1,0.15,"0.1418"
"124","GO:0045786","negative regulation of cell cycle",84,1,0.15,"0.1418"
"125","GO:0009888","tissue development",842,4,1.52,"0.1433"
"126","GO:0010467","gene expression",1643,5,2.97,"0.1442"
"127","GO:0048569","post-embryonic animal organ development",377,2,0.68,"0.1448"
"128","GO:0043069","negative regulation of programmed cell d...",86,1,0.16,"0.1449"
"129","GO:0044772","mitotic cell cycle phase transition",86,1,0.16,"0.1449"
"130","GO:0009886","post-embryonic animal morphogenesis",382,2,0.69,"0.1479"
"131","GO:0060562","epithelial tube morphogenesis",382,2,0.69,"0.1479"
"132","GO:0031098","stress-activated protein kinase signalin...",88,1,0.16,"0.1481"
"133","GO:0007552","metamorphosis",387,2,0.7,"0.1511"
"134","GO:0001738","morphogenesis of a polarized epithelium",105,2,0.19,"0.1514"
"135","GO:0043408","regulation of MAPK cascade",93,1,0.17,"0.1559"
"136","GO:0045927","positive regulation of growth",94,1,0.17,"0.1574"
"137","GO:0042461","photoreceptor cell development",96,1,0.17,"0.1605"
"138","GO:0008593","regulation of Notch signaling pathway",97,1,0.18,"0.1620"
"139","GO:0035239","tube morphogenesis",408,2,0.74,"0.1646"
"140","GO:0043043","peptide biosynthetic process",410,2,0.74,"0.1659"
"141","GO:0080135","regulation of cellular response to stres...",101,1,0.18,"0.1682"
"142","GO:0022618","ribonucleoprotein complex assembly",102,1,0.18,"0.1697"
"143","GO:1901987","regulation of cell cycle phase transitio...",102,1,0.18,"0.1697"
"144","GO:0009416","response to light stimulus",103,1,0.19,"0.1712"
"145","GO:0006979","response to oxidative stress",103,1,0.19,"0.1712"
"146","GO:0006508","proteolysis",420,2,0.76,"0.1724"
"147","GO:0051276","chromosome organization",420,2,0.76,"0.1724"
"148","GO:0030162","regulation of proteolysis",104,1,0.19,"0.1728"
"149","GO:0030154","cell differentiation",1263,4,2.28,"0.1749"
"150","GO:2000026","regulation of multicellular organismal d...",425,2,0.77,"0.1757"
"151","GO:0000165","MAPK cascade",106,1,0.19,"0.1758"
"152","GO:0010638","positive regulation of organelle organiz...",107,1,0.19,"0.1773"
"153","GO:0060548","negative regulation of cell death",107,1,0.19,"0.1773"
"154","GO:0033044","regulation of chromosome organization",109,1,0.2,"0.1803"
"155","GO:0043604","amide biosynthetic process",436,2,0.79,"0.1830"
"156","GO:0090305","nucleic acid phosphodiester bond hydroly...",111,1,0.2,"0.1834"
"157","GO:1902532","negative regulation of intracellular sig...",112,1,0.2,"0.1849"
"158","GO:0071826","ribonucleoprotein complex subunit organi...",112,1,0.2,"0.1849"
"159","GO:0001709","cell fate determination",112,1,0.2,"0.1849"
"160","GO:0002009","morphogenesis of an epithelium",499,3,0.9,"0.1886"
"161","GO:0007399","nervous system development",852,3,1.54,"0.1896"
"162","GO:0048869","cellular developmental process",1304,4,2.35,"0.1908"
"163","GO:0048729","tissue morphogenesis",504,3,0.91,"0.1916"
"164","GO:0006518","peptide metabolic process",450,2,0.81,"0.1923"
"165","GO:0002165","instar larval or pupal development",451,2,0.81,"0.1930"
"166","GO:0007219","Notch signaling pathway",119,1,0.21,"0.1953"
"167","GO:0044770","cell cycle phase transition",120,1,0.22,"0.1968"
"168","GO:0006950","response to stress",874,3,1.58,"0.2002"
"169","GO:0006364","rRNA processing",127,1,0.23,"0.2071"
"170","GO:0048731","system development",1345,4,2.43,"0.2073"
