"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0071454","cellular response to anoxia",1,1,0,"0.00069"
"2","GO:0006873","cellular ion homeostasis",86,2,0.06,"0.00129"
"3","GO:0006828","manganese ion transport",4,1,0,"0.00277"
"4","GO:0050908","detection of light stimulus involved in ...",6,1,0,"0.00415"
"5","GO:0007589","body fluid secretion",6,1,0,"0.00415"
"6","GO:0051480","regulation of cytosolic calcium ion conc...",16,1,0.01,"0.01103"
"7","GO:0007076","mitotic chromosome condensation",17,1,0.01,"0.01171"
"8","GO:0007603","phototransduction, visible light",26,1,0.02,"0.01787"
"9","GO:0006874","cellular calcium ion homeostasis",29,1,0.02,"0.01992"
"10","GO:0019722","calcium-mediated signaling",29,1,0.02,"0.01992"
"11","GO:0055074","calcium ion homeostasis",31,1,0.02,"0.02128"
"12","GO:0006406","mRNA export from nucleus",36,1,0.02,"0.02468"
"13","GO:0072503","cellular divalent inorganic cation homeo...",38,1,0.03,"0.02604"
"14","GO:0051304","chromosome separation",39,1,0.03,"0.02672"
"15","GO:0072507","divalent inorganic cation homeostasis",43,1,0.03,"0.02942"
"16","GO:0051028","mRNA transport",43,1,0.03,"0.02942"
"17","GO:0070588","calcium ion transmembrane transport",45,1,0.03,"0.03078"
"18","GO:0007602","phototransduction",46,1,0.03,"0.03145"
"19","GO:0007605","sensory perception of sound",48,1,0.03,"0.03280"
"20","GO:0030261","chromosome condensation",50,1,0.03,"0.03415"
"21","GO:0071166","ribonucleoprotein complex localization",50,1,0.03,"0.03415"
"22","GO:0006816","calcium ion transport",51,1,0.04,"0.03483"
"23","GO:0019932","second-messenger-mediated signaling",52,1,0.04,"0.03550"
"24","GO:0006875","cellular metal ion homeostasis",57,1,0.04,"0.03886"
"25","GO:0006611","protein export from nucleus",62,1,0.04,"0.04222"
"26","GO:0050954","sensory perception of mechanical stimulu...",63,1,0.04,"0.04289"
"27","GO:0006405","RNA export from nucleus",64,1,0.04,"0.04356"
"28","GO:0007422","peripheral nervous system development",66,1,0.05,"0.04489"
"29","GO:0055065","metal ion homeostasis",67,1,0.05,"0.04556"
"30","GO:0031503","protein-containing complex localization",71,1,0.05,"0.04823"
"31","GO:0051168","nuclear export",74,1,0.05,"0.05023"
"32","GO:0030003","cellular cation homeostasis",83,1,0.06,"0.05621"
"33","GO:0000070","mitotic sister chromatid segregation",84,1,0.06,"0.05687"
"34","GO:0071103","DNA conformation change",90,1,0.06,"0.06084"
"35","GO:0000819","sister chromatid segregation",91,1,0.06,"0.06150"
"36","GO:0098771","inorganic ion homeostasis",94,1,0.07,"0.06348"
"37","GO:0055080","cation homeostasis",94,1,0.07,"0.06348"
"38","GO:0050657","nucleic acid transport",101,1,0.07,"0.06808"
"39","GO:0050658","RNA transport",101,1,0.07,"0.06808"
"40","GO:0051236","establishment of RNA localization",102,1,0.07,"0.06874"
"41","GO:0098813","nuclear chromosome segregation",116,1,0.08,"0.07789"
"42","GO:0006913","nucleocytoplasmic transport",119,1,0.08,"0.07984"
"43","GO:0051169","nuclear transport",119,1,0.08,"0.07984"
"44","GO:0140014","mitotic nuclear division",126,1,0.09,"0.08438"
"45","GO:0015931","nucleobase-containing compound transport",131,1,0.09,"0.08761"
"46","GO:0007059","chromosome segregation",135,1,0.09,"0.09020"
"47","GO:0006403","RNA localization",171,1,0.12,"0.11318"
"48","GO:0098662","inorganic cation transmembrane transport",200,1,0.14,"0.13138"
"49","GO:0000280","nuclear division",217,1,0.15,"0.14191"
"50","GO:0098660","inorganic ion transmembrane transport",228,1,0.16,"0.14868"
"51","GO:0048285","organelle fission",229,1,0.16,"0.14929"
"52","GO:0098655","cation transmembrane transport",231,1,0.16,"0.15052"
"53","GO:0006886","intracellular protein transport",240,1,0.17,"0.15602"
"54","GO:1903047","mitotic cell cycle process",255,1,0.18,"0.16512"
"55","GO:0015031","protein transport",327,1,0.23,"0.20779"
