"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0003341","cilium movement",40,18,1.62,"3.1e-10"
"2","GO:0007605","sensory perception of sound",48,13,1.94,"3.1e-08"
"3","GO:0030317","flagellated sperm motility",26,9,1.05,"4.3e-07"
"4","GO:0036159","inner dynein arm assembly",4,4,0.16,"2.6e-06"
"5","GO:0018094","protein polyglycylation",13,6,0.53,"5.6e-06"
"6","GO:0060271","cilium assembly",73,23,2.95,"8.4e-06"
"7","GO:0035082","axoneme assembly",26,13,1.05,"2.0e-05"
"8","GO:0046034","ATP metabolic process",111,15,4.49,"3.5e-05"
"9","GO:0009167","purine ribonucleoside monophosphate meta...",113,15,4.57,"4.3e-05"
"10","GO:0050982","detection of mechanical stimulus",18,6,0.73,"5.1e-05"
"11","GO:0036158","outer dynein arm assembly",7,4,0.28,"8.3e-05"
"12","GO:0006123","mitochondrial electron transport, cytoch...",11,4,0.45,"0.00069"
"13","GO:0007638","mechanosensory behavior",12,4,0.49,"0.00100"
"14","GO:0060285","cilium-dependent cell motility",32,12,1.3,"0.00108"
"15","GO:0006165","nucleoside diphosphate phosphorylation",21,5,0.85,"0.00124"
"16","GO:0071260","cellular response to mechanical stimulus",7,3,0.28,"0.00203"
"17","GO:0098655","cation transmembrane transport",231,19,9.35,"0.00239"
"18","GO:0006839","mitochondrial transport",87,10,3.52,"0.00251"
"19","GO:0006730","one-carbon metabolic process",8,3,0.32,"0.00315"
"20","GO:0071266","'de novo' L-methionine biosynthetic proc...",3,2,0.12,"0.00476"
"21","GO:0019343","cysteine biosynthetic process via cystat...",3,2,0.12,"0.00476"
"22","GO:0019346","transsulfuration",3,2,0.12,"0.00476"
"23","GO:0072525","pyridine-containing compound biosyntheti...",18,4,0.73,"0.00511"
"24","GO:0032981","mitochondrial respiratory chain complex ...",10,3,0.4,"0.00636"
"25","GO:0010996","response to auditory stimulus",4,2,0.16,"0.00927"
"26","GO:0035092","sperm DNA condensation",4,2,0.16,"0.00927"
"27","GO:0000209","protein polyubiquitination",74,8,2.99,"0.00960"
"28","GO:1902600","proton transmembrane transport",75,8,3.04,"0.01038"
"29","GO:0033108","mitochondrial respiratory chain complex ...",22,6,0.89,"0.01065"
