"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0030710","regulation of border follicle cell delam...",1,1,0,"0.0047"
"2","GO:0097120","receptor localization to synapse",1,1,0,"0.0047"
"3","GO:0010918","positive regulation of mitochondrial mem...",2,1,0.01,"0.0093"
"4","GO:1990511","piRNA biosynthetic process",2,1,0.01,"0.0093"
"5","GO:0030714","anterior/posterior axis specification, f...",2,1,0.01,"0.0093"
"6","GO:0071586","CAAX-box protein processing",2,1,0.01,"0.0093"
"7","GO:0046487","glyoxylate metabolic process",2,1,0.01,"0.0093"
"8","GO:0046956","positive phototaxis",3,1,0.01,"0.0139"
"9","GO:0052128","positive energy taxis",3,1,0.01,"0.0139"
"10","GO:0043113","receptor clustering",4,1,0.02,"0.0186"
"11","GO:0046710","GDP metabolic process",4,1,0.02,"0.0186"
"12","GO:0000244","spliceosomal tri-snRNP complex assembly",4,1,0.02,"0.0186"
"13","GO:0046037","GMP metabolic process",5,1,0.02,"0.0231"
"14","GO:0016335","morphogenesis of larval imaginal disc ep...",5,1,0.02,"0.0231"
"15","GO:0016336","establishment or maintenance of polarity...",5,1,0.02,"0.0231"
"16","GO:0046855","inositol phosphate dephosphorylation",5,1,0.02,"0.0231"
"17","GO:0046838","phosphorylated carbohydrate dephosphoryl...",5,1,0.02,"0.0231"
"18","GO:0071545","inositol phosphate catabolic process",5,1,0.02,"0.0231"
"19","GO:0046174","polyol catabolic process",6,1,0.03,"0.0277"
"20","GO:0007521","muscle cell fate determination",6,1,0.03,"0.0277"
"21","GO:2001135","regulation of endocytic recycling",6,1,0.03,"0.0277"
"22","GO:0030856","regulation of epithelial cell differenti...",6,1,0.03,"0.0277"
"23","GO:0043647","inositol phosphate metabolic process",7,1,0.03,"0.0322"
"24","GO:0051126","negative regulation of actin nucleation",7,1,0.03,"0.0322"
"25","GO:0042445","hormone metabolic process",64,2,0.3,"0.0354"
"26","GO:0007619","courtship behavior",64,2,0.3,"0.0354"
"27","GO:0016332","establishment or maintenance of polarity...",8,1,0.04,"0.0368"
"28","GO:0046164","alcohol catabolic process",9,1,0.04,"0.0413"
"29","GO:0006398","mRNA 3'-end processing by stem-loop bind...",9,1,0.04,"0.0413"
"30","GO:0008334","histone mRNA metabolic process",9,1,0.04,"0.0413"
"31","GO:0051125","regulation of actin nucleation",9,1,0.04,"0.0413"
"32","GO:0045175","basal protein localization",10,1,0.05,"0.0458"
"33","GO:0006999","nuclear pore organization",10,1,0.05,"0.0458"
"34","GO:0070584","mitochondrion morphogenesis",11,1,0.05,"0.0502"
"35","GO:0046940","nucleoside monophosphate phosphorylation",11,1,0.05,"0.0502"
"36","GO:0007030","Golgi organization",81,2,0.38,"0.0543"
"37","GO:0042693","muscle cell fate commitment",12,1,0.06,"0.0547"
"38","GO:0010529","negative regulation of transposition",12,1,0.06,"0.0547"
"39","GO:0042810","pheromone metabolic process",12,1,0.06,"0.0547"
"40","GO:0042811","pheromone biosynthetic process",12,1,0.06,"0.0547"
"41","GO:0010817","regulation of hormone levels",82,2,0.38,"0.0555"
"42","GO:0000387","spliceosomal snRNP assembly",13,1,0.06,"0.0591"
"43","GO:0010528","regulation of transposition",13,1,0.06,"0.0591"
"44","GO:0046693","sperm storage",13,1,0.06,"0.0591"
"45","GO:1901068","guanosine-containing compound metabolic ...",13,1,0.06,"0.0591"
"46","GO:0032196","transposition",13,1,0.06,"0.0591"
"47","GO:0007349","cellularization",87,2,0.41,"0.0616"
"48","GO:0046008","regulation of female receptivity, post-m...",14,1,0.07,"0.0635"
"49","GO:0007318","pole plasm protein localization",14,1,0.07,"0.0635"
"50","GO:1901616","organic hydroxy compound catabolic proce...",14,1,0.07,"0.0635"
"51","GO:0019751","polyol metabolic process",15,1,0.07,"0.0679"
"52","GO:0042331","phototaxis",15,1,0.07,"0.0679"
"53","GO:0009453","energy taxis",15,1,0.07,"0.0679"
"54","GO:0030728","ovulation",15,1,0.07,"0.0679"
"55","GO:0007617","mating behavior",92,2,0.43,"0.0680"
"56","GO:0007618","mating",92,2,0.43,"0.0680"
"57","GO:0006607","NLS-bearing protein import into nucleus",16,1,0.07,"0.0722"
"58","GO:0045196","establishment or maintenance of neurobla...",16,1,0.07,"0.0722"
"59","GO:0051668","localization within membrane",98,2,0.46,"0.0759"
"60","GO:0000132","establishment of mitotic spindle orienta...",17,1,0.08,"0.0766"
"61","GO:0045167","asymmetric protein localization involved...",18,1,0.08,"0.0809"
"62","GO:0044706","multi-multicellular organism process",19,1,0.09,"0.0852"
"63","GO:0046692","sperm competition",19,1,0.09,"0.0852"
"64","GO:0046662","regulation of oviposition",19,1,0.09,"0.0852"
"65","GO:0000912","assembly of actomyosin apparatus involve...",19,1,0.09,"0.0852"
"66","GO:0000915","actomyosin contractile ring assembly",19,1,0.09,"0.0852"
