geneID,sig_DE
gene-237881,1
gene-225738,1
gene-241126,1
gene-282590,1
gene-225107,1
gene-223491,1
gene-224782,1
gene-395143,1
gene-326909,1
gene-399424,1
gene-224890,1
gene-222383,1
gene-240638,1
gene-390956,1
gene-241055,1
gene-221953,1
gene-224845,1
gene-428738,1
gene-282886,1
gene-240623,1
gene-282620,1
gene-240871,1
gene-241262,1
gene-282491,1
gene-225236,1
gene-84949,1
gene-395080,1
gene-391198,1
gene-225629,1
gene-225635,1
gene-322927,1
gene-224277,1
gene-224860,1
gene-400402,1
gene-240860,1
gene-399317,1
gene-428756,1
gene-430314,1
gene-224307,1
gene-282398,1
gene-392186,1
gene-380466,1
gene-403818,1
gene-224968,1
gene-222555,1
gene-224743,1
gene-84970,1
gene-322912,1
gene-226245,1
gene-224896,1
gene-224201,1
gene-90157,1
gene-238849,1
gene-399270,1
gene-240691,1
gene-391222,1
gene-225720,1
gene-227370,1
gene-238407,1
gene-222519,1
gene-282524,1
gene-430263,1
g14784,1
gene-390637,1
gene-240833,1
gene-430068,1
gene-239506,1
gene-399475,1
gene-282551,1
gene-222600,1
gene-224593,1
gene-225325,1
gene-220544,1
gene-222531,1
gene-81572,1
gene-406796,1
gene-227308,1
gene-400393,1
gene-282362,1
gene-80359,1
gene-222501,1
gene-260693,1
gene-89234,1
gene-81427,1
gene-220028,1
gene-282746,1
gene-231854,1
gene-223773,1
gene-428747,1
gene-240983,1
gene-220249,1
gene-222344,1
gene-241001,1
gene-282347,1
gene-390678,1
gene-224227,1
gene-430080,1
gene-222159,1
gene-222350,1
gene-224682,1
gene-240910,1
gene-282853,1
gene-428765,1
gene-225140,1
gene-390616,1
gene-222430,1
gene-224956,1
gene-399484,1
gene-225173,1
gene-225030,1
gene-225158,1
gene-222332,1
gene-392290,1
gene-243299,1
gene-428104,1
gene-240929,1
gene-282701,1
gene-241108,1
gene-224875,1
gene-224357,1
gene-282458,1
gene-431030,1
gene-222486,1
gene-224697,1
