"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0007602","phototransduction",46,3,0.21,0.0011
"2","GO:1905515","non-motile cilium assembly",17,2,0.08,0.0025
"3","GO:0055074","calcium ion homeostasis",31,2,0.14,0.0083
"4","GO:1905349","ciliary transition zone assembly",2,1,0.01,0.009
"5","GO:0045132","meiotic chromosome segregation",37,2,0.17,0.0118
"6","GO:0150063","visual system development",321,5,1.44,0.0128
"7","GO:0048880","sensory system development",321,5,1.44,0.0128
"8","GO:0001654","eye development",321,5,1.44,0.0128
"9","GO:0090311","regulation of protein deacetylation",3,1,0.01,0.0134
"10","GO:0090312","positive regulation of protein deacetyla...",3,1,0.01,0.0134
"11","GO:0097010","eukaryotic translation initiation factor...",3,1,0.01,0.0134
"12","GO:0008377","light-induced release of internally sequ...",3,1,0.01,0.0134
"13","GO:0030704","vitelline membrane formation",3,1,0.01,0.0134
"14","GO:0006651","diacylglycerol biosynthetic process",3,1,0.01,0.0134
"15","GO:0035803","egg coat formation",3,1,0.01,0.0134
"16","GO:0031063","regulation of histone deacetylation",3,1,0.01,0.0134
"17","GO:0031065","positive regulation of histone deacetyla...",3,1,0.01,0.0134
"18","GO:0007305","vitelline membrane formation involved in...",3,1,0.01,0.0134
"19","GO:0071482","cellular response to light stimulus",41,2,0.18,0.0143
"20","GO:0007127","meiosis I",44,2,0.2,0.0164
"21","GO:0003407","neural retina development",4,1,0.02,0.0179
"22","GO:0001580","detection of chemical stimulus involved ...",4,1,0.02,0.0179
"23","GO:0060086","circadian temperature homeostasis",4,1,0.02,0.0179
"24","GO:0060041","retina development in camera-type eye",4,1,0.02,0.0179
"25","GO:0046339","diacylglycerol metabolic process",4,1,0.02,0.0179
"26","GO:0001659","temperature homeostasis",4,1,0.02,0.0179
"27","GO:0007129","homologous chromosome pairing at meiosis",4,1,0.02,0.0179
"28","GO:0007130","synaptonemal complex assembly",4,1,0.02,0.0179
"29","GO:0071478","cellular response to radiation",51,2,0.23,0.0217
"30","GO:0051482","positive regulation of cytosolic calcium...",5,1,0.02,0.0223
"31","GO:0045143","homologous chromosome segregation",5,1,0.02,0.0223
"32","GO:0061512","protein localization to cilium",5,1,0.02,0.0223
"33","GO:0043010","camera-type eye development",5,1,0.02,0.0223
"34","GO:0010496","intercellular transport",5,1,0.02,0.0223
"35","GO:0019932","second-messenger-mediated signaling",52,2,0.23,0.0225
"36","GO:0009620","response to fungus",55,2,0.25,0.025
"37","GO:0007423","sensory organ development",386,5,1.74,0.0265
"38","GO:0035721","intraciliary retrograde transport",6,1,0.03,0.0267
"39","GO:0051282","regulation of sequestering of calcium io...",6,1,0.03,0.0267
"40","GO:0051283","negative regulation of sequestering of c...",6,1,0.03,0.0267
"41","GO:0071214","cellular response to abiotic stimulus",61,2,0.27,0.0302
"42","GO:0104004","cellular response to environmental stimu...",61,2,0.27,0.0302
"43","GO:0043153","entrainment of circadian clock by photop...",7,1,0.03,0.0311
"44","GO:0007200","phospholipase C-activating G protein-cou...",7,1,0.03,0.0311
"45","GO:0051208","sequestering of calcium ion",7,1,0.03,0.0311
"46","GO:0007189","adenylate cyclase-activating G protein-c...",7,1,0.03,0.0311
"47","GO:0007601","visual perception",7,1,0.03,0.0311
"48","GO:0048871","multicellular organismal homeostasis",63,2,0.28,0.0321
"49","GO:0009416","response to light stimulus",118,5,0.53,0.0332
"50","GO:0042330","taxis",280,4,1.26,0.0347
"51","GO:0000712","resolution of meiotic recombination inte...",8,1,0.04,0.0354
"52","GO:2000370","positive regulation of clathrin-dependen...",8,1,0.04,0.0354
"53","GO:0009648","photoperiodism",8,1,0.04,0.0354
"54","GO:0007440","foregut morphogenesis",8,1,0.04,0.0354
"55","GO:0001731","formation of translation preinitiation c...",8,1,0.04,0.0354
"56","GO:0045572","positive regulation of imaginal disc gro...",9,1,0.04,0.0398
"57","GO:0070193","synaptonemal complex organization",9,1,0.04,0.0398
"58","GO:0046671","negative regulation of retinal cell prog...",9,1,0.04,0.0398
"59","GO:0046673","negative regulation of compound eye reti...",9,1,0.04,0.0398
"60","GO:0050953","sensory perception of light stimulus",9,1,0.04,0.0398
"61","GO:0042752","regulation of circadian rhythm",71,2,0.32,0.04
"62","GO:2000369","regulation of clathrin-dependent endocyt...",10,1,0.04,0.0441
"63","GO:0051307","meiotic chromosome separation",10,1,0.04,0.0441
"64","GO:0085029","extracellular matrix assembly",10,1,0.04,0.0441
"65","GO:0048749","compound eye development",307,4,1.38,0.0463
"66","GO:0061982","meiosis I cell cycle process",77,2,0.35,0.0463
"67","GO:0050912","detection of chemical stimulus involved ...",11,1,0.05,0.0484
"68","GO:0050913","sensory perception of bitter taste",11,1,0.05,0.0484
"69","GO:0042676","compound eye cone cell fate commitment",11,1,0.05,0.0484
"70","GO:0002183","cytoplasmic translational initiation",11,1,0.05,0.0484
"71","GO:0048260","positive regulation of receptor-mediated...",11,1,0.05,0.0484
