day14	day16	day18	id
True	True	False	gene-124877
True	True	False	gene-223758
True	True	False	gene-424750
True	True	False	gene-127740
True	True	False	gene-90190
True	True	False	gene-87554
True	True	False	gene-426056
True	True	False	gene-230270
True	True	False	gene-232048
True	True	False	gene-38977
True	True	False	gene-231604
True	True	False	gene-223318
True	True	False	gene-222737
True	True	False	gene-88032
True	True	False	gene-372264
True	True	False	gene-223419
True	True	False	gene-346228
True	True	False	gene-125638
True	True	False	gene-240397
True	True	False	gene-336688
True	True	False	gene-227137
True	True	False	gene-263126
True	True	False	gene-127607
True	True	False	gene-266887
True	True	False	gene-229506
True	True	False	gene-241506
True	True	False	gene-57335
True	True	False	gene-68612
True	True	False	gene-271655
True	True	False	gene-224369
True	True	False	gene-120660
True	True	False	gene-421265
True	True	False	gene-84577
True	True	False	gene-370643
True	True	False	gene-240602
True	True	False	gene-217099
True	True	True	gene-395158
True	True	False	gene-370842
True	False	True	gene-301479
True	True	False	gene-417051
True	True	False	gene-81581
True	True	False	gene-81458
True	True	False	gene-81476
True	True	False	gene-81675
True	True	False	gene-81418
True	True	False	gene-80415
True	True	False	gene-87700
True	True	False	gene-225355
True	True	False	gene-237857
True	True	False	gene-219157
True	True	False	gene-400426
True	True	False	gene-125849
True	True	False	gene-119684
False	True	True	gene-428071
