"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0046034","ATP metabolic process",111,71,21.44,9.3e-18
"2","GO:0009167","purine ribonucleoside monophosphate meta...",113,73,21.83,4.5e-17
"3","GO:0006120","mitochondrial electron transport, NADH t...",31,27,5.99,5.6e-16
"4","GO:0032543","mitochondrial translation",94,49,18.16,7.2e-13
"5","GO:0009168","purine ribonucleoside monophosphate bios...",41,27,7.92,8.5e-11
"6","GO:0006839","mitochondrial transport",87,53,16.8,1.5e-10
"7","GO:0042866","pyruvate biosynthetic process",12,12,2.32,2.6e-09
"8","GO:0006754","ATP biosynthetic process",36,23,6.95,5.3e-09
"9","GO:1990542","mitochondrial transmembrane transport",41,29,7.92,1.3e-08
"10","GO:0006099","tricarboxylic acid cycle",34,21,6.57,5.9e-08
"11","GO:0006101","citrate metabolic process",34,21,6.57,5.9e-08
"12","GO:0016999","antibiotic metabolic process",55,28,10.62,1.3e-07
"13","GO:0009166","nucleotide catabolic process",15,12,2.9,6.5e-07
"14","GO:0034404","nucleobase-containing small molecule bio...",30,18,5.79,1e-06
"15","GO:0019359","nicotinamide nucleotide biosynthetic pro...",16,12,3.09,2.1e-06
"16","GO:0006418","tRNA aminoacylation for protein translat...",43,21,8.31,1.1e-05
"17","GO:0006096","glycolytic process",14,12,2.7,1.3e-05
"18","GO:0030150","protein import into mitochondrial matrix",16,11,3.09,2.2e-05
"19","GO:0003341","cilium movement",40,22,7.73,3.1e-05
"20","GO:0006855","xenobiotic transmembrane transport",27,14,5.21,0.00015
"21","GO:0046835","carbohydrate phosphorylation",9,7,1.74,0.00025
"22","GO:0061077","chaperone-mediated protein folding",35,16,6.76,0.00033
"23","GO:0006626","protein targeting to mitochondrion",36,22,6.95,0.00037
"24","GO:1902600","proton transmembrane transport",74,27,14.29,0.00038
"25","GO:0006122","mitochondrial electron transport, ubiqui...",12,8,2.32,0.00045
"26","GO:0046949","fatty-acyl-CoA biosynthetic process",13,8,2.51,0.00096
"27","GO:0051156","glucose 6-phosphate metabolic process",8,6,1.55,0.001
"28","GO:0009631","cold acclimation",16,9,3.09,0.00112
"29","GO:0050982","detection of mechanical stimulus",16,9,3.09,0.00112
"30","GO:0015980","energy derivation by oxidation of organi...",143,84,27.62,0.00131
"31","GO:0036159","inner dynein arm assembly",4,4,0.77,0.00139
"32","GO:1901475","pyruvate transmembrane transport",4,4,0.77,0.00139
"33","GO:0006123","mitochondrial electron transport, cytoch...",11,7,2.12,0.00157
"34","GO:0042026","protein refolding",11,7,2.12,0.00157
"35","GO:0060271","cilium assembly",69,27,13.33,0.00157
"36","GO:0030317","flagellated sperm motility",26,12,5.02,0.00167
"37","GO:0000959","mitochondrial RNA metabolic process",23,11,4.44,0.00182
"38","GO:0050832","defense response to fungus",47,18,9.08,0.00187
"39","GO:0006006","glucose metabolic process",23,13,4.44,0.0019
"40","GO:0000154","rRNA modification",26,14,5.02,0.00246
"41","GO:0006633","fatty acid biosynthetic process",41,16,7.92,0.00263
"42","GO:0007006","mitochondrial membrane organization",19,12,3.67,0.00307
"43","GO:0017004","cytochrome complex assembly",18,9,3.48,0.00327
