"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0003341","cilium movement",40,22,2.1,"1.5e-12"
"2","GO:0030317","flagellated sperm motility",26,11,1.36,"2.6e-08"
"3","GO:0007605","sensory perception of sound",46,14,2.41,"4.6e-08"
"4","GO:0060271","cilium assembly",69,24,3.62,"1.1e-06"
"5","GO:0060285","cilium-dependent cell motility",32,16,1.68,"1.9e-06"
"6","GO:0036159","inner dynein arm assembly",4,4,0.21,"7.4e-06"
"7","GO:0018094","protein polyglycylation",12,6,0.63,"1.4e-05"
"8","GO:0007618","mating",78,14,4.09,"4.3e-05"
"9","GO:0046034","ATP metabolic process",111,17,5.83,"5.6e-05"
"10","GO:0050982","detection of mechanical stimulus",16,6,0.84,"0.00010"
"11","GO:0036158","outer dynein arm assembly",7,4,0.37,"0.00023"
"12","GO:0009167","purine ribonucleoside monophosphate meta...",113,16,5.93,"0.00024"
"13","GO:0035082","axoneme assembly",25,12,1.31,"0.00067"
"14","GO:0098655","monoatomic cation transmembrane transpor...",217,23,11.39,"0.00091"
"15","GO:0006123","mitochondrial electron transport, cytoch...",11,4,0.58,"0.00183"
"16","GO:0007638","mechanosensory behavior",11,4,0.58,"0.00183"
"17","GO:0046692","sperm competition",18,5,0.94,"0.00187"
"18","GO:0009132","nucleoside diphosphate metabolic process",27,6,1.42,"0.00230"
"19","GO:0032240","negative regulation of nucleobase-contai...",2,2,0.1,"0.00275"
"20","GO:1902176","negative regulation of oxidative stress-...",2,2,0.1,"0.00275"
"21","GO:0071331","cellular response to hexose stimulus",2,2,0.1,"0.00275"
"22","GO:0045433","male courtship behavior, veined wing gen...",13,4,0.68,"0.00364"
"23","GO:0071260","cellular response to mechanical stimulus",7,3,0.37,"0.00428"
"24","GO:0060078","regulation of postsynaptic membrane pote...",14,4,0.73,"0.00489"
"25","GO:1902475","L-alpha-amino acid transmembrane transpo...",23,5,1.21,"0.00592"
"26","GO:0016059","deactivation of rhodopsin mediated signa...",15,4,0.79,"0.00640"
"27","GO:0009142","nucleoside triphosphate biosynthetic pro...",43,7,2.26,"0.00644"
"28","GO:0043112","receptor metabolic process",8,3,0.42,"0.00658"
"29","GO:0006730","one-carbon metabolic process",8,3,0.42,"0.00658"
"30","GO:0071423","malate transmembrane transport",3,2,0.16,"0.00795"
"31","GO:0001580","detection of chemical stimulus involved ...",3,2,0.16,"0.00795"
"32","GO:0007054","spindle assembly involved in male meiosi...",3,2,0.16,"0.00795"
"33","GO:0003407","neural retina development",3,2,0.16,"0.00795"
"34","GO:0006651","diacylglycerol biosynthetic process",3,2,0.16,"0.00795"
"35","GO:0001678","intracellular glucose homeostasis",3,2,0.16,"0.00795"
"36","GO:0071266","'de novo' L-methionine biosynthetic proc...",3,2,0.16,"0.00795"
"37","GO:0019343","cysteine biosynthetic process via cystat...",3,2,0.16,"0.00795"
"38","GO:0019346","transsulfuration",3,2,0.16,"0.00795"
"39","GO:0008377","light-induced release of internally sequ...",3,2,0.16,"0.00795"
"40","GO:0009156","ribonucleoside monophosphate biosyntheti...",45,7,2.36,"0.00830"
"41","GO:0006754","ATP biosynthetic process",36,6,1.89,"0.01020"
"42","GO:0042908","xenobiotic transport",27,5,1.42,"0.01197"
"43","GO:0006855","xenobiotic transmembrane transport",27,5,1.42,"0.01197"
"44","GO:0072525","pyridine-containing compound biosyntheti...",18,4,0.94,"0.01267"
"45","GO:0048515","spermatid differentiation",85,10,4.46,"0.01292"
"46","GO:0009206","purine ribonucleoside triphosphate biosy...",38,6,1.99,"0.01324"
"47","GO:0009145","purine nucleoside triphosphate biosynthe...",38,6,1.99,"0.01324"
"48","GO:1902600","proton transmembrane transport",74,9,3.88,"0.01464"
"49","GO:0009201","ribonucleoside triphosphate biosynthetic...",39,6,2.05,"0.01498"
"50","GO:0010996","response to auditory stimulus",4,2,0.21,"0.01535"
"51","GO:1902883","negative regulation of response to oxida...",4,2,0.21,"0.01535"
"52","GO:0035092","sperm DNA condensation",4,2,0.21,"0.01535"
"53","GO:1900408","negative regulation of cellular response...",4,2,0.21,"0.01535"
"54","GO:0098660","inorganic ion transmembrane transport",213,19,11.18,"0.01568"
"55","GO:0045454","cell redox homeostasis",11,3,0.58,"0.01724"
"56","GO:0043052","thermotaxis",11,3,0.58,"0.01724"
"57","GO:0015800","acidic amino acid transport",11,3,0.58,"0.01724"
"58","GO:0098662","inorganic cation transmembrane transport",186,17,9.76,"0.01744"
"59","GO:0009168","purine ribonucleoside monophosphate bios...",41,6,2.15,"0.01892"
"60","GO:0009127","purine nucleoside monophosphate biosynth...",41,6,2.15,"0.01892"
"61","GO:0032781","positive regulation of ATP-dependent act...",12,3,0.63,"0.02210"
"62","GO:0042866","pyruvate biosynthetic process",12,3,0.63,"0.02210"
"63","GO:0009060","aerobic respiration",105,14,5.51,"0.02299"
"64","GO:0045333","cellular respiration",119,15,6.25,"0.02354"
"65","GO:0071322","cellular response to carbohydrate stimul...",7,4,0.37,"0.02440"
