"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0003341","cilium movement",40,22,2.61,"1.8e-11"
"2","GO:0007605","sensory perception of sound",46,16,3,"1.2e-08"
"3","GO:0060271","cilium assembly",69,28,4.5,"3.2e-08"
"4","GO:0030317","flagellated sperm motility",26,11,1.69,"2.5e-07"
"5","GO:0060285","cilium-dependent cell motility",32,16,2.08,"5.7e-06"
"6","GO:0036159","inner dynein arm assembly",4,4,0.26,"1.8e-05"
"7","GO:0018094","protein polyglycylation",12,6,0.78,"4.8e-05"
"8","GO:0035082","axoneme assembly",25,13,1.63,"0.00020"
"9","GO:0050982","detection of mechanical stimulus",16,6,1.04,"0.00034"
"10","GO:0036158","outer dynein arm assembly",7,4,0.46,"0.00053"
"11","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",34,8,2.22,"0.00122"
"12","GO:0007618","mating",78,13,5.08,"0.00141"
"13","GO:0046034","ATP metabolic process",111,16,7.23,"0.00205"
"14","GO:0009167","purine ribonucleoside monophosphate meta...",113,16,7.36,"0.00247"
"15","GO:0050912","detection of chemical stimulus involved ...",5,3,0.33,"0.00249"
"16","GO:0050913","sensory perception of bitter taste",5,3,0.33,"0.00249"
"17","GO:1902882","regulation of response to oxidative stre...",10,4,0.65,"0.00272"
"18","GO:0043052","thermotaxis",11,4,0.72,"0.00405"
"19","GO:0007638","mechanosensory behavior",11,4,0.72,"0.00405"
"20","GO:0006123","mitochondrial electron transport, cytoch...",11,4,0.72,"0.00405"
"21","GO:0007286","spermatid development",78,12,5.08,"0.00422"
"22","GO:0071331","cellular response to hexose stimulus",2,2,0.13,"0.00423"
"23","GO:0071929","alpha-tubulin acetylation",2,2,0.13,"0.00423"
"24","GO:1902176","negative regulation of oxidative stress-...",2,2,0.13,"0.00423"
"25","GO:0051283","negative regulation of sequestering of c...",6,3,0.39,"0.00473"
"26","GO:0046692","sperm competition",18,5,1.17,"0.00482"
"27","GO:0016056","rhodopsin mediated signaling pathway",19,5,1.24,"0.00620"
"28","GO:0009132","nucleoside diphosphate metabolic process",27,6,1.76,"0.00674"
"29","GO:0098655","monoatomic cation transmembrane transpor...",217,24,14.14,"0.00703"
"30","GO:0071260","cellular response to mechanical stimulus",7,3,0.46,"0.00788"
"31","GO:0071265","L-methionine biosynthetic process",7,3,0.46,"0.00788"
"32","GO:0006839","mitochondrial transport",87,12,5.67,"0.01018"
"33","GO:0060078","regulation of postsynaptic membrane pote...",14,4,0.91,"0.01052"
"34","GO:0051156","glucose 6-phosphate metabolic process",8,3,0.52,"0.01201"
"35","GO:0007271","synaptic transmission, cholinergic",8,3,0.52,"0.01201"
"36","GO:0006730","one-carbon metabolic process",8,3,0.52,"0.01201"
"37","GO:0001678","intracellular glucose homeostasis",3,2,0.2,"0.01215"
"38","GO:1902884","positive regulation of response to oxida...",3,2,0.2,"0.01215"
"39","GO:0006651","diacylglycerol biosynthetic process",3,2,0.2,"0.01215"
"40","GO:0009092","homoserine metabolic process",3,2,0.2,"0.01215"
"41","GO:0008377","light-induced release of internally sequ...",3,2,0.2,"0.01215"
"42","GO:0003407","neural retina development",3,2,0.2,"0.01215"
"43","GO:0071423","malate transmembrane transport",3,2,0.2,"0.01215"
"44","GO:0060041","retina development in camera-type eye",3,2,0.2,"0.01215"
"45","GO:0071266","'de novo' L-methionine biosynthetic proc...",3,2,0.2,"0.01215"
"46","GO:0019343","cysteine biosynthetic process via cystat...",3,2,0.2,"0.01215"
"47","GO:0019344","cysteine biosynthetic process",3,2,0.2,"0.01215"
"48","GO:0019346","transsulfuration",3,2,0.2,"0.01215"
"49","GO:0032222","regulation of synaptic transmission, cho...",3,2,0.2,"0.01215"
"50","GO:0015743","malate transport",3,2,0.2,"0.01215"
"51","GO:0001580","detection of chemical stimulus involved ...",3,2,0.2,"0.01215"
"52","GO:0007054","spindle assembly involved in male meiosi...",3,2,0.2,"0.01215"
"53","GO:0072524","pyridine-containing compound metabolic p...",31,6,2.02,"0.01345"
"54","GO:0016059","deactivation of rhodopsin mediated signa...",15,4,0.98,"0.01362"
"55","GO:1902475","L-alpha-amino acid transmembrane transpo...",23,5,1.5,"0.01448"
"56","GO:2000060","positive regulation of ubiquitin-depende...",32,6,2.08,"0.01567"
"57","GO:0043649","dicarboxylic acid catabolic process",9,3,0.59,"0.01715"
"58","GO:0022400","regulation of rhodopsin mediated signali...",16,4,1.04,"0.01724"
"59","GO:1905515","non-motile cilium assembly",16,4,1.04,"0.01724"
"60","GO:0009142","nucleoside triphosphate biosynthetic pro...",43,7,2.8,"0.01978"
"61","GO:0006835","dicarboxylic acid transport",25,5,1.63,"0.02055"
"62","GO:0015807","L-amino acid transport",25,5,1.63,"0.02055"
"63","GO:1902883","negative regulation of response to oxida...",4,2,0.26,"0.02326"
"64","GO:0043010","camera-type eye development",4,2,0.26,"0.02326"
"65","GO:0051928","positive regulation of calcium ion trans...",4,2,0.26,"0.02326"
"66","GO:0035092","sperm DNA condensation",4,2,0.26,"0.02326"
"67","GO:1900408","negative regulation of cellular response...",4,2,0.26,"0.02326"
"68","GO:0033173","calcineurin-NFAT signaling cascade",4,2,0.26,"0.02326"
"69","GO:0046339","diacylglycerol metabolic process",4,2,0.26,"0.02326"
"70","GO:0097720","calcineurin-mediated signaling",4,2,0.26,"0.02326"
"71","GO:0010996","response to auditory stimulus",4,2,0.26,"0.02326"
"72","GO:0051438","regulation of ubiquitin-protein transfer...",10,3,0.65,"0.02334"
"73","GO:0007608","sensory perception of smell",35,6,2.28,"0.02383"
"74","GO:0070507","regulation of microtubule cytoskeleton o...",35,6,2.28,"0.02383"
"75","GO:0031109","microtubule polymerization or depolymeri...",35,6,2.28,"0.02383"
"76","GO:0019722","calcium-mediated signaling",26,5,1.69,"0.02413"
"77","GO:0019362","pyridine nucleotide metabolic process",26,5,1.69,"0.02413"
"78","GO:0046496","nicotinamide nucleotide metabolic proces...",26,5,1.69,"0.02413"
"79","GO:0042391","regulation of membrane potential",55,8,3.58,"0.02478"
"80","GO:0007291","sperm individualization",45,7,2.93,"0.02493"
"81","GO:0060179","male mating behavior",45,7,2.93,"0.02493"
"82","GO:0050878","regulation of body fluid levels",18,4,1.17,"0.02616"
"83","GO:0072525","pyridine-containing compound biosyntheti...",18,4,1.17,"0.02616"
"84","GO:0006754","ATP biosynthetic process",36,6,2.35,"0.02708"
"85","GO:0032436","positive regulation of proteasomal ubiqu...",27,5,1.76,"0.02808"
"86","GO:0090090","negative regulation of canonical Wnt sig...",27,5,1.76,"0.02808"
"87","GO:0042908","xenobiotic transport",27,5,1.76,"0.02808"
"88","GO:0006855","xenobiotic transmembrane transport",27,5,1.76,"0.02808"
"89","GO:0008089","anterograde axonal transport",11,3,0.72,"0.03057"
"90","GO:0045454","cell redox homeostasis",11,3,0.72,"0.03057"
"91","GO:0015800","acidic amino acid transport",11,3,0.72,"0.03057"
"92","GO:1905039","carboxylic acid transmembrane transport",80,10,5.21,"0.03380"
"93","GO:1903825","organic acid transmembrane transport",80,10,5.21,"0.03380"
"94","GO:0009206","purine ribonucleoside triphosphate biosy...",38,6,2.48,"0.03444"
"95","GO:2000058","regulation of ubiquitin-dependent protei...",38,6,2.48,"0.03444"
"96","GO:0009145","purine nucleoside triphosphate biosynthe...",38,6,2.48,"0.03444"
"97","GO:1903052","positive regulation of proteolysis invol...",38,6,2.48,"0.03444"
"98","GO:0030534","adult behavior",103,12,6.71,"0.03460"
"99","GO:0099111","microtubule-based transport",59,8,3.84,"0.03607"
"100","GO:0098660","inorganic ion transmembrane transport",213,21,13.88,"0.03609"
"101","GO:0070922","RISC complex assembly",5,2,0.33,"0.03712"
"102","GO:0050667","homocysteine metabolic process",5,2,0.33,"0.03712"
"103","GO:0035435","phosphate ion transmembrane transport",5,2,0.33,"0.03712"
"104","GO:0006740","NADPH regeneration",5,2,0.33,"0.03712"
"105","GO:0006098","pentose-phosphate shunt",5,2,0.33,"0.03712"
"106","GO:0006817","phosphate ion transport",5,2,0.33,"0.03712"
"107","GO:0007617","mating behavior",78,13,5.08,"0.03730"
"108","GO:0009201","ribonucleoside triphosphate biosynthetic...",39,6,2.54,"0.03856"
"109","GO:0042866","pyruvate biosynthetic process",12,3,0.78,"0.03884"
"110","GO:0044458","motile cilium assembly",12,3,0.78,"0.03884"
"111","GO:0032781","positive regulation of ATP-dependent act...",12,3,0.78,"0.03884"
"112","GO:0032886","regulation of microtubule-based process",40,6,2.61,"0.04297"
"113","GO:0008277","regulation of G protein-coupled receptor...",21,4,1.37,"0.04389"
"114","GO:0009593","detection of chemical stimulus",18,6,1.17,"0.04724"
"115","GO:0009168","purine ribonucleoside monophosphate bios...",41,6,2.67,"0.04769"
"116","GO:0009127","purine nucleoside monophosphate biosynth...",41,6,2.67,"0.04769"
"117","GO:0030178","negative regulation of Wnt signaling pat...",31,5,2.02,"0.04784"
"118","GO:0006536","glutamate metabolic process",13,3,0.85,"0.04812"
"119","GO:0046693","sperm storage",13,3,0.85,"0.04812"
"120","GO:1902600","proton transmembrane transport",74,9,4.82,"0.04970"
"121","GO:0033108","mitochondrial respiratory chain complex ...",22,4,1.43,"0.05099"
"122","GO:0051443","positive regulation of ubiquitin-protein...",6,2,0.39,"0.05331"
"123","GO:0043153","entrainment of circadian clock by photop...",6,2,0.39,"0.05331"
"124","GO:0006750","glutathione biosynthetic process",6,2,0.39,"0.05331"
"125","GO:0007589","body fluid secretion",6,2,0.39,"0.05331"
"126","GO:0032434","regulation of proteasomal ubiquitin-depe...",32,5,2.08,"0.05379"
"127","GO:0007606","sensory perception of chemical stimulus",48,9,3.13,"0.05639"
"128","GO:0098662","inorganic cation transmembrane transport",186,18,12.12,"0.05792"
"129","GO:0042073","intraciliary transport",14,3,0.91,"0.05838"
"130","GO:0043462","regulation of ATP-dependent activity",14,3,0.91,"0.05838"
"131","GO:0014042","positive regulation of neuron maturation",14,3,0.91,"0.05838"
"132","GO:0007289","spermatid nucleus differentiation",14,3,0.91,"0.05838"
"133","GO:0007204","positive regulation of cytosolic calcium...",14,3,0.91,"0.05838"
"134","GO:0046460","neutral lipid biosynthetic process",14,3,0.91,"0.05838"
"135","GO:0046463","acylglycerol biosynthetic process",14,3,0.91,"0.05838"
"136","GO:0016082","synaptic vesicle priming",14,3,0.91,"0.05838"
"137","GO:0006096","glycolytic process",14,3,0.91,"0.05838"
"138","GO:0007019","microtubule depolymerization",14,3,0.91,"0.05838"
"139","GO:1904801","positive regulation of neuron remodeling",14,3,0.91,"0.05838"
"140","GO:0043648","dicarboxylic acid metabolic process",23,4,1.5,"0.05867"
"141","GO:0046627","negative regulation of insulin receptor ...",23,4,1.5,"0.05867"
"142","GO:1900077","negative regulation of cellular response...",23,4,1.5,"0.05867"
"143","GO:0060828","regulation of canonical Wnt signaling pa...",65,8,4.24,"0.05877"
"144","GO:0046942","carboxylic acid transport",88,10,5.73,"0.05879"
"145","GO:0015849","organic acid transport",88,10,5.73,"0.05879"
"146","GO:0007600","sensory perception",143,29,9.32,"0.05904"
"147","GO:0008344","adult locomotory behavior",54,7,3.52,"0.05929"
"148","GO:1901800","positive regulation of proteasomal prote...",33,5,2.15,"0.06016"
"149","GO:0060294","cilium movement involved in cell motilit...",27,12,1.76,"0.06349"
