"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0009167","purine ribonucleoside monophosphate meta...",98,60,14.87,"1.1e-18"
"2","GO:0046034","ATP metabolic process",96,58,14.57,"1.4e-18"
"3","GO:0006120","mitochondrial electron transport, NADH t...",29,24,4.4,"9.2e-16"
"4","GO:0009168","purine ribonucleoside monophosphate bios...",35,20,5.31,"1.1e-08"
"5","GO:0006839","mitochondrial transport",82,35,12.44,"7.0e-08"
"6","GO:0006099","tricarboxylic acid cycle",31,17,4.7,"3.3e-07"
"7","GO:0006101","citrate metabolic process",31,17,4.7,"3.3e-07"
"8","GO:0006122","mitochondrial electron transport, ubiqui...",11,9,1.67,"1.7e-06"
"9","GO:0032543","mitochondrial translation",92,32,13.96,"2.1e-06"
"10","GO:0016999","antibiotic metabolic process",50,21,7.59,"4.1e-06"
"11","GO:1990542","mitochondrial transmembrane transport",40,19,6.07,"6.0e-05"
"12","GO:0015985","energy coupled proton transport, down el...",15,9,2.28,"8.6e-05"
"13","GO:0046395","carboxylic acid catabolic process",58,22,8.8,"0.00027"
"14","GO:0006754","ATP biosynthetic process",30,17,4.55,"0.00061"
"15","GO:0006164","purine nucleotide biosynthetic process",82,37,12.44,"0.00092"
"16","GO:0007005","mitochondrion organization",134,38,20.34,"0.00102"
"17","GO:0006123","mitochondrial electron transport, cytoch...",7,5,1.06,"0.00128"
"18","GO:0019359","nicotinamide nucleotide biosynthetic pro...",13,7,1.97,"0.00134"
"19","GO:0042866","pyruvate biosynthetic process",10,6,1.52,"0.00146"
"20","GO:0006551","leucine metabolic process",5,4,0.76,"0.00232"
"21","GO:0006084","acetyl-CoA metabolic process",5,4,0.76,"0.00232"
"22","GO:0042811","pheromone biosynthetic process",11,6,1.67,"0.00279"
"23","GO:0042133","neurotransmitter metabolic process",18,8,2.73,"0.00288"
"24","GO:0014866","skeletal myofibril assembly",8,5,1.21,"0.00299"
"25","GO:0042776","proton motive force-driven mitochondrial...",3,3,0.46,"0.00348"
"26","GO:0009113","purine nucleobase biosynthetic process",3,3,0.46,"0.00348"
"27","GO:0006564","L-serine biosynthetic process",3,3,0.46,"0.00348"
"28","GO:0006545","glycine biosynthetic process",3,3,0.46,"0.00348"
"29","GO:0006546","glycine catabolic process",3,3,0.46,"0.00348"
"30","GO:0006531","aspartate metabolic process",3,3,0.46,"0.00348"
"31","GO:0015986","proton motive force-driven ATP synthesis",15,9,2.28,"0.00480"
"32","GO:0006096","glycolytic process",12,6,1.82,"0.00488"
"33","GO:0042401","cellular biogenic amine biosynthetic pro...",12,6,1.82,"0.00488"
"34","GO:0045333","cellular respiration",107,65,16.24,"0.00527"
"35","GO:0043094","cellular metabolic compound salvage",9,5,1.37,"0.00588"
"36","GO:0030150","protein import into mitochondrial matrix",16,7,2.43,"0.00589"
"37","GO:0043967","histone H4 acetylation",16,7,2.43,"0.00589"
"38","GO:0071265","L-methionine biosynthetic process",6,4,0.91,"0.00611"
"39","GO:0019320","hexose catabolic process",6,4,0.91,"0.00611"
"40","GO:0019752","carboxylic acid metabolic process",271,91,41.13,"0.00754"
"41","GO:0006631","fatty acid metabolic process",91,23,13.81,"0.00777"
"42","GO:0007406","negative regulation of neuroblast prolif...",29,10,4.4,"0.00789"
