"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0002181","cytoplasmic translation",112,55,22.93,"8.1e-12"
"2","GO:0046034","ATP metabolic process",111,59,22.72,"3.7e-11"
"3","GO:0009167","purine ribonucleoside monophosphate meta...",113,60,23.13,"1.6e-10"
"4","GO:0006120","mitochondrial electron transport, NADH t...",31,19,6.35,"8.0e-07"
"5","GO:0009168","purine ribonucleoside monophosphate bios...",41,21,8.39,"1.1e-05"
"6","GO:0015985","energy coupled proton transport, down el...",19,12,3.89,"6.1e-05"
"7","GO:0006122","mitochondrial electron transport, ubiqui...",12,9,2.46,"7.4e-05"
"8","GO:0006081","cellular aldehyde metabolic process",10,8,2.05,"9.1e-05"
"9","GO:0006123","mitochondrial electron transport, cytoch...",11,8,2.25,"0.00027"
"10","GO:0006551","leucine metabolic process",5,5,1.02,"0.00036"
"11","GO:0006531","aspartate metabolic process",5,5,1.02,"0.00036"
"12","GO:0006099","tricarboxylic acid cycle",34,16,6.96,"0.00044"
"13","GO:0006101","citrate metabolic process",34,16,6.96,"0.00044"
"14","GO:0009152","purine ribonucleotide biosynthetic proce...",84,37,17.2,"0.00055"
"15","GO:0006090","pyruvate metabolic process",27,13,5.53,"0.00116"
"16","GO:0007099","centriole replication",21,11,4.3,"0.00116"
"17","GO:0006165","nucleoside diphosphate phosphorylation",21,11,4.3,"0.00116"
"18","GO:0035293","chitin-based larval cuticle pattern form...",13,8,2.66,"0.00144"
"19","GO:0015986","proton motive force-driven ATP synthesis",19,12,3.89,"0.00170"
"20","GO:0046653","tetrahydrofolate metabolic process",4,4,0.82,"0.00175"
"21","GO:0006144","purine nucleobase metabolic process",6,5,1.23,"0.00178"
"22","GO:0040003","chitin-based cuticle development",90,35,18.42,"0.00182"
"23","GO:0019674","NAD metabolic process",11,7,2.25,"0.00224"
"24","GO:0009063","cellular amino acid catabolic process",23,13,4.71,"0.00301"
"25","GO:0042133","neurotransmitter metabolic process",17,9,3.48,"0.00301"
"26","GO:0008340","determination of adult lifespan",148,44,30.3,"0.00434"
"27","GO:0006734","NADH metabolic process",7,5,1.43,"0.00517"
"28","GO:0006790","sulfur compound metabolic process",99,34,20.27,"0.00550"
"29","GO:0046394","carboxylic acid biosynthetic process",92,33,18.83,"0.00624"
"30","GO:0031109","microtubule polymerization or depolymeri...",35,14,7.17,"0.00637"
"31","GO:0010259","multicellular organism aging",151,44,30.91,"0.00647"
"32","GO:0006022","aminoglycan metabolic process",46,17,9.42,"0.00711"
"33","GO:0045879","negative regulation of smoothened signal...",22,10,4.5,"0.00718"
"34","GO:0006084","acetyl-CoA metabolic process",5,4,1.02,"0.00732"
"35","GO:0072523","purine-containing compound catabolic pro...",5,4,1.02,"0.00732"
"36","GO:0009068","aspartate family amino acid catabolic pr...",5,4,1.02,"0.00732"
"37","GO:0006208","pyrimidine nucleobase catabolic process",5,4,1.02,"0.00732"
"38","GO:0009435","NAD biosynthetic process",5,4,1.02,"0.00732"
"39","GO:0009206","purine ribonucleoside triphosphate biosy...",38,21,7.78,"0.00734"
"40","GO:0003341","cilium movement",39,15,7.98,"0.00737"
"41","GO:0016051","carbohydrate biosynthetic process",29,12,5.94,"0.00825"
"42","GO:0042776","proton motive force-driven mitochondrial...",3,3,0.61,"0.00856"
"43","GO:0006359","regulation of transcription by RNA polym...",3,3,0.61,"0.00856"
"44","GO:0000305","response to oxygen radical",3,3,0.61,"0.00856"
"45","GO:0006564","L-serine biosynthetic process",3,3,0.61,"0.00856"
"46","GO:0006545","glycine biosynthetic process",3,3,0.61,"0.00856"
"47","GO:0006546","glycine catabolic process",3,3,0.61,"0.00856"
"48","GO:0016999","antibiotic metabolic process",55,19,11.26,"0.01038"
"49","GO:0006006","glucose metabolic process",23,10,4.71,"0.01042"
"50","GO:0072002","Malpighian tubule development",44,16,9.01,"0.01058"
"51","GO:0061326","renal tubule development",44,16,9.01,"0.01058"
"52","GO:0072524","pyridine-containing compound metabolic p...",31,16,6.35,"0.01120"
"53","GO:0006754","ATP biosynthetic process",36,20,7.37,"0.01195"
