geneID,sig_DE
gene-372264,1
gene-8100,1
gene-372068,1
gene-237342,1
gene-218923,1
gene-44107,1
gene-226987,1
gene-244566,1
gene-199491,1
gene-157744,1
gene-198922,1
gene-145496,1
gene-350745,1
gene-156891,1
gene-118220,1
gene-253843,1
gene-200848,1
gene-41508,1
gene-303219,1
gene-136337,1
gene-69960,1
gene-249784,1
gene-238229,1
gene-92145,1
gene-39831,1
gene-218723,1
gene-77495,1
gene-243159,1
gene-122800,1
gene-39091,1
gene-301715,1
gene-242872,1
gene-187157,1
gene-79002,1
gene-38083,1
gene-178966,1
gene-122433,1
gene-33981,1
gene-187747,1
gene-352199,1
gene-172875,1
gene-26944,1
gene-170101,1
gene-53281,1
gene-14822,1
gene-258523,1
gene-175843,1
gene-61479,1
gene-145538,1
gene-244768,1
gene-77414,1
gene-105556,1
gene-227053,1
gene-170302,1
gene-6405,1
gene-163088,1
gene-144476,1
gene-302907,1
gene-16181,1
gene-285657,1
gene-290343,1
gene-56700,1
gene-87838,1
gene-136450,1
gene-362876,1
gene-259706,1
gene-334058,1
gene-31907,1
gene-285316,1
gene-255049,1
gene-321850,1
gene-126153,1
gene-39079,1
gene-372053,1
gene-92106,1
gene-133498,1
gene-7352,1
gene-291587,1
gene-44413,1
gene-225158,1
gene-10198,1
gene-183629,1
gene-291112,1
gene-185155,1
gene-177267,1
gene-294684,1
gene-371805,1
gene-122791,1
gene-99820,1
gene-198760,1
gene-184622,1
gene-29112,1
gene-92883,1
gene-20646,1
gene-334325,1
gene-31263,1
gene-92073,1
gene-408081,1
gene-7080,1
gene-174508,1
gene-55294,1
gene-114203,1
gene-181562,1
gene-399571,1
gene-125470,1
gene-116614,1
gene-406501,1
gene-340338,1
gene-114715,1
gene-179836,1
gene-145478,1
gene-26135,1
gene-308117,1
gene-252984,1
gene-356255,1
gene-66244,1
gene-64689,1
gene-21271,1
gene-180400,1
gene-97398,1
gene-280975,1
gene-104957,1
gene-341425,1
gene-290633,1
gene-378680,1
gene-78265,1
gene-357898,1
gene-8990,1
gene-83189,1
gene-364225,1
gene-198745,1
gene-50706,1
gene-402284,1
gene-188322,1
gene-340320,1
gene-193446,1
gene-39728,1
gene-376728,1
gene-273241,1
gene-420365,1
gene-79518,1
gene-421051,1
gene-296096,1
gene-290739,1
gene-181301,1
gene-42287,1
gene-226935,1
gene-213663,1
gene-38816,1
gene-41369,1
gene-99832,1
gene-280707,1
gene-186344,1
gene-141719,1
gene-181319,1
gene-27654,1
gene-386052,1
gene-277647,1
gene-121573,1
gene-9388,1
gene-290159,1
gene-164684,1
gene-363459,1
gene-355708,1
gene-385611,1
gene-304890,1
gene-359591,1
gene-419623,1
gene-426390,1
gene-32615,1
gene-44392,1
gene-176614,1
gene-77229,1
gene-335727,1
gene-286539,1
gene-160999,1
gene-119257,1
gene-262696,1
gene-147790,1
gene-331515,1
gene-213608,1
g14715,1
gene-383831,1
gene-343084,1
gene-402450,1
gene-147885,1
gene-79536,1
gene-218286,1
gene-59359,1
gene-259401,1
gene-67362,1
gene-210469,1
gene-130853,1
gene-351643,1
gene-78601,1
gene-160317,1
gene-242461,1
gene-232153,1
gene-218159,1
gene-305439,1
gene-273987,1
gene-330657,1
gene-57448,1
gene-183342,1
gene-229595,1
gene-275101,1
gene-367041,1
gene-218211,1
gene-275883,1
gene-396148,1
gene-153056,1
gene-58286,1
gene-323535,1
gene-300876,1
gene-272736,1
gene-10049,1
gene-274084,1
gene-20981,1
gene-82952,1
gene-398654,1
gene-327631,1
gene-191915,1
gene-7154,1
gene-273137,1
gene-72366,1
gene-24483,1
gene-172229,1
gene-409369,1
gene-213719,1
gene-92640,1
gene-80194,1
gene-249966,1
gene-106824,1
gene-37517,1
gene-69348,1
gene-122764,1
gene-287098,1
gene-306260,1
gene-205721,1
gene-131635,1
gene-259165,1
gene-58265,1
gene-199239,1
gene-211303,1
gene-166529,1
gene-207324,1
gene-206715,1
gene-194202,1
gene-199548,1
gene-58400,1
gene-262574,1
gene-218523,1
gene-18874,1
gene-299566,1
gene-160909,1
gene-179774,1
gene-206297,1
gene-77298,1
gene-224369,1
gene-353046,1
gene-181289,1
gene-244823,1
gene-189724,1
gene-193392,1
gene-185248,1
gene-46583,1
gene-34402,1
gene-206319,1
gene-45063,1
gene-194467,1
gene-198928,1
gene-131605,1
gene-93344,1
gene-99384,1
gene-285922,1
gene-326347,1
gene-409357,1
gene-281940,1
gene-534,1
gene-38873,1
gene-359383,1
gene-364777,1
gene-112469,1
gene-347420,1
gene-187248,1
gene-246645,1
gene-399223,1
gene-229699,1
gene-307746,1
gene-146304,1
gene-254113,1
gene-22771,1
gene-16211,1
gene-114074,1
gene-295673,1
gene-206132,1
gene-73653,1
gene-259741,1
gene-355067,1
gene-419031,1
gene-144820,1
gene-240602,1
gene-198937,1
gene-291622,1
gene-198802,1
gene-280686,1
gene-238220,1
gene-7712,1
gene-215313,1
gene-8715,1
gene-249793,1
gene-116474,1
gene-2355,1
gene-322589,1
gene-244539,1
gene-15837,1
gene-517,1
gene-183526,1
gene-252936,1
gene-39560,1
gene-353876,1
gene-26108,1
gene-75362,1
gene-270171,1
gene-179514,1
gene-168137,1
gene-64119,1
gene-145387,1
gene-419019,1
gene-17915,1
gene-140193,1
gene-261982,1
gene-3053,1
gene-390753,1
gene-417506,1
gene-29902,1
gene-280698,1
gene-275482,1
gene-45480,1
gene-404655,1
gene-348484,1
gene-113124,1
gene-33226,1
gene-115518,1
gene-27484,1
gene-134255,1
gene-403878,1
gene-272210,1
gene-133409,1
gene-236062,1
gene-214179,1
gene-104386,1
gene-391752,1
gene-293157,1
gene-400426,1
gene-213699,1
gene-302737,1
gene-108560,1
gene-296201,1
gene-76335,1
gene-46835,1
gene-101771,1
gene-141624,1
gene-107455,1
gene-348108,1
gene-194476,1
gene-171856,1
gene-375932,1
gene-92831,1
gene-20302,1
gene-305917,1
gene-415190,1
gene-21537,1
gene-326377,1
gene-377608,1
gene-190490,1
gene-173646,1
gene-370967,1
gene-168981,1
gene-164026,1
gene-304002,1
gene-286572,1
gene-227403,1
gene-214212,1
gene-136310,1
gene-16026,1
gene-9379,1
gene-210389,1
gene-170744,1
gene-285738,1
gene-340805,1
gene-148324,1
gene-219239,1
gene-228543,1
gene-22821,1
gene-14813,1
gene-194412,1
gene-27908,1
gene-347049,1
gene-358996,1
gene-423187,1
gene-47360,1
gene-108266,1
gene-7331,1
gene-206306,1
gene-166071,1
gene-227308,1
gene-220105,1
gene-53224,1
gene-185524,1
gene-80050,1
gene-162742,1
gene-143831,1
gene-361821,1
gene-348472,1
gene-347217,1
gene-418586,1
gene-433,1
gene-183933,1
gene-280993,1
gene-233799,1
gene-123966,1
gene-188385,1
gene-370994,1
gene-340742,1
gene-32245,1
gene-53860,1
gene-294364,1
gene-119278,1
gene-303243,1
gene-304606,1
gene-249870,1
gene-336035,1
gene-229684,1
gene-348880,1
gene-31823,1
gene-207502,1
gene-332768,1
gene-229820,1
gene-69862,1
gene-136420,1
gene-57466,1
gene-108242,1
gene-401576,1
gene-419692,1
gene-366123,1
gene-293468,1
gene-86720,1
gene-70158,1
gene-169536,1
gene-170750,1
gene-104716,1
gene-263313,1
gene-29082,1
gene-89251,1
gene-132117,1
gene-252927,1
gene-331896,1
gene-177979,1
gene-329863,1
gene-197659,1
gene-432055,1
gene-357269,1
gene-109867,1
gene-34357,1
gene-335259,1
gene-51064,1
gene-69615,1
gene-101990,1
gene-299976,1
gene-411562,1
gene-180343,1
gene-1771,1
gene-294758,1
gene-198946,1
gene-251998,1
gene-253133,1
gene-356770,1
gene-294470,1
gene-13404,1
gene-6435,1
gene-84083,1
gene-226923,1
gene-275720,1
gene-244392,1
gene-398573,1
gene-384842,1
gene-194788,1
gene-340712,1
gene-369485,1
gene-420709,1
gene-221869,1
gene-21552,1
gene-370982,1
gene-135898,1
gene-79356,1
gene-147255,1
gene-347435,1
gene-196757,1
gene-109484,1
gene-419274,1
gene-125849,1
gene-288903,1
gene-76840,1
gene-248416,1
gene-416888,1
gene-233537,1
gene-285765,1
g14784,1
gene-132007,1
gene-301479,1
gene-398558,1
gene-31079,1
gene-181931,1
gene-76715,1
gene-252900,1
gene-56282,1
gene-416801,1
gene-360831,1
gene-258416,1
gene-194848,1
gene-76361,1
gene-336052,1
gene-206270,1
gene-420821,1
gene-224890,1
gene-357892,1
gene-62933,1
gene-108623,1
gene-118573,1
gene-118590,1
gene-124377,1
gene-142374,1
gene-23834,1
gene-219248,1
gene-38092,1
gene-97311,1
gene-62927,1
gene-293139,1
gene-39443,1
gene-6978,1
gene-45037,1
gene-421620,1
gene-111421,1
gene-53242,1
gene-167337,1
gene-240376,1
gene-249148,1
gene-151619,1
g11241,1
gene-166814,1
gene-341956,1
gene-108545,1
gene-6993,1
gene-428508,1
gene-247244,1
gene-213743,1
gene-300107,1
gene-377626,1
gene-425532,1
gene-206855,1
gene-398804,1
gene-197725,1
gene-61384,1
gene-329410,1
gene-71829,1
gene-107443,1
gene-430140,1
gene-227071,1
gene-156645,1
gene-357595,1
gene-379542,1
gene-101301,1
gene-11707,1
gene-358879,1
gene-255416,1
gene-296617,1
gene-300888,1
gene-267353,1
gene-401486,1
gene-184811,1
gene-105121,1
gene-29269,1
gene-262046,1
