"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-71903"	-1.09777499064862	5.95721629613906	22.7224585800232	4.15091108777132e-05	0.142776258345773	"gene-71903"
"gene-8100"	-5.83065000670739	3.9399834342453	23.9821479134445	4.35766404734674e-05	0.142776258345773	"gene-8100"
"gene-218923"	-4.40852168371854	2.69680947714758	21.8532289865591	5.40085624518367e-05	0.142776258345773	"gene-218923"
"gene-166511"	-1.91206593617299	6.90263929135094	20.7825331142194	7.51825450345666e-05	0.142776258345773	"gene-166511"
"gene-151486"	-1.05344722762627	8.20871732238949	20.4839543965186	8.25572152115332e-05	0.142776258345773	"gene-151486"
"gene-199245"	-1.78131070932253	6.32061115726852	19.9086136690607	9.9036237977615e-05	0.142776258345773	"gene-199245"
"gene-179544"	1.60446673451481	5.98038212500374	19.6650568448286	0.000107040753831828	0.142776258345773	"gene-179544"
"gene-59252"	0.584995293302087	7.09983270307949	19.4929422608752	0.000113112504136085	0.142776258345773	"gene-59252"
"gene-377212"	1.63854674441898	2.4612108172373	17.7736198546307	0.000198584170809645	0.222811439648421	"gene-377212"
"gene-336148"	-1.05093321860412	5.1253534058831	15.6840217908555	0.000405806713710439	0.321930733322364	"gene-336148"
"gene-142197"	1.08448680298219	7.68575970580642	15.3499199536683	0.000456458390570582	0.321930733322364	"gene-142197"
"gene-291814"	1.09897062055335	4.19427978164303	15.3203847156141	0.000461250833667911	0.321930733322364	"gene-291814"
"g5780"	-2.82766014883264	-0.715582096693119	14.8848010624339	0.000538543619556061	0.321930733322364	"g5780"
"gene-263043"	1.35794745578092	5.60770024694559	14.5381660319806	0.000609946883786787	0.321930733322364	"gene-263043"
"gene-296474"	-1.84707157690317	3.26143207442876	14.4998033918619	0.000618451066941092	0.321930733322364	"gene-296474"
"gene-291480"	1.19023838711228	3.33281151842987	14.3362287607378	0.000656162803379612	0.321930733322364	"gene-291480"
"gene-88437"	0.927792411170741	5.19315259110578	14.2172946163507	0.000685125412441947	0.321930733322364	"gene-88437"
"gene-66926"	0.739285837223278	7.98232415309721	14.0437128351212	0.00072987884095322	0.321930733322364	"gene-66926"
"gene-246699"	1.03045536410971	7.07331847098866	13.8678921631761	0.000778416294105569	0.321930733322364	"gene-246699"
"gene-195398"	1.49321173162847	2.87701208957748	13.8459087138313	0.000784724085637422	0.321930733322364	"gene-195398"
"gene-145538"	-3.75499666480852	4.74194054344273	13.7758068521899	0.000805206956023732	0.321930733322364	"gene-145538"
"gene-315138"	-1.86369290662775	7.63130093913069	13.6728104547749	0.000836346626094591	0.321930733322364	"gene-315138"
"gene-199691"	-0.705052234724463	5.29216243447893	13.4924136649885	0.000894038515845191	0.321930733322364	"gene-199691"
"gene-153482"	-10.2479080703369	8.06626214487759	13.2792656000897	0.000967751925821151	0.321930733322364	"gene-153482"
"gene-50072"	-1.05799066560191	6.17088075138711	13.2168639071305	0.000990545162303445	0.321930733322364	"gene-50072"
"gene-207342"	1.17334745935517	7.44699738567417	13.0790625589785	0.00104294273828956	0.321930733322364	"gene-207342"
"gene-343123"	1.01817765262898	4.45059976814839	13.0050007671676	0.00107232445889536	0.321930733322364	"gene-343123"
"gene-38816"	3.38877936249843	3.81438299368897	12.9928273289789	0.00107723819560114	0.321930733322364	"gene-38816"
"gene-358811"	1.13429641633951	5.80509557175434	12.9891988281817	0.00107870748262476	0.321930733322364	"gene-358811"
"gene-163028"	1.3076841203747	4.31159292724282	12.9356764658671	0.00110063157556247	0.321930733322364	"gene-163028"
"gene-106596"	4.63362032962521	1.87328783168056	12.8133504827128	0.0011525530149357	0.321930733322364	"gene-106596"
"gene-250209"	-0.780376455462101	7.17049893679304	12.605260491085	0.00124700598847524	0.321930733322364	"gene-250209"
"gene-361761"	-0.911827119000948	4.88887736678806	12.5671129235306	0.00126520434015986	0.321930733322364	"gene-361761"
"gene-239186"	0.809618060814496	7.68193611576247	12.3417607832213	0.0013786867381591	0.321930733322364	"gene-239186"
"gene-365433"	0.977499876561866	6.1416247603689	12.3035664095961	0.00139897949285555	0.321930733322364	"gene-365433"
"g9726"	1.57749526587832	0.84153735842105	12.2455361746472	0.00143042658681215	0.321930733322364	"g9726"
"gene-63254"	-1.95318127766177	4.26295531985571	12.2261072623331	0.00144112400465811	0.321930733322364	"gene-63254"
"gene-83600"	0.862197819251575	7.00007516637251	12.1063369892706	0.00150899276906514	0.321930733322364	"gene-83600"
"g7730"	-3.84643247814806	-0.955299911724555	12.1030701870187	0.00151089129746794	0.321930733322364	"g7730"
"gene-77835"	-2.15562374671819	1.9517093234754	12.0878464888023	0.00151977252624807	0.321930733322364	"gene-77835"
"gene-243520"	0.796364198472076	5.76588944754609	12.0873178147605	0.00152008194944289	0.321930733322364	"gene-243520"
"gene-408149"	-0.559594499328761	9.68111933440613	12.073331417653	0.00152829252215378	0.321930733322364	"gene-408149"
"gene-12503"	-0.752827079868454	5.49713823442004	12.0591728923885	0.00153665261600202	0.321930733322364	"gene-12503"
"gene-295816"	0.897674589733092	4.81368567396085	12.0244381266771	0.00155737074970263	0.321930733322364	"gene-295816"
"gene-306648"	1.35246320877494	3.1896190167872	12.0207481499952	0.00155958924245971	0.321930733322364	"gene-306648"
"gene-182512"	0.757273052017044	5.98091312235211	11.963126873428	0.00159467577847011	0.321930733322364	"gene-182512"
"gene-164380"	0.600512278403469	6.10800260190865	11.9416199307367	0.00160798792819117	0.321930733322364	"gene-164380"
"gene-277384"	0.610588114895616	6.40472024143467	11.9352036486617	0.0016119824663084	0.321930733322364	"gene-277384"
"gene-238229"	-4.01542145971438	0.0852641405797192	12.3057387099841	0.00165445075033516	0.321930733322364	"gene-238229"
"gene-222618"	0.836174839420974	4.25304438691395	11.7819898296479	0.0017106006676642	0.321930733322364	"gene-222618"
"g8782"	3.58944089491896	0.243158880645792	11.7723073492525	0.00171704672923764	0.321930733322364	"g8782"
"gene-311934"	0.858432391375135	5.40884978800376	11.7316128490461	0.00174442527924102	0.321930733322364	"gene-311934"
"gene-361030"	0.6036572352248	5.29951405345562	11.6996100035076	0.00176628526831265	0.321930733322364	"gene-361030"
"gene-247780"	1.50729113804868	3.3672626158759	11.6781285262004	0.00178112327456176	0.321930733322364	"gene-247780"
"gene-68176"	1.17487050486587	7.3759928260213	11.6721503645268	0.00178527635349199	0.321930733322364	"gene-68176"
"gene-196966"	0.795263652862714	7.11554225021867	11.6720933532292	0.00178531600971008	0.321930733322364	"gene-196966"
"gene-46640"	-1.84640136295785	0.299417637011321	11.5720325547419	0.00185639572999313	0.328023734884621	"gene-46640"
"gene-167543"	1.17353411749593	6.37472461169157	11.4320936237556	0.00196094396266643	0.328023734884621	"gene-167543"
"gene-79407"	0.902448494162241	5.14021754398388	11.4014423330949	0.00198467689277848	0.328023734884621	"gene-79407"
"gene-80881"	-1.75876341533986	3.8190723115099	11.3465085578798	0.00202798657216166	0.328023734884621	"gene-80881"
"gene-146107"	1.45145017707372	1.89496714190863	11.2595983377177	0.00209859248025167	0.328023734884621	"gene-146107"
"gene-89268"	0.968869978115345	3.74195087378518	11.2222971770015	0.00212970147524104	0.328023734884621	"gene-89268"
"gene-248682"	1.33589253144429	6.07443766994809	11.2058623539041	0.00214356487332944	0.328023734884621	"gene-248682"
"gene-333123"	-0.79761665429455	5.27284501572636	11.1607484339233	0.00218212072091756	0.328023734884621	"gene-333123"
"gene-393919"	2.22823672893705	3.88729104005256	11.1499137804647	0.0021914908529535	0.328023734884621	"gene-393919"
"gene-335259"	-4.03407209002758	3.70946671306513	11.0716348189132	0.00226048639366827	0.328023734884621	"gene-335259"
"gene-30328"	-8.36444390854541	9.06165935334284	11.0200284496165	0.00230724637044793	0.328023734884621	"gene-30328"
"gene-189493"	-0.437976995683917	6.31748557934421	10.9802945635662	0.00234395654770672	0.328023734884621	"gene-189493"
"gene-357203"	-3.46321067743332	-1.04830895081201	10.9725801401798	0.0023511563744534	0.328023734884621	"gene-357203"
"gene-188268"	-1.36481512002326	4.17863457124087	10.9055747912615	0.00241470072025404	0.328023734884621	"gene-188268"
"gene-171018"	-0.88745582594164	1.75348411641177	10.9002582412977	0.00241982107222524	0.328023734884621	"gene-171018"
"gene-414320"	-1.59169173348596	7.96986295272048	10.890061645863	0.00242967404860469	0.328023734884621	"gene-414320"
"gene-143329"	0.837008929288559	5.04788483021779	10.8879453445134	0.00243172442803315	0.328023734884621	"gene-143329"
"gene-125602"	-0.805543377755925	4.23742275428122	10.8741024930156	0.0024451820129424	0.328023734884621	"gene-125602"
"gene-190421"	-1.72278993977771	5.91977445088642	10.7383433076851	0.00258148543464585	0.328023734884621	"gene-190421"
"gene-84239"	0.775287173050218	7.31898580596824	10.7218675492794	0.0025985748547005	0.328023734884621	"gene-84239"
"gene-312890"	1.14903219635048	4.49092122697144	10.6975771708745	0.00262399208012656	0.328023734884621	"gene-312890"
"gene-217111"	-8.99585619503893	8.69860114017603	10.6877948236807	0.00263430358691382	0.328023734884621	"gene-217111"
"gene-321850"	-3.57527323017172	0.560554232058798	10.6430175933684	0.00268206200683409	0.328023734884621	"gene-321850"
"gene-16799"	0.533792082939199	6.36957076340792	10.6428545516125	0.00268223759450936	0.328023734884621	"gene-16799"
"gene-7292"	0.995968966963	3.4551203792494	10.6223622553859	0.00270440542462272	0.328023734884621	"gene-7292"
"gene-332164"	0.646712599972057	4.56944542848696	10.6138817315211	0.00271363688540227	0.328023734884621	"gene-332164"
"gene-186211"	1.94823945001171	3.66607759848709	10.6082533864639	0.00271978230575281	0.328023734884621	"gene-186211"
"gene-360729"	0.79063899149318	5.40424093906685	10.573739999207	0.00275779504768314	0.328023734884621	"gene-360729"
"gene-270078"	-0.460400412209216	5.43818314262837	10.552016530288	0.0027820136431902	0.328023734884621	"gene-270078"
"gene-215357"	-3.56077374132177	1.17065637770344	10.5301667888826	0.00280660378117101	0.328023734884621	"gene-215357"
"gene-364777"	-5.28603853433213	0.453473361280266	10.8481184364082	0.00284234856851673	0.328023734884621	"gene-364777"
"gene-68050"	1.33641520012538	3.79453572272498	10.4781103167799	0.00286613564675454	0.328023734884621	"gene-68050"
"gene-249939"	-10.6582364106595	9.04575307902842	10.4566439511266	0.00289107866951191	0.328023734884621	"gene-249939"
"gene-336910"	-0.588460067569651	7.06550424668697	10.399325558923	0.00295883088336149	0.328605566055072	"gene-336910"
"g7272"	-1.56239982838796	1.35669857294332	10.37261454491	0.0029909855378244	0.328605566055072	"g7272"
"gene-15070"	-1.02973788734531	5.39239697737605	10.3495311193357	0.00301907602824028	0.328605566055072	"gene-15070"
"gene-54961"	0.47148141506144	6.42249695151828	10.3372162710657	0.00303417803405547	0.328605566055072	"gene-54961"
"gene-353214"	-0.484634112752211	4.84956843545526	10.3171863903169	0.0030589149543649	0.328605566055072	"gene-353214"
"gene-73294"	-1.1462602103043	3.9662030926635	10.2477007077388	0.0031464250497332	0.330953653119329	"gene-73294"
"gene-190367"	-0.818229742471694	3.59055849740822	10.2434401845742	0.00315187763674411	0.330953653119329	"gene-190367"
"gene-209428"	-2.2060636172116	0.946180891145167	10.2222908072898	0.00317909530130471	0.330953653119329	"gene-209428"
