"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-243520"	1.46168970467903	5.76588944754609	39.6295800074721	5.22306648175702e-07	0.00527425253327823	"gene-243520"
"gene-312890"	2.0919988395354	4.49092122697144	33.6989231651098	2.10924432472909e-06	0.0106495745955572	"gene-312890"
"gene-89268"	1.63872111215451	3.74195087378518	31.133176056517	4.02347840600354e-06	0.0135430283146079	"gene-89268"
"gene-359170"	0.856500689500116	5.82056829147625	29.986258112743	5.41920342494328e-06	0.0136807790462693	"gene-359170"
"gene-158012"	0.808365330004138	7.44591645417121	26.9688181384712	1.22140760342935e-05	0.0170045423132869	"gene-158012"
"gene-377707"	1.71045324846128	5.12982261354368	26.7786595754352	1.28750932408275e-05	0.0170045423132869	"gene-377707"
"gene-187601"	0.895568468786975	5.58188156738485	26.7482699195766	1.29842200898253e-05	0.0170045423132869	"gene-187601"
"gene-17794"	0.977299365760023	6.07565493117123	26.6157861369123	1.34716120525149e-05	0.0170045423132869	"gene-17794"
"gene-211420"	-0.920678171550055	5.25794292787515	25.0194117957943	2.11543671479849e-05	0.023735199940039	"gene-211420"
"gene-393468"	1.75096458970858	4.94029995086232	24.5112211161382	2.44930737774684e-05	0.0247331059004876	"gene-393468"
"gene-258532"	1.42042796175115	6.10523910691069	23.6336107097768	3.16545818511715e-05	0.0273245118041107	"gene-258532"
"gene-401748"	-1.17319686660154	11.333178557034	23.4311818057407	3.36049705147911e-05	0.0273245118041107	"gene-401748"
"gene-321653"	0.867303362444592	8.51859863180567	23.2769297626858	3.51771294764744e-05	0.0273245118041107	"gene-321653"
"gene-54363"	1.1893547504722	7.31848144030298	23.0157984395062	3.80202450817052e-05	0.0274234596310756	"gene-54363"
"gene-185427"	0.692243757301375	6.2109475040517	22.5709892866119	4.34429856460005e-05	0.0279495627675121	"gene-185427"
"gene-172388"	-2.79820631406211	4.05303126671556	22.1854192358552	4.88129353786614e-05	0.0279495627675121	"gene-172388"
"gene-168067"	0.767819315214263	5.25776918181586	22.1603391981957	4.91859460396609e-05	0.0279495627675121	"gene-168067"
"gene-366101"	1.09283710381496	5.94179114415068	22.1181057230934	4.98209675000216e-05	0.0279495627675121	"gene-366101"
"gene-88517"	0.711293203106202	6.81462687732951	21.7633365608413	5.55138290718443e-05	0.0291433786896371	"gene-88517"
