type,beginning,end
exon,6119545,6119745
intron,6118530,6119544
exon,6118205,6118529
intron,6117988,6118204
exon,6117757,6117987
intron,6117521,6117756
exon,6116467,6117520
intron,6114659,6116466
exon,6114317,6114658
intron,6108882,6114316
exon,6108716,6108881
intron,6108655,6108715
exon,6108539,6108654
intron,6101321,6108538
exon,6101126,6101320
intron,6100408,6101125
exon,6100245,6100407
intron,6092426,6100244
exon,6092231,6092425
intron,6090968,6092230
exon,6090735,6090967
intron,6088152,6090734
exon,6087876,6088151
intron,6086609,6087875
exon,6086171,6086608
intron,6085024,6086170
exon,6084864,6085023
intron,6084755,6084863
exon,6084539,6084754
intron,6084329,6084538
exon,6084143,6084328
intron,6080006,6084142
exon,6079725,6080005
intron,6075777,6079724
exon,6075537,6075776
intron,6075388,6075536
exon,6075227,6075387
intron,6073964,6075226
exon,6073692,6073963
